series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01
betas,4.220427582542873,4.220427582542892,4.140505822290673,4.069543541371187,4.005499035905345,3.946944784868999,3.892860698335713,3.8425027411246258,3.7953172638953236,3.7508839749704075,3.7088773361638885,3.6690400628202435,3.6311647126627373,3.5950807559349585,3.5606454032574057,3.5277370352764095,3.496250449567331,3.4660933869713424,3.437183965521037,3.409448762942683,3.3828213661052335,3.3572412592569423,3.3326529600816883,3.3090053386270846,3.2862510724592497,3.2643462043380875,3.24324977789937,3.2229235333916066,3.2033316502229985,3.1844405264672053,3.166218587936569,3.1486361212240292,3.1316651264296693,3.115279186258168,3.099453348894624,3.084164022606608,3.069388880428331,3.055106773593922,3.041297652626103,3.0279424951726113,3.0150232398288526,3.0025227253013447,2.9904246343596617,2.978713442100253,2.967374368107638,2.95639333214986,2.945756913088271,2.935452310718202,2.9254673102880497,2.9157902494711574,2.9064099875879275,2.897315876895778,3.272499677882976,3.4741481751929726,3.5975530275241536,3.6790752456444773,3.735513512186491,3.7756169424853523,3.8043188656541695,3.8245498524303017,3.8381025722906017,3.846078053974632,3.849129451782441,3.847600598289076,3.841606759281282,3.8310823440515698,3.80744702959402,3.764602266838527,3.7172329327556968,3.6647737250681303,3.606839789441039,3.5431986473648394,3.473764244831092,3.398600764359193,3.3179281759041825,3.2321240994069718,3.1417184479781173,3.047379015989931,2.9498878281663417,2.8501096077469863,2.7489549705359257,2.6473417133859,2.5461577268482545,2.4462286390320096,2.3482924348827137,2.2529822142907405,2.16081718555536,2.0722011192934833,1.9874269107996234,1.9066856315317782,1.8300784462023825,1.7576299523786325,1.6893017812028572,1.6250056105847954,1.5646150367501246,1.5079759983707275,1.454915638872869,1.405249627837885,1.358788049165861,1.3153400120209595,1.274717160800756,1.2367362615038677,1.2012210311394789,1.1680033596101973,1.1369240535592477,1.1078332114507607,1.0805903201156692,1.0550641459212258,1.0311324789230072,1.0086817758577102,0.9876067374884415,0.9678098473918577,0.9492008925169313,0.9316964804874961,0.9152195644228809,0.8996989827979881,0.8850690193713736,0.8712689863220527,0.8582428323247151,0.8459387762545343,0.8343089664628313,0.8233091650366128,0.8128984560955387,0.8030389769476998,0.7936956707883245,0.7848360595581739,0.7764300355616137,0.7684496704634849,0.7608690403277435,0.7536640654210015,0.746812363574317,0.7402931159722453,0.7340869443158979,0.7281757983842113,0.7225428530931057,0.7171724142246231,0.7120498320667645,0.7071614222691893,0.7024943932800184,0.6980367797846562,0.693777381618918,0.6897057076759463,0.6858119243696584,0.6820868082569952,0.6785217024573031,0.6751084765400222,0.6718394895817175,0.6687075561206421,0.6657059147616513,0.662828199206654,0.6600684115060691
S2,11649.433481066872,11624.44879267618,11601.442469486572,11579.979080593022,11559.746117144512,11540.517044775539,11522.126109990273,11504.450889952088,11487.400061170938,11470.904747398334,11454.912355246475,11439.382156897982,11424.28210976785,11409.586557605311,11395.27456298891,11381.328694054499,11367.734139194412,11354.478059306433,11341.549112577259,11328.937104893128,11316.632731934602,11304.627388329422,11292.913025954753,11281.482048336953,11270.327231617317,11259.441665109749,11248.818706337996,11238.451946798068,11228.335185683698,11218.46240953906,11208.827776335556,11199.425602860629,11190.250354594373,11181.296637461763,11172.55919100486,11164.032882635121,11155.712702711648,11147.593760254875,11139.671279152477,11131.940594749523,11124.39715074125,11117.036496306477,11109.854283434513,11102.846264409463,11096.00828942426,11089.336304303079,11082.826348315592,11076.474552070193,11070.277135476128,11064.230405766588,11058.33075557649,17947.782158728325,24832.657748161324,31713.007121291044,38588.8766077145,45460.17823838935,52326.62965961648,59187.72167121942,66042.69441911324,72890.51122073589,79729.82288689002,86558.91755212152,93375.65210671177,100177.36167563192,106960.74347615645,111144.44049173676,110986.7475330056,110808.170364426,110605.01779731213,110373.79718647742,110111.08323299188,109813.47400760071,109477.60191551449,109100.18063004543,108678.07568281644,108208.38946241557,107688.55262604504,107116.41446461246,106490.32525548292,105809.20446386622,105072.58994819116,104280.66502928107,103434.26220833526,102534.84421643759,101584.4647134647,100585.71215899706,99541.64107716583,98455.69514612883,97331.62634239366,96173.41387684084,94985.18599522515,93771.14698842395,92535.51104837988,91282.44396817179,90016.01314765339,88740.1459391214,87458.59604693303,86174.91746960112,84892.44532776733,83614.2828408945,82343.2936847359,81082.09896762062,79833.0780954532,78598.37284428846,77379.89401857536,76179.33013749128,74998.15765742229,73837.65230290015,72698.90113937197,71582.81507790256,70490.14155364921,69421.47716641951,68377.2801128097,67357.88227548642,66363.50086640191,65394.24954747901,64450.14897496431,63531.13673263493,62637.07663476573,61767.767392610214,64940.817626633805,68058.95892130725,71124.35911825819,74138.47594413765,77102.1299958436,80015.58304528458,82878.6149681967,81672.72847343504,80500.12192317103,79356.70323392985,78239.84389558856,77147.88056885629,76079.78093179176,75034.91887260025,74012.92310171109,73013.57537919178,72036.74243251624,71082.33082869074,70150.25751780753,69240.43108211563,68352.74029002791,67487.04761806203,66643.18612997055,65820.95860043568,65020.13811372748,64240.4696048203,63481.67197490678,62743.4405276635,62025.449552455626,61327.354936506745,60648.79672718949
E2,0.0,24.984688390692583,42.74970418069905,55.24502681905802,63.88864549248044,69.71510802562591,73.48115312466288,75.7414396011001,76.90317016217524,77.26567697233969,77.04921520064336,76.4159691447238,75.48541472150168,74.34557776271248,73.06129914320384,71.6803118112654,70.23771500361168,68.75927230628433,67.26384531125595,65.76519111149408,64.2732910319609,62.79533356031108,61.33644192823067,59.900212962683156,58.489116330526954,57.10479043737647,55.74826177299397,54.42010751705824,53.12057607032266,51.84967637339385,50.60724406408599,49.39299044419792,48.20653868620978,47.04745056889365,45.915246184324644,44.809418430643504,43.72944363856629,42.674789333226464,41.64491987551246,40.639300535705885,39.65740040994079,38.69869448419068,37.76266507179421,36.84880279200562,35.956607213539705,35.08558725473484,34.23526140792587,33.40515783777663,32.594814390086526,31.803778537779927,31.031607283531912,30.277867033126626,34.25806071862993,41.92950257454927,52.47151008633354,65.36986279616029,80.41259847136618,97.65906695896626,117.40682155726799,140.16782307890065,166.65913943363898,197.81008772308357,234.78627644763583,279.03055715842163,332.32100658053594,396.84637103026193,471.28858880919745,550.9984699827673,638.5621487050848,735.8246943929971,844.1767701067224,964.6939348508727,1098.1917815585764,1245.2335393402655,1406.1124243540312,1580.8232846786718,1769.033780552823,1970.0626570039217,2182.870586800864,2406.067085744289,2637.934973274686,2876.4718379138753,3119.4461552479443,3364.464301908894,3609.0438619112424,3850.6883827255247,4086.9590550285725,4315.53953079073,4534.2910889272225,4741.29643655613,4934.891457116018,5113.685088591911,5276.568185976988,5422.7126804320515,5551.562609269407,5662.81868764417,5756.418062858978,5832.510773348638,5891.434260239378,5933.687077173832,5959.902734532601,5970.8244118190905,5967.281086185995,5950.165461162613,5920.413939842131,5878.988771218722,5826.8624057341,5765.00402427278,5694.368151282827,5615.885224712041,5530.453970418031,5438.935414197396,5342.148358395514,5240.866150293297,5135.814574490878,5027.67070995878,4917.062603189761,4804.569621063387,4690.7233599260235,4576.00900044964,4460.867010658785,4424.788536559338,4449.01973059265,4519.451056931287,4625.570018921407,4759.628264638348,4915.984793634463,5090.592167668752,5195.2903262199015,5248.836962462645,5264.59119272895,5252.144476684698,5218.445152763408,5168.577721401076,5106.3052303461445,5034.4482626199215,4955.150729733168,4870.066952236946,4780.493822942047,4687.4645393180535,4591.815367700393,4494.233433716252,4395.291130008401,4295.471061315294,4195.184281589486,4094.783762860736,3994.574464193068,3894.820967616486,3795.753365247981,3697.571882442522,3600.4505809750444
I2,84.60633483489926,75.31936024064817,67.84710755778794,61.76056177082662,56.73987179859158,52.54543344611565,48.99687514101963,45.957712855320764,43.324100042544345,41.01655125899569,38.973834356030295,37.1484496716225,35.50327412981982,34.00906273005664,32.642582667422616,31.385215362618343,30.22190538846164,29.14036719392334,28.130483888394398,27.18384948837105,26.293418628662735,25.4532370202478,24.65823278385673,23.904053848791527,23.186940352834533,22.503623757288697,21.851246454981457,21.22729718491189,20.629558712343552,20.05606508867238,19.505066445966374,18.974999761838635,18.464464392093557,17.972201441620104,17.497076250733453,17.03806343125558,16.59423400647647,16.164744300987834,15.748826297122413,15.345779229513596,14.954962231967317,14.575787884301526,14.20771653323046,13.850251282387523,13.502933563427286,13.165339213759363,12.837074997555371,12.51777551577643,12.207100458507512,11.904732159174843,11.610373415509985,11.323745546600271,11.044586659179497,10.922768808981264,11.058521998176365,11.514950098681755,12.331861457654401,13.537947542840293,15.160639689533266,17.233829979960603,19.803987146830202,22.935305099672746,26.714513662583933,31.255926570450548,36.70723894669149,43.256534112958846,51.14092285078788,60.5295321208352,71.42493003458458,83.91172535208548,98.12397235579618,114.22527857954464,132.39553035991543,152.82083065028849,175.68478332667797,201.1601723762416,229.40065182713056,260.53243045027995,294.64617757393495,331.78952588209677,371.9606172869425,415.1031358876691,461.1032060854915,509.7884175461756,560.9290903971211,614.2417350554001,669.3945119373565,726.0143736026006,783.6954862344345,842.0084827688953,900.5100946303978,958.7527368365882,1016.29367374523,1072.70346081787,1127.573432991457,1180.522085538614,1231.2002634024836,1279.2951364477956,1324.5329889968193,1366.6808918114787,1405.5473536710151,1440.982068829975,1472.874887234546,1501.1541378916563,1525.784433697749,1546.764079725604,1564.1221976727015,1577.9156679513592,1588.2259786233667,1595.1560577469684,1598.8271532468625,1599.3758125312795,1596.9510030363585,1591.7114048496085,1583.8228976440703,1573.4562563736818,1560.7850635223401,1545.983840114579,1529.2263931118814,1510.6843731482552,1490.5260337069353,1468.9151807096364,1448.5280238950747,1431.1500360758378,1417.9215655878768,1409.5231515527314,1406.3139847312223,1408.4342627336757,1415.8799549335727,1425.8411375498326,1436.41342351735,1446.3267155335745,1454.7556489456895,1461.1866382582327,1465.3243238934601,1467.0255533604022,1466.2526731561845,1463.0404084739148,1457.472333622332,1449.6641322707947,1439.7516788809996,1427.8825536597437,1414.2100101671076,1398.888700357792,1382.0716629301244,1363.908222783668,1344.5425497914457,1324.1126962891035,1302.7499832850026,1280.5786414445984,1257.7156386482773
A2,472.96553191205953,449.13732035186524,430.9555724171652,416.8510868702198,405.68071544171534,396.61123122511003,389.03548188647613,382.51156421190467,376.7185389698253,371.42409709965807,366.4608990834282,361.709230118841,357.08426714064063,352.5267210672244,347.99595389180115,343.4649133047158,338.9164039101664,334.3403424805124,329.7317383770715,325.0892087837501,320.41388860540815,315.70863173171347,310.9774274527191,306.22497574768846,301.4563798588284,296.67692539827357,291.89192323851705,287.1065993502738,282.32601912581384,277.555036963258,272.79826428498166,268.060050939868,263.3444762560876,258.65534698757114,253.996200121501,249.3703090511936,244.78069201695433,240.23012201265027,235.7211375743933,231.25605402955233,226.83697490393308,222.4658032732388,218.1442529099226,213.87385912426222,209.65598923338806,205.49185261739498,201.38251034003122,197.3288843246193,193.33176608518852,189.39182501929596,185.50961627344063,181.68558819488678,177.92008938552553,175.05256756232657,173.69463432810787,174.2810488008961,177.13316198349025,182.51841671225083,190.70134315209708,201.9860934852445,216.7525992323007,235.4892519563238,258.825208423676,287.5653464913511,322.7307471863912,365.60745511224457,417.8062075053468,480.62204484824497,554.4574465349729,640.154813566513,738.8424337476391,851.8392176540112,980.5890226787951,1126.6080975843236,1291.4365276291394,1476.5889852747353,1683.5029163410188,1913.484208132816,2167.651728476958,2446.8830294242284,2751.7640169882347,3082.5455092735156,3439.1093619374205,3820.9462863770564,4227.146710483306,4656.4051445867935,5107.037630176771,5577.011064849992,6063.9825841372085,6565.346775900883,7078.288310418973,7599.837568471881,8126.927004162421,8656.446245213898,9185.294267664616,9710.427345777409,10228.90184076722,10737.911231122645,11234.817088235202,11717.17395583293,12182.74829767996,12629.531836301083,13055.749719802287,13459.864029350369,13840.573182394286,14196.807802211173,14527.723618513908,14832.691941822151,15111.288220593657,15363.279148574256,15588.608743619501,15787.383770909099,15959.858834995783,16106.42141799282,16227.577096483472,16323.935128161906,16396.194561239437,16445.130985502867,16471.584013652042,16476.44555510256,16460.648921654552,16425.158785073745,16385.036546805262,16351.247589204411,16331.694083090628,16332.009401420855,16356.164297734773,16406.925669688666,16486.200781850202,16580.112859349247,16678.82214871913,16775.361862326183,16864.822988231568,16943.780279085502,17009.88583223695,17061.579662108983,17097.88229440463,17118.245107012302,17122.441501505822,17110.487075718927,17082.580497600484,17039.05923846145,16980.366040634974,16907.023197313407,16819.612567118045,16718.75984081153,16605.12199742419,16479.37718410208,16342.21646461531,16194.337031184548,16036.436580981434
IH2,0.0,4.883226916519519,9.054010998223173,12.64283247445896,15.750695976977045,18.456496083047746,20.822447742433077,22.898107627355287,24.723364522610055,26.330672355537185,27.74672486076268,28.993717216389932,30.09030117085157,31.05231196933373,31.893324810431462,32.62508350552419,33.25783296442164,33.8005790037834,34.261292983378134,34.64707434864573,34.964280880591836,35.21863402225087,35.41530484263382,35.558984851276,35.65394486946656,35.70408440981933,35.712973449027466,35.68388805142175,35.619840977809666,35.523608168697244,35.39775180386435,35.24464049686544,35.06646707255793,34.86526429016283,34.64291880761578,34.40118363056333,34.141689247916176,33.86595362284248,33.57539118155058,33.27132092071802,32.95497373687012,32.627499066554506,32.28997091415534,31.94339333414689,31.58870542611758,31.226785893705898,30.858457212444858,30.484489446229166,30.105603747553136,29.72247557270133,29.335737639614205,28.94598265312148,28.55376581957422,28.15960717056118,27.77265812035394,27.407524430326532,27.08192633854675,26.81524148814498,26.62780341356545,26.540794274042963,26.57658708879095,26.759428599397268,27.11639461875645,27.67858852571109,28.482587814643676,29.57217299588961,31.000398444970962,32.832087066665316,35.13948128495307,37.992361699911356,41.46287117409753,45.62828333535242,50.57252293338789,56.38686510555171,63.170028619254104,71.02776270159893,80.07196854387328,90.41937291259299,102.18976974730558,115.50385811533567,130.4807255628421,147.23504987680752,165.8741152617181,186.49475728723343,209.18036193561795,233.99804609406155,260.99613960405935,290.2020734001278,321.62075617137657,355.2334957355936,390.99749344620943,428.84591278107877,468.68849867706297,510.41270350841165,553.8852596182348,598.9541272425788,645.450740342267,693.1924708080753,741.9852330763108,791.6261556459401,841.9062525782867,892.613036085204,943.5330201510328,994.4540742650992,1045.1675953460071,1095.4704744976655,1145.166843122351,1194.0695899801071,1242.001646944782,1288.7970464368132,1334.301757824462,1378.3743135220345,1420.8862381402423,1461.7222959381338,1500.7805730730836,1537.9724118324557,1573.2222142437781,1606.4671322814922,1637.656661393701,1666.7521533310087,1693.7262633331484,1718.562345671567,1741.2538104038679,1761.9487685709819,1780.8930323071907,1798.3893503227966,1814.768812016445,1830.3712762788757,1845.5324150241415,1860.5755400345438,1875.6501016823886,1890.7902352673357,1905.9555365618787,1921.0594235016913,1935.9887995144372,1950.6176068161137,1964.8160796288576,1978.4569672360624,1991.419620599529,2003.592573273511,2014.8750629038252,2025.1778098522548,2034.423277958239,2042.5455777077202,2049.49012616246,2055.2131453522043,2059.6810575523637,2062.8698192263205,2064.764223478471,2065.35719228282,2064.649073561339
IN2,4.403747677731576,8.703287052023754,12.417698356384228,15.655283815181102,18.49945266722704,21.01499218942122,23.25268519747402,25.252724490744043,27.047247790054737,28.66222712571216,30.118882731560902,31.43474557076488,32.62445941102122,33.7003892456818,34.67308527034572,35.5516387613443,36.343956768735936,37.056975600863986,37.696827967211135,38.26897487286722,38.77831056591087,39.229246768881815,39.625780887407274,39.97155174371287,40.26988552791253,40.52383402036111,40.736206658482764,40.90959766039232,41.04640914501706,41.14887098187064,41.21905794649311,41.258904637493146,41.27021851891585,41.25469138045959,41.21390945276138,41.14936237173521,41.062451151912505,40.954495301741794,40.82673919223261,40.68035777294865,40.51646171523835,40.33610205102898,40.14027436596444,39.92992259772127,39.705942483674505,39.46918469645592,39.2204577011605,38.96053036386016,38.690134337558135,38.40996624866762,38.12068970444792,37.822937139519006,37.5173115175508,37.20438790244504,36.89252856920482,36.59511486905773,36.32849605050271,36.110706499578725,35.96084723153834,35.898995060899296,35.94651579152751,36.12668832743936,36.46558199498965,36.99316350271634,37.74464045407027,38.76207482575482,40.0963229688872,41.80937937518359,43.97057456081812,46.64773210566462,49.91147451683196,53.83773062850832,58.50914827794947,64.01578261937854,70.45524441458919,77.93239116382702,86.55859244855787,96.45058012086645,107.72889289136829,120.51593642249236,134.93369909857017,151.1011859124925,169.1316545419326,189.12975537714564,211.188688475302,235.38749364470183,261.788584738774,290.43562647453916,321.3518332406636,354.5387464986096,389.9755227388643,427.6187396171199,467.4027055813029,509.24023924754806,553.0238697259671,598.6273983111239,645.9077553402385,694.7070832156724,744.85497704696,796.1708174662441,848.4661352674469,901.546954004209,955.216064008869,1009.2751889999877,1063.5270141518479,1117.7770519142803,1171.8353287822665,1225.517882478532,1278.6480645437123,1331.0576480901057,1382.5877444661544,1433.0895358270652,1482.4248331597087,1530.4664712274134,1577.0985532504003,1622.2165589914916,1665.7273303453987,1707.548948601881,1747.6105173326646,1785.851864398243,1822.2231759365939,1856.684574428349,1889.2056520727085,1919.8960169611175,1948.955617074058,1976.639023881442,2003.2302067528174,2029.0251111622936,2054.3199767291003,2079.4038231978834,2104.412574947516,2129.379816828035,2154.272230568999,2179.014326215904,2203.5056681226706,2227.6328238831998,2251.277594238043,2274.3226170823777,2296.655114956774,2318.1693291477213,2338.768024886829,2358.363340571891,2376.877175246863,2394.2412529275553,2410.3969628941604,2425.2950470070214,2438.8951850886865,2451.165515101597,2462.082114581521,2471.628462394438,2479.7948945434496
D2,9.0,9.0,9.005686706757647,9.016230453015522,9.030953520793735,9.04929581591562,9.070789119993485,9.095037666356768,9.121703398997887,9.150494713943113,9.181157801073285,9.213469936156443,9.247234242104627,9.282275562512874,9.318437181732168,9.355578192957713,9.393571365507622,9.43230139929403,9.471663481851154,9.511562083670212,9.551909942821428,9.5926272012571,9.633640663771391,9.674883157068487,9.716292971297019,9.757813370142317,9.79939215842309,9.840981298334087,9.882536567173775,9.924017250717192,9.965385867429548,10.006607919533579,10.047651667594183,10.088487925805683,10.1290898755892,10.16943289545204,10.209494405344444,10.249253723984097,10.28869193781555,10.327791780437419,10.366537521471006,10.404914863964263,10.44291084952849,10.480513770494662,10.517713088454057,10.554499358615772,10.5908641594733,10.62680002732473,10.662300395237361,10.697359536088488,10.731972509350392,10.766135111319885,10.799843828521498,10.833095794039044,10.865888746553253,10.898231081920994,10.930148204973595,10.961686156445507,10.99291354308665,11.023922650834843,11.05483043307223,11.08577989742781,11.116942287799676,11.148520378918043,11.180753166601704,11.213922242577446,11.248360182670943,11.28446134658172,11.322695582790992,11.363616868878962,11.407860444635599,11.456145563006725,11.509281465068788,11.56817512551772,11.633839812479852,11.707403755907233,11.790118334820077,11.88336524150717,11.988662101095006,12.107666043389509,12.242174756932357,12.39412461232221,12.565585526879461,12.758752354533243,12.975932717981735,13.219531346127054,13.492031128084324,13.795971234939772,14.133922782164634,14.508462601588606,14.922145757271693,15.377477472593375,15.876885137216075,16.42269103528772,17.017086384889712,17.662107208758655,18.359612473441082,19.11126484380628,19.918514307221415,20.782584830902337,21.704464130349464,22.68489654884848,23.724378979431084,24.8231597024004,25.981239963869022,27.19837808358693,28.47409585313294,29.8076869675224,31.198227223489276,32.64458621508092,34.14544026067424,35.69928630401347,37.30445654436355,38.95913356642578,40.661365758420686,42.40908282595436,44.20011122929484,46.03218939194512,47.90298254844976,49.81009711884778,51.751094515795856,53.72350430791889,55.724836679246586,57.75259413956566,59.80445167970286,61.87837054822988,63.97266455630995,66.08603308152638,68.21757128029556,70.3667652119705,72.53347744498906,74.71774458853233,76.91964300365913,79.13920199914146,81.37635005558609,83.6308839482637,85.90245365327625,88.19055802945458,90.49454774724458,92.81363297661724,95.14689408055298,97.49329408037062,99.85169202779453,102.22085668068897,104.5994800660287,106.9861906468442,109.37956590502505,111.77814421990091,114.18043597117237,116.58493382952152,118.99012222299515
R2,0.0,23.932419863633704,46.93684578797293,69.25899269578039,91.07264344926537,112.49949393078822,133.62355328923076,154.501619086693,175.17090943441616,195.65462856704238,215.96602621158843,236.11135693508277,256.09203490777355,275.90619954872966,295.5498495377154,315.0176604986392,334.30357089624647,353.40119820046795,372.30413090514105,391.0061299096358,409.50126390160455,427.7839968574793,445.8492409781905,463.69238484338933,481.30930396337976,498.696358988553,515.8503854211419,532.7686776311037,549.4489692093861,565.8894111258953,582.0885487431883,598.045298431141,613.7589243037352,629.2290154352912,644.4554637941808,659.4384430456021,674.1783883127487,688.6759769412583,702.9321102804624,716.947896473167,730.7246342308965,744.2637975618115,757.5670214124582,770.6360881810853,783.472915058705,796.0795421538205,808.4581213573839,820.6109059057868,832.5402406013059,844.24855265127,855.7383430891812,867.0121787430222,878.0726847179709,888.9225373626824,899.6067365617607,910.2016133169429,920.8062293186724,931.5368425223994,942.5242890580789,953.9138951509763,965.8675260589253,978.5674760085931,992.2220432445963,1007.072786790665,1023.4036124031264,1041.5519803994896,1061.9226686884758,1085.0046632896715,1111.35592844061,1141.558871992476,1176.242387118343,1216.0964042439387,1261.8817996677624,1314.4370819851804,1374.6824714833267,1443.6215400894005,1522.340348362676,1612.0039239814987,1713.8499293814957,1829.1794369578909,1959.3448472965779,2105.735129698193,2269.75871551929,2452.8245151673136,2656.321643070668,2881.5985100062626,3129.9419726764963,3402.5572159741914,3700.548988569212,4024.904725553406,4376.4799831230575,4755.986490260825,5163.983000795846,5600.869014029084,6066.881329147978,6562.093311611876,7086.416680338272,7639.605573068175,8221.262612786702,8830.846678800088,9467.682079860371,10130.968831246899,10819.793750640578,11533.142106795354,12269.909578484692,13028.91430731362,13808.908855355194,14608.591906083333,15426.619573872136,16261.616212778115,17112.184638971037,17976.915702745537,18854.39716537427,19743.22185310182,20641.995075353712,21549.34130683267,22463.91014372163,23384.38155286487,24309.47043972545,25237.93056629718,26168.55785416031,27100.1931106861,28031.724218180865,28962.796909010976,29893.617128671336,30824.80226367078,31757.270121840997,32692.1568554149,33630.756900255496,34574.479527727766,35524.05303483485,36479.718429379085,37441.36771759677,38408.64338640193,39381.01054358338,40357.80967753506,41338.29559213333,42321.666410701924,43307.085390282446,44293.69748464248,45280.642033382734,46267.062561059734,47252.11439344981,48234.970602725596,49214.82665497595,50190.90403518143,51162.45305460217,52128.75499524474,53089.12370982864,54042.906769378525,54989.486231341696
G2,4372.0,4372.0,4372.795319554788,4374.156140036702,4375.914715106636,4377.948436251943,4380.167626974272,4382.506699492389,4384.917722078724,4387.365725195622,4389.825267730196,4392.277919793407,4394.710414191915,4397.113286923025,4399.479876046814,4401.805583656136,4404.08733129234,4406.3231577854485,4408.511922079124,4410.653083524475,4412.746539392221,4414.792504681399,4416.791423216982,4418.743901908083,4420.65066215901,4422.512503989194,4424.330279572251,4426.104873757304,4427.837189766419,4429.528138728826,4431.178632058353,4432.7895759368075,4434.361867356073,4435.896391312755,4437.394018853881,4438.855605749913,4440.281991629106,4441.673999450132,4443.03243522177,4444.358087902189,4445.651729427892,4446.914114835501,4448.145982449247,4449.348054114214,4450.521035460738,4451.665616189285,4452.782470368074,4453.872256737839,4454.935619019718,4455.9731862234285,4456.985572953721,4457.973379713731,4458.937193204304,4460.027705328072,4461.362416924175,4463.032704637527,4465.1135763043085,4467.673292519916,4470.782003120594,4474.519329741995,4478.981190898853,4484.286331011187,4490.583076779648,4498.056858879092,4506.939037236539,4517.517572012207,4530.150096148246,4545.152285679968,4562.691822334688,4583.018710381909,4606.441686854344,4633.313756758301,4664.022162593678,4698.980109041627,4738.618729649101,4783.37849170141,4833.699698486474,4890.01207416043,4952.723656981515,5022.209401054274,5098.799998203205,5182.771478483299,5274.336130630044,5373.635208872691,5480.733772955226,5595.617861665064,5718.194046017866,5848.2912641721305,5985.664719651172,6130.001535613469,6280.9278034168465,6438.016641797575,6600.796888818695,6768.762075930682,6941.379375266248,7118.09826139909,7298.358681984424,7481.5985839329105,7667.260690220426,7854.798465342696,8043.6812438937595,8233.398526546416,8423.463471070263,8613.415623466351,8802.82294652294,8991.283210872176,9178.424817724013,9363.907123601524,9547.420336263447,9728.685048156422,9907.45146968681,10083.498419752612,10256.632125664635,10426.684879077837,10593.51358905307,10756.998268028578,10917.040481408849,11073.561786749131,11226.502184172434,11375.818595724626,11521.483387857763,11663.482948124652,11804.334048362363,11945.95648271276,12089.820906646168,12237.06333891351,12388.573150570659,12545.060146777192,12707.105293512082,12872.483221170389,13039.565660257094,13207.149592386479,13374.337317186473,13540.452315727945,13704.979920314796,13867.525249634216,14027.783207957178,14185.516945142575,14340.542271841528,14492.716281758067,14641.928957625645,14788.09690244046,14931.15859197292,15071.070722555352,15207.805352928439,15341.347626616687,15471.6939230485,15598.850329194083,15722.831354272463,15843.658831858973,15961.360969158177
