series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01
betas,2.5006658190569357,2.5006658190569406,2.496763427763604,2.4935609175144884,2.4906656781782655,2.487858084407288,2.485012468840576,2.482054264145053,2.4789366218182463,2.475627614510165,2.4721032192771135,2.4683434685856414,2.464330341319669,2.4600466120829165,2.4554752304557956,2.450598995546684,2.445400397456363,2.4398615556282963,2.4339642161008284,2.4276897872612553,2.4210194033279087,2.413934010021781,2.406414469691011,2.3984416845914183,2.38999673769185,2.381061050584998,2.371616558018627,2.361645898316126,2.3511326185842805,2.3400613931448673,2.328418253099398,2.316190824365048,2.3033685709260077,2.2899430394524827,2.275908100876616,2.261260184010224,2.2459984958758032,2.2301252231322977,2.213645708842088,2.1965685988739896,2.1789059524911125,2.160673312146667,2.141889728209391,2.1225777352551196,2.102763277671534,2.0824755835948827,2.0617469875848884,2.0406127038904245,2.0191105536011467,1.9972806503525924,1.9751650504890719,1.973907526777453,1.970747042956245,1.9658776285820974,1.9594017939555701,1.9513635849909958,1.94176953735015,1.930602027228074,1.9178280032624542,1.9034050202843662,1.8872857834428272,1.8694219467035322,1.8497676088932913,1.8282827527448893,1.8049367369283822,1.7797118519355004,1.7526068729336846,1.72364047924437,1.6928543595172618,1.660315786434197,1.626119429526035,1.5903881844565069,1.5532728354575989,1.514950434771361,1.4756213747087021,1.4355052351288227,1.3948355985857046,1.3538541219138247,1.3128042223619978,1.271924768125303,1.231444152959631,1.179104052603083,1.1295630547829805,1.082735585505104,1.0386173016735192,0.9972057313383695,0.9584726236025733,0.9223583004391483,0.8887749104652491,0.8576127200455752,0.8287468384660154,0.8020432836660389,0.7773640047287473,0.7545708087382129,0.7335282866429389,0.714105888269216,0.6961793069150101,0.6796313228984482,0.6643522355648215,0.6502399911075912,0.6372000924003145,0.6251453583329659,0.6139955843790269,0.6036771432543016,0.5941225542832619,0.58527004208736,0.5770630990633501,0.5694500614683632,0.5623837054590832,0.5558208668828484,0.5497220867755428,0.5440512832145552,0.5387754492712756,0.5338643762029283,0.5292904006385514,0.5250281742881886,0.521054454592365,0.5173479146966319,0.5138889711581923,0.5106596278498432,0.5076433346072042,0.5048248592588099,0.5021901717782532,0.4997263393984133,0.49742143162671204,0.49526443419515437,0.4932451710684059,0.49135423371656994,0.4895829169364028,0.4879231605753786,0.48636749657748934,0.484909000828199,0.48354124932893766,0.48225827827930967,0.481054547688211,0.4799249081737197,0.4788645706463182,0.4778690786011167,0.47693428277261735,0.47605631793051045,0.4752315816173282,0.4744567146487703,0.4737285832154007,0.47304426244042275,0.4724010212625708,0.47179630852598564,0.4712277401704361,0.47069308742554905,0.47019026592194507,0.4697173256404637,0.46927244162809884
S2,3428005.7233256917,3427343.510425646,3426798.5147875813,3426304.603527955,3425824.546197584,3425336.880815557,3424828.7351182634,3424291.8894313606,3423720.612273785,3423110.467969699,3422457.658071056,3421758.656275015,3421010.0048993775,3420208.200454203,3419349.6285248585,3418430.526150499,3417446.9597701603,3416394.812254903,3415269.7755478397,3414067.3470931584,3412782.8291543387,3411411.330632551,3409947.771280908,3408386.888368704,3406723.245936517,3404951.2468276327,3403065.1476994455,3401059.0772185936,3398927.057629626,3396663.0298609724,3394260.882294627,3391714.4832775765,3389017.7173938556,3386164.52544651,3383148.948019418,3379965.1724009737,3376607.5825567213,3373070.811738333,3369349.7972146044,3365439.8365096506,3361336.644437929,3357036.410139052,3352535.8532417184,3347832.278229522,3342923.626045584,3337808.5219611186,3332486.318747536,3326957.1342339795,3321221.882402501,3315282.297270495,3484978.649388465,3654067.6393356086,3822525.0042162198,3990303.9513830408,4157339.5480260435,4323551.257732749,4488844.175633136,4653109.38030922,4816223.709131921,4978049.180558666,5138432.230075921,5297202.890871774,5454174.030498802,5609140.745734077,5761880.015239563,5912150.709756956,6059694.059194929,6204234.672235474,6345482.194568659,6483133.674683561,6616876.680198583,6746393.172947388,6871364.10864537,6991474.67948826,7106420.06924424,7215911.544915538,7319682.671752508,7417495.413731323,7509145.872806569,7594469.428840151,7497507.367151653,7397452.946503336,7294461.314272141,7188931.593254669,7081380.328027646,6972373.925187729,6862489.978385674,6752293.623454361,6642322.383909922,6533076.301899243,6425011.681781918,6318537.484039962,6214013.744043642,6111751.558766983,6012014.2785866335,5915019.602901826,5820942.325741666,5729917.518200646,5642043.971117519,5557387.754583121,5475985.780642275,5397849.281819352,5322967.140792933,5251309.025744819,5182828.301802708,5117464.701860861,5055146.750228145,4995793.940369279,4939318.673823161,4885627.971534776,4834624.971629423,4786210.229361548,4740282.835821303,4696741.372181023,4655484.715978579,4616412.715302545,4579426.745875816,4544430.165017266,4511328.675362949,4480030.61010073,4761273.462389043,5041346.328661045,5320390.848873452,5598482.312940801,5875641.82165596,6151846.663610272,6427038.694839085,6390304.465456355,6354892.38527556,6320567.995595967,6287188.927031295,6254669.189153653,6222957.11561799,6192021.714384566,6161844.2157285875,6132412.845823678,6103719.607223234,6075758.310331458,6048523.385547991,6022009.182694109,5996209.574276791,5971117.747658673,5946726.113997696,5923026.28861376,5900009.114251584,5877664.709280799,5855982.529536712,5834951.436713229,5814559.768883272,5794795.410412172,5775645.859604283
E2,0.0,662.2129000457741,1074.7659494243467,1353.724005083703,1563.0365167002751,1738.0945749067978,1898.6213344454418,2055.74272958187,2215.871314305505,2382.8413264962646,2559.0829286180683,2746.26810540457,2945.665823977346,3158.337065759908,3385.2415405693855,3627.295562459059,3885.4027827785008,4160.4696905709125,4453.412405006418,4765.158320334567,5096.644532650527,5448.814081127975,5822.61054515098,6218.971272032752,6638.819368327159,7083.0545165593185,7552.542648626965,8048.104500794326,8570.503084151107,9120.430123677144,9698.491545784334,10305.19212660115,10940.919449975614,11605.92736396998,12300.319166198511,13024.030790235183,13776.814305789962,14558.22208250605,15367.591998981017,16204.034102781146,17066.419141628932,17953.36938856323,18863.252172945824,19794.17650339272,20743.993127293765,21710.298314497464,22690.44158071633,23681.53748082203,24680.48150584304,25683.970013298174,26688.524012265734,28099.529369104155,29859.95870261931,31946.719860154994,34359.479282659595,37113.57372534681,40235.64104972915,43761.00809263052,47732.177534143324,52197.97043127505,57213.026599956174,62837.460190591926,69136.52815823171,76180.2068415597,84042.59542571988,92801.0811781217,102535.2147447042,113325.25786785343,125250.38293235336,138386.52504598565,152803.91316465073,168564.3362368927,185718.231539005,204301.71241102356,224333.67795205317,245813.16420708565,268717.10176399973,292998.6363675814,318586.1466358606,345383.0575568811,373268.5032085354,398669.2183243029,421927.0016669748,443071.3168226494,462008.31287969067,478613.0470900911,492774.3782029825,504415.85103700025,513503.9137648057,520049.20629421144,524103.9783386208,525757.3735456497,525129.6319439746,522365.88395119674,517629.9804968791,511098.6532999366,502956.19310331193,493389.75543356163,482585.3449652153,470724.4861833756,457981.55671976256,444521.73819791595,430499.5257602957,416057.73001562443,401326.9025031111,386425.1166858506,371458.0399181652,356519.2369262772,341690.65141575877,327043.21894390654,312637.57077531266,298524.7947917137,284747.225462121,271339.2402790062,258328.04487035898,245734.43318751385,233573.51275694367,221855.38800365047,210585.79715032157,199766.7002232236,189396.81730882882,182270.89712949732,177598.5071389964,174813.65135287587,173517.722112657,173435.64549830978,174382.79493340576,176240.46304456095,176404.44830720956,175447.94601397804,173737.42307700455,171509.67406280892,168919.81053866228,166071.24745103932,163034.49444082033,159858.96332136568,156580.4071629453,153225.6205704989,149815.41923218942,146366.53627663938,142892.83552082576,139406.09316248988,135916.5063643654,132433.02869454844,128963.59558257803,125515.27974706986,122094.40189714814,118706.61274142939,115356.95646771716,112049.9221337805,108789.48704675153
I2,262.8161965365144,236.8576315486024,231.23665293397892,237.24368951360051,250.14457480771236,267.38912789401036,287.6289397859309,310.1781497532611,334.7172575309741,361.1304315880915,389.41619120764864,419.6384269123375,451.8995943834388,486.3260884516324,523.0602963210092,562.2562998835573,604.0775558934479,648.6956301404483,696.2894726770486,747.0449469392909,801.1544495268472,858.816525312497,920.2354196831241,985.6205299945195,1055.185729439997,1129.1485427497305,1207.729156830138,1291.1492519597257,1379.630641247381,1473.393708182524,1572.6556345373647,1677.6284137897087,1788.5166487251472,1905.515136008411,2028.8062453047494,2158.5571059660047,2294.9166203170853,2438.012329091131,2587.9471614281924,2744.7961088927377,2908.6028699590265,3079.376518103111,3257.0882527394997,3441.6682974441374,3633.0030139026394,3830.932302513652,4035.2473612898943,4245.688873408712,4461.9456903089695,4683.6540715311785,4910.397534564686,5141.707357911221,5388.041577225215,5657.29467817533,5955.961613857571,6289.886873032958,6664.749314551249,7086.381845780035,7560.989417160493,8095.304873159707,8696.706395505416,9373.309936829733,10134.043280297226,10988.703886122015,11947.999660018164,13023.569684000518,14227.98049471351,15574.692542569057,17077.99098483313,18752.874990571727,20614.900329384735,22679.971243755725,24964.079502298526,27482.991078522537,30251.884001720075,33284.94440251335,36594.93136378259,40192.72456604616,44086.87153794257,48283.153260880725,52784.18767356201,57589.09012592062,62601.15774747572,67742.41288553578,72943.37059796216,78138.89008931555,83266.91113846374,88268.5202567365,93088.57084858949,97676.46266848627,101986.87887004962,105980.3809578999,109623.81840274997,112890.54219353,115760.43072943197,118219.7475565321,120260.856419101,121881.82162059532,123085.92186500542,123881.10433776563,124279.40334889613,124296.34482459216,123950.35461882115,123262.18526251285,122254.3725456903,120950.73035301141,119375.88951672081,117554.88414904923,115512.78697824103,113274.39362896301,110863.95453593889,108304.95222800525,105619.92103263966,102830.30579102837,99956.35590411884,97017.05091605072,94030.05385103278,91011.68862476092,87976.93802716736,84939.45899863847,81911.61217932822,78904.50298654336,76003.15034403576,73262.96076542547,70718.67701997512,68390.91177031051,66290.85883074297,64423.65105981247,62790.72826159622,61323.49187412356,59975.50329663594,58714.74659154036,57518.723571275325,56371.32137010425,55260.79423567063,54178.44901508171,53117.7773865082,52073.87346423365,51043.035081664544,50022.48442631628,49010.16716568552,48004.60397690773,47004.777721388855,46010.04541356925,45020.067887743484,44034.75246293239,43054.205442432445,42078.692276222835,41108.60385926508,40144.42786232652,39186.72427379756
A2,1695.593046738217,1377.727718447555,1234.1201476706337,1188.8718415826952,1200.4104815751919,1246.0306303290286,1313.4116684801886,1395.957935058288,1490.2367980243594,1594.569525127511,1708.2560262110756,1831.1482614598824,1963.415464720335,2105.4148789805563,2257.6204962730235,2420.583635031098,2594.910929629433,2781.251767872219,2980.2907675725933,3192.7428396938726,3419.3494618222403,3660.8753778134724,3918.105265273243,4191.840092208171,4482.892983989473,4792.084478332169,5120.237079625135,5468.169045980423,5836.687359176857,6226.57984287877,6638.606410202475,7073.489439081879,7531.903293614874,8014.463031960364,8521.712366438398,9054.11096906598,9612.021245422111,10195.694730844265,10805.258294668927,11440.700369492564,12101.85745201689,12788.40114857853,13499.826060478397,14235.43882022226,14994.348598314746,15775.45940000911,16577.46446133505,17398.843033065205,18237.859809707126,19092.567218267686,19960.81072909444,20840.237289745543,21799.13168153833,22883.10276437462,24125.210664037564,25552.260111597534,27188.68659010413,29058.957389409617,31189.070228613924,33607.508924067995,36345.87142343681,39439.293591018824,42926.733907283095,46851.147389255515,51259.553587132315,56202.98853734365,61736.321174788325,67917.90940747624,74809.06918780976,82473.33134765261,90975.46581698369,100380.26125697566,110751.0600747683,122148.06388792503,134626.44197799772,148234.29385805872,163010.53511953622,178982.79131493054,196165.3958621278,214557.5931802525,234142.04638074792,254883.73947174026,276135.4732523474,297430.5620518559,318394.90961982805,338708.29862794466,358088.9063566823,376288.49689851166,393092.1310352392,408319.35341039207,421825.38024404296,433501.61730442574,443275.26417624316,451107.98880929867,456993.77591249195,460956.11032244563,463044.67718573747,463331.75922516605,461908.4965387366,458881.15220912016,454367.5014738972,448493.43604188995,441389.8501511373,433189.8522931492,424026.32681983546,414029.8531784394,403326.97729505785,392038.81947612815,380279.9958312556,368157.8252873975,355771.79138572334,343213.22685284296,330565.18906340975,317902.49564062303,305291.8912939496,292792.319330715,280455.2739029304,268325.2118047464,256440.0053965077,244831.42090675482,233525.6088883123,222543.5959353947,212386.40626334306,203324.2677977848,195478.74202502542,188879.57883597605,183503.3191726973,179298.93175918868,176204.3965287388,173718.37585862432,171532.77031207609,169460.69599254357,167391.30670693432,165261.39526522518,163037.51100756763,160704.68358829996,158259.30524813145,155704.63556898598,153047.9628338368,150298.81347322522,147467.82555261094,144566.04352837295,141604.4805708355,138593.85100323186,135544.4109840898,132465.86809621667,129367.33479852509,126257.30977312656,123143.6769698989,120033.71582232408,116934.11844704823
IH2,0.0,15.391412249778815,25.845524393597795,33.64951462995642,40.0727180000219,45.82541302147828,51.31084057798026,56.763749815972034,62.326606414688975,68.09153593990301,74.1234274879409,80.47267728188883,87.18223462582723,94.29151371727116,101.83858044139672,109.86138828044187,118.39848814928979,127.48944478214102,137.17508654523252,147.49765734296807,158.50090722277722,170.23014059763454,182.7322312221007,196.05560762120925,210.25020962963913,225.3674149831533,241.45993393376222,258.58166932125425,276.7875392613695,296.133259521365,316.6750827084256,338.4694915812904,361.5728441096444,386.0409683546581,411.9287058351708,439.28940278447095,468.17434959691906,498.63216981201714,530.7081611805404,564.4435926907337,599.8749628822501,637.0332263129144,675.942996631251,716.6217363002431,759.0789445614973,803.3153566640733,849.322168644586,897.0803029690278,946.5597310676935,997.7188691531402,1050.5040636562514,1104.8491821082043,1160.6753243126611,1218.5335650758964,1279.3149619780334,1344.093113723228,1414.0455404129611,1490.4209118976746,1574.5322732856748,1667.7645409744812,1771.5894616363075,1887.5841280055267,2017.4507971685387,2163.03664613991,2326.3525291529463,2509.589958146264,2715.1355274451053,2945.581918036694,3203.7344944973197,3492.612384329775,3815.442834995284,4175.647605211739,4576.820188882319,5022.692813653755,5517.0924170309245,6063.885187635466,6666.909762020334,7329.899768779695,8056.397077366773,8849.657792159373,9712.553677297716,10647.472246263604,11656.219147796377,12734.535905268778,13874.542837804143,15066.04037311467,16297.278499247577,17555.48138971181,18827.259429983387,20098.966087908546,21357.021202250235,22588.205661411455,23779.925502356324,24920.44136486015,25999.059510505165,27006.281949495213,27933.914906089296,28775.136515841863,29524.5260890216,30178.058406092692,30733.06730878502,31188.18332814424,31543.25028490032,31799.225754264633,31958.070057214252,32022.628072639545,31996.507704459586,31883.958324152227,31689.751974715342,31419.06959280791,31077.3940013246,30670.410958850523,30203.919134318698,29683.74950965555,29115.694401878354,28505.44603811374,27858.544409610655,27180.33397003617,26475.92862440443,25750.184372746106,25007.678921838582,24252.69755388504,23489.224538147893,22725.33858629442,21970.56963342228,21234.366509758023,20525.287439705317,19850.646167155628,19216.43329485524,18627.393759747283,18083.201700281686,17580.883997338216,17116.25263746088,16684.731825849172,16281.818024675842,15903.31966421681,15545.466652820818,15204.944754877553,14878.888229431319,14564.850752884817,14260.766436643928,13964.907735439174,13675.844005575207,13392.402656307662,13113.63377067093,12838.7784619556,12567.240897686814,12298.563752826556,12032.406779634142,11768.52816158818,11506.768327996724
IN2,10.56715273813317,19.12006215442443,24.998944386694035,29.53122668058662,33.44112145235273,37.12444789445324,40.79904055367141,44.58699574045239,48.55955987616619,52.76155257225528,57.22459292812893,61.974213476180275,67.03364877119262,72.42582402047637,78.17437658037706,84.30416322252381,90.84149790950966,97.81425097315466,105.25187849245988,113.18541693049907,121.64745986077037,130.67212384217277,140.2950053232345,150.55312775776306,161.4848767454035,173.12992034981343,185.52911146230332,198.72436899669162,212.75853473547775,227.67520275925705,243.51851856718702,260.33294523640916,278.16299427959194,297.05291925203113,317.04637064333633,338.18601117278155,360.5130912986013,384.06698555305024,408.88469122565584,435.0002919302111,462.4443896941415,491.24351038289996,521.419488491258,552.9888385654115,585.9621217262475,620.343316901307,656.1292073935565,693.3087942697747,731.8627486912517,771.7629156884848,812.971881959138,855.4426200123482,899.1182203708468,944.3731115746368,991.8277676281343,1042.2455368326166,1096.4792545263626,1155.447526089788,1220.128384167594,1291.562919902459,1370.8644883657826,1459.2308813935629,1557.9578966292254,1668.453297866154,1792.2504402160305,1931.0209373273008,2086.585747590518,2260.9239975231885,2456.1787747067688,2674.6590338817186,2918.8366889558915,3191.3379302199346,3494.9278283506146,3832.487381113614,4206.982337449192,4621.423403042161,5078.817789299206,5582.112501543916,6134.130249257096,6737.499368823239,7394.579638054245,8107.3862894284775,8877.514855181907,9702.368567546077,10576.710360355493,11493.507615611086,12444.449086920671,13420.312485341772,14411.264658399918,15407.129485935502,16397.636051276466,17372.649142424445,18322.37973803284,19237.571841441913,20109.662287973737,20930.911131830308,21694.501459433173,22394.608719937783,23026.440771966365,23586.25074971828,24071.32552664386,24479.95300325856,24811.371686507922,25065.706089747637,25243.89139745016,25347.59064043189,25379.107347267534,25341.296304017058,25237.47469187121,25071.335500987087,24846.86475456658,24568.263732101084,24239.87706309939,23866.127277921,23451.45615341453,23000.27297874528,22516.909690365297,22005.582682667246,21470.360989820256,20915.140451473064,20343.62341704304,19759.303506745015,19165.454928990046,18568.146172283774,17974.516739701423,17391.742163731895,16826.4590039031,16284.488875086534,15770.750091855696,15289.281361760124,14840.59339066592,14423.232362110892,14034.73429964421,13672.200300953416,13332.63617777179,13013.146208901097,12711.0371080969,12423.867283557447,12149.46329130302,11885.917120948314,11631.57276630613,11385.00727919306,11145.009465033381,10910.558102957846,10680.800777942402,10455.033919916306,10232.684342392531,10013.292390217775,9796.496697825429,9582.020497715906,9369.659386014522
D2,3018.0,3018.0,3018.0838035660586,3018.224527956757,3018.4077437186615,3018.6259327071416,3018.8754441207134,3019.154822734457,3019.463891491777,3019.8032490369533,3020.1739956219685,3020.5775848086637,3021.0157445575587,3021.4904366806745,3022.003837593491,3022.55833097362,3023.1565071487908,3023.801166349768,3024.495324230422,3025.2422187479833,3026.045317870405,3026.9083277770483,3027.8352013219333,3028.8301465785307,3029.8976353052185,3031.0424111740986,3032.2694976001194,3033.584204996396,3034.9921372676413,3036.49919733817,3038.11159149497,3039.8358323107045,3041.6787398968463,3043.647441224223,3045.7493672377564,3047.992247484914,3050.3841019741353,3052.9332299811476,3055.648195528405,3058.5378092767446,3061.6111065894775,3064.8773215581214,3068.345856816385,3072.026249015018,3075.928129884847,3080.0611828784185,3084.435095451584,3089.0595071241423,3093.9439535420343,3099.0978068508543,3104.530212779698,3110.250024923298,3116.2657367965808,3122.5854123166105,3129.220115907044,3136.1857636452764,3143.504117167152,3151.20334950092,3159.3184324652607,3167.8914871813786,3176.9721753996896,3186.6181722755823,3196.895739960428,3207.8804090997332,3219.657767896977,3232.324353307633,3245.988634688993,3260.772075989875,3276.810257856697,3294.2540356586755,3313.270703389828,3334.0451268459933,3356.780802704834,3381.700793594092,3409.0484834727185,3439.0880933096037,3472.1048947990857,3508.4050603447245,3548.3150913092068,3592.180773919135,3640.3656233238294,3693.248790929501,3751.222427738534,3814.688516197039,3884.025852085631,3959.570327691331,4041.6023004018193,4130.3381508307875,4225.924697435972,4328.435854549936,4437.871233508203,4554.156504027368,4677.145360057676,4806.6229236083345,4942.310397911373,5083.870760650744,5230.915274605856,5383.010588870548,5539.686208671779,5700.4421245225485,5864.756410314704,6032.092623171451,6201.906863695427,6373.654382120277,6546.795642510329,6720.801782537107,6895.159429743506,7069.3748560825325,7242.977470596733,7415.522665273825,7586.594041401653,7755.805053286305,7922.80011320169,8087.25520616677,8248.878065884199,8407.407964216605,8562.615166214526,8714.300101218498,8862.292298190887,9006.449130418529,9146.65441126489,9282.816878911644,9414.868604157668,9542.76335145586,9666.498872440801,9786.124807588232,9901.742244613119,10013.498869275658,10121.582189401066,10226.212330605884,10327.635253864068,10426.095145890036,10521.82000528106,10615.015027628644,10705.86049411646,10794.512164947024,10881.10297795382,10965.745343476194,11048.533626416307,11129.546588214629,11208.849670504589,11286.497066515089,11362.53356329113,11436.996158271308,11509.915464341306,11581.316922253942,11651.221840755725,11719.64828438884,11786.611827640087,11852.126192406413,11916.203783935822
R2,0.0,319.8795716125039,585.1339117478647,826.8513883024881,1062.6403678663878,1302.7287793943437,1553.3173354771452,1818.4259076594435,2100.9120202761605,2403.0341312445153,2726.7644885734876,3073.9641773459284,3446.4823112911,3846.2134598906255,4275.1320690668135,4735.314191354712,5228.952190034832,5758.3655161127235,6326.009239340465,6934.481228556829,7586.528438411982,8285.052512682349,9033.114772821567,9833.940576807401,10690.922981750024,11607.625609922994,12587.784594179839,13635.309461061259,14754.282796238169,15948.958526374168,17223.758643781955,18583.26819552614,20032.22835724659,21575.527414424236,23218.189480628043,24965.36079402098,26822.2934505839,28794.32645558325,30886.864004087056,33105.350936989664,35455.24536100447,37941.988469153446,40570.971651883345,43347.50104724266,46276.75974043639,49363.76788712187,52613.341099337806,56030.04749606601,59618.1638800434,63381.63155641986,67324.0123550472,71448.44545454693,75757.60563100579,80266.9407715037,85000.63957023324,89989.39960154548,95269.32141497439,100881.50394620148,106872.07842510211,113292.52054776036,120200.14411889421,127658.71742335406,135739.16537300052,144520.33190338052,154089.78191392936,164544.62261455331,175992.3219570257,188551.49788709095,202352.64718742526,217538.77732262923,234265.89956345514,252703.33740923673,273033.8016312756,295453.1828146913,320170.0147109481,347404.5675138576,377387.53959122446,410358.32918274915,446562.88368899416,486251.14263248857,529674.110052381,577080.6116536342,628713.8100358994,684696.2354018337,745061.5132301832,809770.4340940578,878720.2094351831,951751.0897330614,1028652.2650611795,1109167.8577048285,1193003.2656838892,1279831.846249754,1369301.8042384991,1461043.103554636,1554674.2154837286,1649808.5354828394,1746060.3293156105,1843050.103100936,1940409.3258494195,2037784.464811839,2134840.3219749806,2231262.6835672306,2326760.313247264,2421066.333863317,2513939.0526370355,2605162.290831784,2694545.2819659947,2781922.203000569,2867151.401219955,2950114.3762514438,3030714.572281864,3108876.030427207,3184541.9457154614,3257673.167520131,3328246.676737371,3396254.067687654,3461700.0577526405,3524601.043201208,3584983.7155561917,3642883.749221568,3698344.567925949,3751416.194825641,3802154.1888225954,3850709.5205828534,3897286.7255266467,3942116.5524259373,3985438.741193786,4027491.7524265037,4068507.173708722,4108707.2008631327,4148221.8435961157,4187123.3803520547,4225448.134280692,4263210.272032573,4300410.567548729,4337041.977871448,4373093.193898248,4408550.90034085,4443401.209815105,4477630.566325599,4511226.306268569,4544176.9972503465,4576472.631969751,4608104.7270152895,4639066.3589389855,4669352.158766791,4698958.278902283,4727882.341726495,4756123.376172682,4783681.746575621,4810559.076788107
G2,267897.0,267897.0,267914.77363824105,267943.6201031431,267979.95373654546,268021.9052684523,268068.55531740334,268119.5138667654,268174.6895173602,268234.16298144776,268298.11788132973,268366.80306429573,268440.51225331187,268519.5732301228,268604.3422529646,268695.20133845886,268792.55709688045,268896.8403922936,269008.50641871494,269128.03495858377,269255.9306853827,269392.7234240326,269538.96831040375,269695.2458058148,269862.16152976546,270040.3458777179,270230.4533924013,270433.16185795295,270649.1710868783,270879.2013707205,271123.9915667584,271384.2967951929,271660.8857242972,271954.5374250039,272266.0377814676,272596.1754503266,272945.7373686914,273315.50381928205,273706.24307052506,274118.7056196646,274553.61807783105,275011.6767472899,275493.54095243936,275999.82619718235,276531.0972316586,277087.8611205739,277670.5604130831,278279.5665199673,278915.1734073398,279577.59171702457,280266.9434218597,280983.2571193863,281737.4418683027,282538.8761258298,283396.31856125104,284318.51889120333,285314.63846722076,286394.5535947654,287569.0887432778,288850.20914411993,290251.1903743231,291786.77453070687,293473.31715972663,295328.9252891389,297373.58409514633,299629.2675586253,302120.0267164797,304872.0477262106,307913.67095157783,311275.3617244982,314989.62345729355,319090.8444909184,323615.0715671506,328599.70515238243,334083.1149865456,340104.1780569396,346701.7454785388,353914.0491887305,361778.0635677294,370328.84069472994,379598.8405983556,389617.2792943526,400317.4672004607,411641.88853269635,423533.818302786,435934.012586096,448779.87402406894,462005.82225315523,475544.2248707479,489326.54895109794,503284.5471410757,517351.3744575508,531462.5785118956,545556.9341295272,559577.1114020833,573470.1781415528,587187.9455976282,600687.1713401295,613929.6361491213,626882.1131263162,639516.2474478455,651808.364544398,663739.223282527,675293.7291420149,686460.6206057409,697232.1401291429,707603.6992315938,717573.5455193644,727142.437853937,736313.3344465478,745091.0974020805,753482.2161542781,761494.5513235946,769137.0997776595,776419.781067902,783353.2449383979,789948.6992379783,796217.7572979261,802172.3036499108,807824.3768381474,813186.0680134938,818269.4339742305,823161.541915993,827928.2440110759,832620.2012328824,837277.376019161,841932.347888445,846612.7410254489,851342.993536949,856077.647374269,860786.6289153598,865449.7004237669,870052.9796734193,874586.7475961726,879044.0607566845,883419.868181764,887710.4450996509,891913.0263425687,896025.5659036257,900046.5764640968,903975.0198184875,907810.2298628849,911551.8565637495,915199.8235769875,918754.2948701635,922215.6473959018,925584.447936928,928861.4329223117,932047.4904448106,935143.643981995,938151.037496688
