series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01
betas,4.731515613200738,4.731515613200738,4.657144510139613,4.58995099144298,4.5263881169539575,4.464279660131009,4.402288585995432,4.339606110905638,4.275763424367482,4.210514804931425,4.143763625711968,4.075514668173648,4.0058427832514125,3.9348717881860464,3.862759804366943,3.7896886707218846,3.715855963076974,3.6414687161807846,3.566738303302706,3.4918761531696982,3.4170901224885917,3.3425814246310455,3.2685420610055247,3.195152724384882,3.1225811518841855,3.0509809054251362,2.980490553460104,2.9112332221610138,2.843316478915278,2.776832506805105,2.7118585262566604,2.648457419342815,2.586678513193457,2.5265584813416244,2.4681223252857527,2.411384402727725,2.3563494735320734,2.303013739157546,2.251365855913938,2.201387906723405,2.1530563199983694,2.1063427277212354,2.0612147577932753,2.0176367582114114,1.9755704526575009,1.9349755286803254,1.8958101608648945,1.8580314722648572,1.8215959379762663,1.786459735098892,1.7525790435137276,1.719910301939861,1.6884104236554929,1.658036976107419,1.6287483284141189,1.6005037705100997,1.786866938285196,1.9335805764115557,2.046637667725073,2.1311627502521153,2.1913827387620013,2.2306757288329857,2.251690359238506,2.2565012783404876,2.2467694094402213,2.223887215295381,2.1890992668524616,2.1435947325836833,2.08857161358441,2.0252740610142825,1.9550050729618706,1.879117889892458,1.7989905931887344,1.715989508375897,1.6314276390347764,1.5465242103605719,1.4623704162316327,1.379904834224157,1.2999000682683344,1.2229603997837342,1.149528878817817,1.0799015062682296,1.01424592655924,0.9526222402732847,0.8950039905172303,0.8412979195620256,0.7727543960264984,0.7134212048009779,0.6614883202815737,0.6157116425275763,0.575155409944131,0.5390754391959061,0.5068605415146576,0.47799953149896685,0.4520603312901958,0.4286753309250264,0.40753035259315473,0.38835593430701154,0.370920254890439,0.3550233026361233,0.3404920278282516,0.32717629314467767,0.31494547990234956,0.303685637269965,0.2932970827378952,0.28369237847672346,0.2747946213009181,0.2665359946347325,0.25885653967405164,0.251703110209214,0.2450284815907008,0.23879058929849348,0.2329518766948343,0.2274787349470946,0.22234102092581753,0.2175116412153901,0.21296619230643768,0.2086826486403484,0.20464109150549198,0.20082347288954655,0.19721340931222697,0.19379600142994624,0.19055767584504746,0.1874860460890098,0.18456979019934208,0.18179854268842832,0.17916279902149695,0.1766538309900954,0.17426361159520534,0.17198474824721463,0.16981042325399606,0.16773434070799234,0.1657506790023471,0.16385404830796368,0.1620394524306222,0.16030225454216385,0.1586381463441564,0.15704312027794706,0.1555134444429221,0.15404563992623366,0.15263646028316738,0.15128287293850323,0.14998204230633677,0.14873131444945048,0.14752820311994466,0.14637037704085704,0.14525564830428436,0.14418196177535852,0.14314738540359098,0.14215010135379347,0.14118839787821233
S2,24742.980729026545,24738.989548876314,24735.272342089684,24731.65440683691,24728.01973960348,24724.289674946565,24720.40965091255,24716.340870295848,24712.054994705948,24707.530752263938,24702.751767041158,24697.70517383283,24692.380739103504,24686.770307742834,24680.867458276494,24674.667289800153,24668.16629032578,24661.362253546555,24654.254222461317,24646.842445907027,24639.128339148545,24631.114443118968,24622.80437924165,24614.202798353857,24605.31532332572,24596.148485681122,24586.70965698339,24577.00697601969,24567.049272954322,24556.845991659786,24546.4071114034,24535.74306898758,24524.86468233068,24513.783076345277,24502.50961183237,24491.055817970755,24479.433328846506,24467.653824342262,24455.728975592236,24443.670395108216,24431.48959159498,24419.197929400136,24406.80659248331,24394.326552741495,24381.768542490452,24369.14303087497,24356.460203962226,24343.729948261378,24330.961837407463,24318.16512174779,24305.34872057318,24292.521216743833,24279.690853469354,24266.86553301421,24254.052817112708,29639.166106759636,35019.344183234236,40394.247390490265,45763.539915489084,51126.79907392891,56483.45150900679,61832.73289533033,67173.66439648982,72505.03940547859,77825.41598718397,83133.11260184919,88426.20645618143,93702.53498303118,98959.70149463967,104195.08608843152,109405.86254515598,114589.02139627394,119741.39869935917,124859.70948006853,129940.58437787148,134980.6078251702,139976.35610034846,144924.43378684972,149821.50747940945,154664.33593627549,159449.79622431437,164174.90570301912,168836.83992453513,173432.946687227,177960.75657787704,177020.0842073228,176059.85818567796,175078.025438932,174075.24007675704,173053.45797369754,172015.22532036432,170963.3070720787,169900.48923905953,168829.47320467458,167752.82021238277,166672.9239106079,165591.99893267857,164512.07879098257,163435.01922563923,162362.50473205064,161296.05689149737,160237.0436535924,159186.6890335805,158146.0828807475,157116.190496326,156097.86195844947,155091.84106425283,154098.77383481426,153119.2165531536,152153.6433225853,151202.45314469916,150265.97652462422,149344.48161704573,148438.1799303917,147547.2316091782,146671.75031606262,145811.80773595476,144967.4377247807,144138.6401253216,143325.38427207782,149194.76099445767,155014.93160770685,160787.0860445047,166511.91248941512,172189.65171567458,177820.1519000957,183402.92099061873,182270.02616170578,181159.59805221556,180068.48318739762,178994.61587342067,177936.67045485377,176893.82280126942,175865.58599398544,174851.69683457943,173852.0373856374,172866.58077994586,171895.353905931,170938.41186214177,169995.8206347937,169067.64552618322,168153.9436044135,167254.75896088866,166370.11992205158,165500.03761392424,164644.50545508583,163803.49927847125,162976.97787048237,162164.88377828072,161367.14428037827,160583.67244708163
E2,0.0,3.9911801502302153,6.909509438411122,9.144432296878023,10.948743364191206,12.48729964996446,13.86785677663445,15.160837175463595,16.412108657994523,17.651291589918788,18.897181552904705,20.1613012675552,21.450235389073264,22.76717215822619,24.112928019185258,25.486635426069782,26.88621156531649,28.308684839604368,29.750429143033706,31.20733833554349,32.67496173713244,34.14861385088288,35.623466542068044,37.094628664975446,38.5572160562815,40.006413516570476,41.437529620766966,42.84604475898343,44.227652592580085,45.57829503455967,46.89419087273459,48.17185820997431,49.408130972253765,50.60016981498555,51.74546783041817,52.84185151747539,53.88747751734057,54.88082564266156,55.820688736315866,56.70615988903803,57.536617526194355,58.31170884514168,59.03133204845216,59.695617777180146,60.30491010440094,60.85974740424993,61.360843367114235,61.809068388620716,62.20543151950291,62.55106312589877,62.84719837552323,63.09516163466167,63.29635183408193,63.45222883869661,63.56430083596156,63.634112741348936,68.62516421770809,77.89207244816483,90.91479189847743,107.3642409869062,127.1278798396945,150.3066632348564,177.19584978653447,208.25936952858825,244.10362003056719,285.4532265311085,333.1290262943227,388.02733106202663,451.09916678032056,523.328416172457,605.7083439612709,699.2166515744334,804.7898169035493,923.2979036667175,1055.521209187878,1202.1300529828802,1363.668736948177,1540.544310060087,1733.020334786239,1941.2154552281909,2165.106258979791,2404.5337272525894,2659.2124779210776,2928.7420049328284,3212.619179398019,3510.251377144834,3767.862950543783,3995.5175306492238,4198.557221180192,4379.953081648768,4541.49116608515,4684.381265945694,4809.569965058501,4917.899005200819,5010.181784417259,5087.236485448047,5149.896538081119,5199.009673137473,5235.431711293874,5260.018416260161,5273.617175586107,5277.059394785745,5271.153999013811,5256.682164341335,5234.393254126662,5205.001861716673,5169.185827937072,5127.585092561477,5080.801242615124,5029.397630735525,4973.899950214557,4914.797167656288,4852.542728200216,4787.555961336942,4720.223627175478,4650.901553501214,4579.916323100747,4507.566978698272,4434.126719555472,4359.844569453498,4284.9470005242965,4274.247092160174,4313.705061625402,4392.593087341491,4502.778047564622,4638.14734849097,4794.152126374941,4967.446006759922,5083.586539595225,5157.167054912174,5198.772090354999,5216.127536476114,5214.911338997354,5199.327730183029,5172.515699874373,5136.840674432825,5094.103544572201,5045.69097778203,4992.683875063921,4935.935895828601,4876.130514322269,4813.822634286211,4749.469066227548,4683.450950093929,4616.090337007026,4547.662523546403,4478.405288373908,4408.525862735962,4338.206237563475,4267.607245000955,4196.871733120107
I2,4.282401126150788,3.8276231127312004,3.5854943042749796,3.4892529798966936,3.4952642776065472,3.5749370781300014,3.709505213681119,3.8866327048549514,4.098193547352284,4.338813488541244,4.604908744770676,4.894050104258944,5.204540825276013,5.535135505015007,5.8848522875179565,6.252847207378654,6.638330201009495,7.04050933881683,7.458554424060485,7.891574104642254,8.338602600250455,8.798593418569943,9.270418257105636,9.75286981748063,10.24466759982437,10.7444659640777,11.250863887554194,11.762415943321697,12.277644090991316,12.795049922483138,13.313127047789504,13.830373344083714,14.345302828079454,14.85645694736803,15.362415121762652,15.861804400209362,16.353308132100423,16.835673583294845,17.307718456289656,17.768336300361934,18.216500820803734,18.651269116416305,19.071783891157775,19.477274699300956,19.86705829379804,20.24053815498125,20.597203281518585,20.93662632798922,21.258461173858326,21.562440007331336,21.848370004860918,22.116129683255885,22.365664996667515,22.59698524544566,22.81015885817706,23.005309102324187,23.18260977292912,23.546608598430268,24.253554682912593,25.421688948554447,27.14314421071213,29.49563476976325,32.55277912874823,36.39253620941338,41.103690148159004,46.7905673742737,53.57625457316216,61.60456832750852,71.04096163521449,82.0724792687532,94.90681780630678,109.77051881481302,126.90632668700343,146.5697704028147,169.02507096989427,194.5405218583621,223.38352773179713,255.81550954514543,292.0868880463414,332.4323433213522,377.0665187985822,426.1802993236995,479.93775010191246,538.4737613354674,601.8924058221629,670.265985755387,743.6347213318612,819.8201293539906,897.2894860834153,974.8928213545652,1051.7246338676232,1127.049131891185,1200.2584806534323,1270.8483750509358,1338.402727811772,1402.5831338602707,1463.1208177327426,1519.8098669833564,1572.5011452257716,1621.0965958206746,1665.5438150156956,1705.8308588246216,1741.9812881972657,1774.0494727822315,1802.1161764545654,1826.2844443104489,1846.6758046717152,1863.426792788028,1876.6857964158899,1886.6102177871535,1893.3639418418559,1897.115097006755,1898.0340921783957,1896.2919118026148,1892.05864990164,1885.502263456943,1876.787525591608,1866.075159404056,1853.5211339937257,1839.2761051111304,1823.4849838951584,1806.2866182770576,1790.4740544651816,1777.965580180151,1770.034004893867,1767.4820550352288,1770.775498881847,1780.143323471733,1795.6523974652885,1814.2970160649093,1833.9916112308783,1853.3079575330644,1871.2876478787023,1887.3078677290634,1900.9850700115835,1912.1056999289342,1920.5762876562019,1926.387448617799,1929.5878965543247,1930.2656824724218,1928.5346595449196,1924.5247349291462,1918.3748704663087,1910.2280817115904,1900.2278913973855,1888.5158423486455,1875.2297824336376,1860.502712003501,1844.4620407691546,1827.2291421371585,1808.919122947404
A2,16.533224926863696,15.871889925857555,15.871532904470172,16.335150921059448,17.13553573515481,18.19075718664873,19.448371588253824,20.875164184080216,22.45044469368442,24.161642594953094,26.001399285341442,27.96563866135275,30.052279566052878,32.26037092878026,34.58950659376999,37.03942645126315,39.60974287212449,42.299752603422625,45.108308093202936,48.033731207766955,51.07375813851974,54.225508053655965,57.485470447735466,60.84950765206545,64.31286990386889,67.87022094034178,71.51567242286194,75.24282569806897,79.04481952609834,82.91438249042082,86.84388887250974,90.82541684205889,94.85080788715803,98.91172649171608,102.99971915967237,107.10627198558939,111.22286607658764,115.34103023840079,119.45239044574114,123.54871572156237,127.62196014897269,131.66430083172725,135.66817170313138,139.62629315798438,143.53169754746537,147.37775063253602,151.15816913772818,154.86703458453763,158.49880361266798,162.04831501878158,165.5107937570034,168.88185215400833,172.15748859491285,175.3340839351804,178.40839588907843,181.3775516375864,184.23903888867295,187.7795511266081,192.651709796223,199.3993535590918,208.49224940545224,220.36348170238895,235.4448612405382,254.197866918849,277.13927466728904,304.86159526705137,338.04884095694575,377.48816128682705,424.0777166434442,478.8309363302182,542.8771313928154,617.4583508729941,703.9223979697344,803.7120460494488,918.3506811710115,1049.424806340821,1198.5640323604116,1367.4193190120263,1557.6403003982066,1770.852526249941,2008.6353859517285,2272.501370596571,2563.8771900177735,2884.0871146207555,3234.338770407424,3615.711489648361,4029.1472145725534,4467.000869081275,4923.533115398815,5394.083487719664,5874.650284457062,6361.67582332795,6851.937065254325,7342.490383334858,7830.643718295868,8313.94200956195,8790.1584759007,9257.287908166654,9713.540079938935,10157.332434272688,10587.28176778793,11002.194924798952,11401.058654487386,11783.02884067794,12147.419324796605,12493.690529872212,12821.438069425878,13130.381496826372,13420.353322080031,13691.288396141657,13943.213738674005,14176.238864121708,14390.546643021227,14586.384720470089,14764.05750135933,14923.918702027659,15066.364460114315,15191.82698827396,15300.768752798862,15393.677154826511,15471.059689479389,15533.439556800233,15591.623117866604,15653.752407796997,15725.938250751227,15812.754018724258,15917.618357023306,16043.089978113523,16191.093232955242,16351.640515469295,16517.463798891527,16683.268527251,16845.200203437664,17000.46120071075,17147.034194127566,17283.481594207842,17408.79937491917,17522.309980182275,17623.583411069547,17712.378712173395,17788.600282557505,17852.265005209778,17903.47730729562,17942.410063336472,17969.289827061566,17984.385290182046,17987.998163742926,17980.4558926779,17962.105769966445,17933.3101299582,17894.44238285428
IH2,0.0,0.17133366096498157,0.3172251135433305,0.4472583516013702,0.5679409287447974,0.6837593634815833,0.79786650707401,0.9125310395271096,1.029432132394812,1.1498528198679439,1.2748068488808262,1.4051217039445858,1.5414926787153607,1.6845177726559915,1.8347198639196947,1.9925604310297564,2.158447666802228,2.3327408887778085,2.515752531897877,2.707748600528691,2.908948185636307,3.1195224713532905,3.3395935321590002,3.569233137000189,3.8084617165917107,4.057247606224897,4.315506643126737,4.5831021712381625,4.85984548502193,5.145496726233375,5.439766232697639,5.742316325575471,6.05276351110298,6.3706810642005625,6.695601954552696,7.027022070666392,7.364403693919269,7.707179172590607,8.054754745195476,8.40651446296312,8.761824162855037,9.120035444939091,9.480489611056349,9.84252152537501,10.20546336146739,10.568648204830199,10.931413484168852,11.29310420917248,11.653075996823771,12.01069787243922,12.365354835559165,12.716450184456596,13.063407596375901,13.40567296362658,13.742715988331938,14.074031540967379,14.39914078982295,14.717592110202007,15.037136686138926,15.371449177722493,15.738356508012492,16.158617676486045,16.655222870444415,17.25313522207412,17.979381011445057,18.863395502889954,19.937542877715764,21.237742921529755,22.804150006812286,24.681839624477934,26.921464090418688,29.579842909876668,32.720455881960056,36.413809637034156,40.73765191069813,45.777013016045444,51.62406073853825,58.37776287421749,66.14336020107854,75.03166103877193,85.15817598727064,96.64211738691296,109.60529218971308,124.17091919094607,140.4624020544336,158.6020885260775,178.71004399396702,200.90286446617242,225.2050556945212,251.57876447067704,279.94172979838714,310.1789421617929,342.15081859994785,375.6993615198846,410.6530796972037,446.8310885195772,484.04661527967323,522.1100340266478,560.8315013258972,600.0232369993056,639.5014804919149,679.0881473658744,718.6122079573503,757.9108094821005,796.830162787344,835.2262149780155,872.9651290358491,909.9235911982913,945.9889662534138,981.059320061594,1015.0433275783836,1047.8600834749104,1079.438831180157,1109.7186248463222,1138.6479374006205,1166.1842265239638,1192.2934691122953,1216.9496735474388,1240.1343779437177,1261.8361414526473,1282.050034705575,1300.7771345553465,1318.0240274428159,1333.9087675967178,1348.6211641316415,1362.393921150946,1375.4820159181731,1388.1482754582255,1400.6535711977226,1413.2504155240215,1426.0603854296219,1439.1164743869301,1452.3931387437208,1465.8275705942413,1479.3347006373358,1492.8177125921354,1506.1753412575054,1519.3068651467481,1532.1154476380657,1544.5102970950186,1556.407985011135,1567.7331668765848,1578.4188825406493,1588.4065638359143,1597.6458417972513,1606.0942201424511,1613.7166630587844,1620.4851318083836,1626.3780948218082,1631.3800287822855,1635.480922982672
IN2,0.28344435245460564,0.5512365853124439,0.7741400957247688,0.9687085546554409,1.146162683479063,1.314215470309415,1.4782615890271251,1.642155714923066,1.8087231676622728,1.980095404078336,2.1579304675131916,2.3435576381385204,2.5380720066470244,2.7423958873242147,2.957318232261732,3.183519439456661,3.421586474017296,3.6720215952970263,3.9352469109349326,4.2116062700917105,4.501365537209805,4.804711972150002,5.121753228644934,5.452516335372828,5.796946919570788,6.154908857041065,6.52618447504753,6.9104753898432225,7.307404024587815,7.716515823854856,8.13728215637639,8.569103877285903,9.011315504396402,9.46318994966959,9.923943736761025,10.392742628158931,10.8687075807594,11.350920946506442,11.838432834716198,12.330267554624665,12.825430060258093,13.32291232463072,13.821699576235938,14.320776337536252,14.819132212415694,15.315767377100155,15.809697736668406,16.299959716790262,16.785614667589016,17.265752863412445,17.739497088717513,18.206005806161045,18.66447590829753,19.11414505899167,19.55429363475009,19.984246279671236,20.40337309062421,20.81109045162376,21.22038561725048,21.65387051551795,22.140734569929986,22.714653434526266,23.412586923810267,24.27432656428571,25.34262650852915,26.663756436904084,28.28833614225414,30.272337019021357,32.67815861596722,35.57570574120349,39.04340313357466,43.16909188790055,48.05075678866484,53.79703859954229,60.527491816711866,68.37255730965903,77.47323071215138,87.98042074765696,100.05400576644739,113.86161034887908,129.57713570392968,147.37908687665342,167.44874598167672,189.96824370696734,215.1185814141934,243.07765375337928,274.0183173804557,308.10654571193567,345.3549570773663,385.6740248074121,428.9030515606872,474.83028039942957,523.2069471265911,573.7577931075438,626.1893807637742,680.1969364128844,735.4701179046205,791.6979307755525,848.5729250595246,905.7947574607383,963.0731797910117,1020.1305031881199,1076.7035825339626,1132.5453633396971,1187.4260323747008,1241.1338125705863,1293.475441797363,1344.2763738186095,1393.3807380598366,1440.651092813088,1485.9680042257169,1529.2294809648088,1570.3502918900786,1609.2611914771187,1645.9080751680676,1680.251084334691,1712.263678155095,1741.9316874555047,1769.2523634700055,1794.23343253407,1816.8921659566283,1837.2544727103655,1855.3540211374007,1871.407487031247,1885.7465490816626,1898.7688152509832,1910.9030681418792,1922.5852408502308,1934.2423499865727,1946.282257733599,1958.8913615189601,1972.1077257317502,1985.872781155046,2000.0677576059886,2014.5392205632272,2029.1168220501308,2043.6254860949732,2057.8936180224155,2071.758477662289,2085.0695358157714,2097.690403613849,2109.499759470734,2120.3915796354186,2130.2748927409166,2139.0732169024573,2146.7237931609334,2153.176696640857,2158.393883275188,2162.348212885224,2165.022477021158,2166.40845098869
D2,134.0,134.0,134.00110709776445,134.0031568947048,134.00604692062495,134.00971675484786,134.01413496699868,134.01929049931687,134.0251869534529,134.0318387812723,134.0392687251557,134.04750607795918,134.05658547945234,134.06654606214744,134.07743082261862,134.0892861360945,134.1021613597153,134.11610848821942,134.13118183812873,134.14743774480957,134.16493426245478,134.1837308609459,134.20388811629599,134.2254673933204,134.24853052058015,134.27313945865234,134.29935596350788,134.32724124728747,134.35685563910852,134.38825824873967,134.42150663607015,134.4566564892942,134.4937613146444,134.53287214035166,134.57403723729976,134.6173018585871,134.66270799992117,134.71029418246115,134.76009525940077,134.8121422472562,134.86646218249956,134.92307800386487,134.98200846035417,135.043268044694,135.1068669517375,135.17281106107862,135.24110194294477,135.311736886261,135.38470894763572,135.46000701990124,135.53761591875377,135.61751648597317,135.6996857076629,135.7840968459318,135.87071958244002,135.95952017224963,136.0504616064536,136.14350378210312,136.23860367800964,136.33576835840546,136.43509324835946,136.53678896423773,136.64120025974862,136.7488204430924,136.86030412543624,136.97648055224906,137.09836916930922,137.22719854833434,137.36442936204378,137.5117817465674,137.6712670999794,137.8452241177768,138.0363586430848,138.2477867031294,138.48307991414595,138.74631227085038,139.04210720388966,139.3756836996741,139.75290023965042,140.1802953341013,140.66512349763855,141.2153856336821,141.8398529538023,142.54808374318657,143.3504324834733,144.2580510473072,145.2828818753697,146.43764322858675,147.7358067702172,149.19100251105598,150.8166158677996,152.62550071556353,154.62976777848408,156.8406258447724,159.26826277784895,161.92175832525032,164.80902342186536,167.93676214313928,171.31045326841914,174.93434887565044,178.81148767341378,182.9437209743137,187.33174937204805,191.97516832687268,196.87252100171693,202.02135682817752,207.41829441878622,213.05908757840726,218.9386933018088,225.05134077469555,231.39060052026855,237.94945295146113,244.72035569947053,251.69530919145626,258.86592004397767,266.2234619238003,273.7589336042094,281.46311401317655,289.32661412999227,297.33992563974505,305.4934663007906,313.7776220196408,322.1827856610512,330.6993926490381,339.318641232459,348.03295613980913,356.83626575152897,365.72414602131965,374.6938711985357,383.7444011917978,392.8763275558257,402.0910274330388,411.39009115805317,420.774944011402,430.24660543105574,439.80554516712675,449.45160737702406,459.183981878098,469.0012076609312,478.9011979919672,488.8812794740765,498.93823962450864,509.0683791108309,519.2675659277036,529.5312896229199,539.8547142777629,550.2327293775097,560.6599980183568,571.1310021200532,581.640084472931,592.1814875611174
R2,0.0,0.6769871206029083,1.3484483881413634,2.0374325963067514,2.7603659187356713,3.529438982067843,4.35415187779717,5.242317818002874,6.200715573528224,7.235512489449812,8.352536766295628,9.557450145981397,10.855854383298563,12.25335337503681,13.755585336254127,15.368234540575157,17.09702896725724,18.947728131326436,20.926104029445057,23.037917261613202,25.288889822275728,27.68467568549768,30.230830066365108,32.93277807795291,35.79578338958652,38.82491740799453,42.025029435770804,45.40071820359228,48.956305119315715,52.695809525946736,56.62292621044616,60.74100535617164,65.05303508370959,69.56162667845707,74.26900255918696,79.17698700058203,84.28699958488968,89.60005132384546,95.11674336212863,100.83726814799992,106.76141293545916,112.88856546516672,119.21772165832394,125.74749514845607,132.47612847028475,139.40150572227682,146.52116651965363,153.83232105727177,161.3318661064802,169.0164017764696,176.88224887842554,184.9254667396724,193.14187132466898,201.52705352993968,210.07639753057504,218.78509906662146,227.6481835683358,236.66052402977064,245.84841305745363,255.26524329882844,264.9878998533708,275.11430939811055,285.76232567943794,297.0699398825786,309.1966944404587,322.3261324705676,336.66910765747025,352.46778952457623,370.00021190590724,389.5852201425697,411.58767268580493,436.42374674280734,464.56618882975783,496.54934380409065,532.9737939578724,574.5104457192257,621.9039164930147,675.9750976162848,737.6227994257807,807.8244183448684,887.6356007766615,978.188911789149,1080.6915460456535,1196.422142857984,1326.7267860267987,1473.0142822854611,1636.750820107665,1819.454114060442,2022.349416522053,2246.4339792739365,2492.512333482605,2761.21711896332,3053.022851952805,3368.2563867502254,3707.10596933714,4069.629812747741,4455.764614484334,4865.334169268223,5298.058093731974,5753.560613743781,6231.379337640199,6730.973931953605,7251.734620341307,7792.990435785941,8354.01716761605,8934.044956758038,9532.265503944127,10147.838865898166,10779.89982360393,11427.56381458461,12089.932427729658,12766.098464683471,13455.150576268328,14156.177485967375,14868.271815256277,15590.533527652708,16322.073009850561,17062.013809310472,17809.495048270204,18563.673534388174,19323.72558820258,20088.848607330914,20858.26238689595,21631.62107562682,22408.920702346008,23190.426848826683,23976.618329042663,24768.14351937235,25565.786637138935,26370.441803459653,27182.635203350575,28002.6169480874,28830.428649113102,29665.95358693313,30508.954326528466,31359.101217736643,32215.99422993011,33079.17987419269,33948.164473962206,34822.4246955822,35701.41600104609,36584.57950694259,37471.347605588,38361.148612054916,39253.41063404018,40147.56481300896,41043.04804965415,41939.305300751366,42835.791515346136,43731.973264002074,44627.330104217144
G2,6090.0,6090.0,6090.164353159031,6090.4488804569255,6090.825439840107,6091.27629910769,6091.790514720112,6092.361580416081,6092.985889865805,6093.661725534146,6094.388589625613,6095.166758329629,6095.996982330745,6096.880283463605,6097.817814851706,6098.8107632389665,6099.860279644559,6100.967429319294,6102.13315514631,6103.358250689015,6104.643340423713,6105.988865551763,6107.395074330036,6108.862016197213,6110.389539179059,6111.977290175947,6113.624717802727,6115.331077485644,6117.095438537527,6118.916692940111,6120.793565566805,6122.72462558415,6124.708298777338,6126.742880555521,6128.826549406227,6130.957380584812,6133.133359843839,6135.352397028033,6137.6123393821945,6139.9109844414925,6142.246092395399,6144.615397837509,6147.016620833328,6149.4474772564345,6151.905688360089,6154.388989566164,6156.895138466291,6159.421922041221,6161.967163113799,6164.528726058664,6167.104521797899,6169.692512116668,6172.290713336331,6174.89719938494,6177.510104306455,6180.127624250619,6182.748018985386,6185.573940668612,6188.781465182277,6192.525253407494,6196.946414945926,6202.181425109862,6208.370916437288,6215.667679946672,6224.243610872223,6234.295575347088,6246.050278910955,6259.768228433529,6275.746840084695,6294.322692415558,6315.872879370565,6340.815396629692,6369.608500726141,6402.749011498715,6440.76957721672,6484.234978081706,6533.737597441624,6589.892232500171,6653.330442366702,6724.694639412646,6804.632121665342,6893.789223050594,6992.805729245507,7102.309674151496,7222.912599195962,7355.205327417421,7499.754278131412,7654.911438522081,7819.443206923371,7992.335964628913,8172.698438453737,8359.712903289137,8552.611452135368,8750.665157451542,8953.179753855566,9159.494470955095,9368.98223037692,9581.050273626497,9795.140750991446,10010.731054674434,10227.333816447328,10444.49656272856,10661.801056457476,10878.86237137363,11095.327749334834,11310.875290298645,11525.212520525012,11738.074879140962,11949.224157409839,12158.4469194001,12365.552927528091,12570.373591780542,12772.760457343047,12972.58374185855,13169.73093057603,13364.105435173069,13555.625319990973,13744.22209775239,13929.839595486652,14112.432890319556,14291.967313949124,14468.41752398925,14644.427121560184,14822.06156233199,15002.944540064826,15188.364833982028,15379.359512268165,15576.77832504687,15781.333221793207,15990.670679773197,16203.038116275895,16417.118810198514,16631.914185565976,16846.659479030313,17060.76305369436,17273.762533400182,17485.29294809036,17695.063486744846,17902.840440046315,18108.43460919501,18311.691948307252,18512.486556345568,18710.71538270253,18906.29418781083,19099.15442709864,19289.24081776565,19476.509413473646,19660.926059392885,19842.465134287373,20021.108511141694,20196.844685861484
