series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01
betas,3.4202531495271167,3.4202531495271167,3.4131291282936416,3.406628241980249,3.4003835365083304,3.394153143733738,3.387773910691838,3.3811322822927203,3.3741459153220528,3.3667520355132106,3.358900061775307,3.350546945176916,3.3416542431212894,3.332186308172704,3.3221091975224084,3.3113900525961304,3.29999678941561,3.287897998185311,3.2750629872532393,3.2614619297368943,3.2470660855711246,3.231848080620667,3.2157822297869414,3.1988448939986687,3.181014862433894,3.1622737518201824,3.1426064145664503,3.1220013470511154,3.100451088815958,3.077952602840079,3.054507626612343,3.0301229834824044,3.0048108438302807,2.9785889260151523,2.951480627887087,2.923515080889385,2.894727120436121,2.86515716828377,2.8348510249640846,2.8038595729187077,2.7722383936643276,2.7400473049954925,2.707349826769633,2.6742125860868486,2.6407046745597773,2.606896971771578,2.572861449875792,2.538670474566943,2.5043961173458147,2.47010949315294,2.4358801361123845,2.4017754244033704,2.367860063264158,2.33419563294316,2.300840206158568,2.2678480374145717,2.2566292421345073,2.2443570076378276,2.2311546456776874,2.2171077762335667,2.202276617081625,2.1867045928106847,2.170424333293952,2.15346184074548,2.1358393811719187,2.117577490785529,2.0986963685868822,2.0792168415647807,2.0591610295435165,2.0385527955089677,2.017418038976713,1.9957848707915586,1.9736836949282883,1.9511472144599582,1.9282103735091791,1.9049102437424752,1.8812858621346384,1.8573780258426908,1.8332290497474817,1.8088824922997004,1.7826516813020492,1.7441885898872616,1.7069253606736843,1.6708221206514042,1.6358688642333383,1.6020690971205542,1.569430391820046,1.5379591088024687,1.5076576355417426,1.4785231426803245,1.4505472436869227,1.42371617899455,1.3980112894477623,1.3734096330409138,1.34988465476945,1.3274068547339688,1.3059444221587542,1.2854638174270325,1.2659302935028554,1.24730835402206,1.2295621490449467,1.2126558117141473,1.196553740339583,1.181220831062922,1.166622666455957,1.152725665330959,1.1394971987899287,1.1269056771853228,1.1149206122567537,1.1035126582799804,1.0926536356388423,1.0823165398222594,1.0724755384659193,1.0631059587068332,1.054184266800633,1.0456880416665861,1.037595943772782,1.0298876805519388,1.0225439693445366,1.015546498697943,1.0088778887053091,1.002521650943747,0.9964621484652276,0.9906845562035722,0.985174822084741,0.9799196290635795,0.9749063582565085,0.9701230532949969,0.9655583859876158,0.9612016233480213,0.9570425960212857,0.9530716681207883,0.949279708471638,0.9456580632436893,0.9421985299471041,0.9388933327556337,0.9357350991169563,0.9327168376051599,0.9298319169675535,0.9270740463161357,0.9244372564130977,0.9219158819994749,0.9195045451163669,0.9171981393689037,0.9149918150842284,0.9128809653161274,0.9108612126504967,0.9089283967675253,0.907078562718265,0.9053079498750918,0.9036129815174427
S2,67906.50667939073,67875.39363358509,67846.8884788184,67819.4039936437,67791.8817153813,67763.59705889363,67734.03557126435,67702.81407836062,67669.63031105768,67634.2306651079,67596.3895393712,67555.89608596367,67512.54571965082,67466.13469658257,67416.45668628722,67363.3006528222,67306.44961155277,67245.67998828582,67180.76140994889,67111.45682140908,67037.52286459738,66958.7104822767,66874.76572494612,66785.43074893809,66690.44499892651,66589.54657022057,66482.47374627453,66368.96670539115,66248.76938804473,66121.6315128964,65987.31072566257,65845.57486073843,65696.20429107989,65538.99433751294,65373.7577045793,65200.326906448674,65018.55664353446,64828.32608842803,64629.54103877829,64422.13589491377,64206.07542141331,63981.35625450416,63748.0081210711,63506.09474010476,63255.71438345341,62997.000079572594,62730.119451352744,62455.274186783034,62172.69914890466,61882.66113894583,61585.45733346058,61281.41342249115,60970.88148105625,60654.23761050283,60331.87938936273,61911.557051249096,63472.520757290076,65014.7473742413,66537.90351587262,68041.42253981107,69524.56090209565,70986.43935779092,72426.07322030539,73842.39485362155,75234.27075679637,76600.51497564535,77939.90010544033,79251.16679664975,80533.03241451486,81784.19930957186,83003.36301224725,84189.22055686224,85340.47905875693,86455.86460549803,87534.1314740687,88574.07164694184,89574.52456857427,90534.38705854701,91452.62327735178,92094.05542596927,91022.68422297614,89938.68684446286,88842.31683461857,87734.7634817781,86617.79814870842,85493.54182927184,84364.30946274543,83232.50359706189,82100.54036477473,80970.7970958248,79845.5748129185,78727.07128242555,77617.36179995153,76518.38582710928,75431.93818170109,74359.66385202289,73303.05574071317,72263.45479617905,71242.0520920813,70239.89248728665,69257.87955207181,68296.7814884003,67357.23780706007,66439.76655481826,65544.77191190222,64672.55200479737,63823.30680194103,62997.14598056684,62194.096671801715,61414.11100818141,60657.07341307119,59922.80758510262,59211.083142730764,58521.621904458574,57854.1037892621,57208.17232938743,56583.439794091355,55979.491928179414,55395.89231347391,54832.18636473513,58407.74905913486,61948.267486327146,65455.46552181291,68930.46017823601,72373.79605104904,75785.4900829947,79165.07944902852,78391.82383438903,77638.99073192957,76903.50720523324,76183.34941170411,75477.2077126829,74784.2567107124,74103.9968339752,73436.14498972417,72780.55902583472,72137.1855735168,71506.0241107288,70887.10230840475,70280.45924209512,69686.13409638195,69104.15870994351,68534.55280762691,67977.32111175027,67432.4517654765,66899.91566894349,66379.66644622556,65871.6408435321,65375.75941696205,64891.92740899936,64420.035741874635
E2,0.0,31.11304580564571,53.39559141121218,70.20095830365634,83.68304490533019,95.23109241192932,105.74636155882874,115.81858215079257,125.83863302357042,136.0705523686461,146.69756763160856,157.85150751281603,169.6315723231057,182.11628092673942,195.37103503673538,209.4528614944017,224.41333046494572,240.30028763890442,257.1588084480551,275.0316352982473,293.95926505029036,313.9797943609113,335.1285928193087,357.4378502634718,380.93603022235516,405.64725288382226,431.5906262531063,458.7795418858543,487.22095085510495,516.9146358324126,547.8524958997647,580.0178616439487,613.3848589737007,647.9178407459084,683.5709055303626,720.2875225549164,758.0002809581472,796.6307798729467,836.0896735481001,876.2768827029986,917.0819796628591,958.3847506394404,1000.0559339446085,1041.9581281220303,1083.946859148979,1125.871791199995,1167.578061179844,1208.9077135135826,1249.7012086892346,1289.7989769102217,1329.0429870134228,1367.2783005801741,1404.3545818990394,1440.1275360726472,1474.4602499982193,1507.2244140625476,1552.1497011593992,1606.8270199266324,1669.639350260326,1739.5263322201426,1815.816579441871,1898.1086838085619,1986.1869604827234,2079.9618110203587,2179.427421591811,2284.6315943748064,2395.6540216552003,2512.5904020650873,2635.5405797372878,2764.599444683173,2899.849729021481,3041.356114552525,3189.1602656976806,3343.2765417673786,3503.6882407935755,3670.3442957120533,3843.1563908875514,4021.9964986876416,4206.694856095676,4397.038413042596,4589.001933427218,4755.198925255043,4900.529150048334,5027.976672879127,5139.346671372991,5235.733656534969,5317.819291754382,5386.061299087041,5440.812271556796,5482.393086195359,5511.136751862598,5527.412931983031,5531.639828060446,5524.287835290614,5505.877913640678,5476.976660590741,5438.189439782316,5390.152496359972,5333.524701185726,5268.979365743239,5197.196427809431,5118.855205919062,5034.62784607549,4945.173529102199,4851.133466197799,4753.126680063091,4651.746546906812,4547.558058899632,4441.095755884829,4332.862268328169,4223.3274097727535,4112.927755786772,4002.066647001277,3891.114555873214,3780.409759895043,3670.259267790704,3560.9399495286407,3452.699825534853,3345.759475133388,3240.313528845494,3136.532213640319,3088.5514286836337,3083.4871924248037,3111.639182480405,3165.819558134951,3240.8056995259476,3332.899278550595,3439.5750374799773,3504.4931324434274,3539.0780326510744,3551.420219649985,3547.2778747412044,3530.773301763452,3504.878518147967,3471.7546587693923,3432.9896909049617,3389.7652050418883,3342.973626821512,3293.300703781264,3241.28362933464,3187.3520491808863,3131.857025783145,3075.091522943125,3017.304914231151,2958.713277658686,2899.5067186599545,2839.8545976458986,2779.909280810168,2719.8088512181907,2659.6790889372364,2599.63493827452
I2,106.56401107460924,97.69105545365947,94.24689506503353,94.44839202932712,97.16636124130403,101.69031793196888,107.57835013886523,114.561197807875,122.48091675500727,131.25163515348694,140.8344324699618,151.2212486539969,162.42456669450883,174.4707837019117,187.39593482945628,201.24291348417236,216.05963784809606,231.8978099527598,248.81203919115882,266.85918264869883,286.09780626959156,306.5877040756555,328.3894341035426,351.5638437101653,376.17156616536346,402.2724767719161,429.9251012594951,459.18597261663854,490.10893531396067,522.7443983194714,557.1385405840288,593.3324748735014,631.3613779806575,671.253597460638,713.0297470663294,756.7018049598375,802.2722304746046,849.7331166217411,899.0653965932937,950.2381231369468,1003.2078397926549,1057.9180625381682,1114.2988893533593,1172.2667535725163,1231.7243346657756,1292.5606373198111,1354.6512464450816,1417.8587621183221,1482.0334145909399,1547.0138554878001,1612.6281173259347,1678.6947296393178,1745.0239764380228,1811.4192765787548,1877.6786659810518,1943.5963585682018,2008.9643613967633,2075.6616178699546,2145.0474751949428,2218.1243453200136,2295.651336066176,2378.223143702724,2466.3244391866265,2560.367025343592,2660.7149104951136,2767.7009177606246,2881.6373637697548,3002.8225732479987,3131.5444568448324,3268.082003147223,3412.70527478023,3565.674318932084,3727.2372803660946,3897.6279228136286,4077.0627104111127,4265.737565941891,4463.824400980945,4671.46750029746,4888.779835968705,5115.83938338946,5352.685510126304,5598.747539666429,5849.374058371013,6101.039540923966,6350.961831187939,6596.862540140378,6836.817973907676,7069.1673675322445,7292.45723540246,7505.4082651214085,7706.896034247226,7895.939942279702,8071.696760784952,8233.456511890261,8380.639241001263,8512.791812691561,8629.584230642193,8730.805228206918,8816.35703758759,8886.249350067988,8940.592545317733,8979.590306516133,9003.53175817529,9012.78327075401,9007.780074466255,8989.017816985603,8957.044188134676,8912.450720677358,8855.8648611515,8787.942389141543,8709.36024811702,8620.809836400966,8522.990793290111,8416.605303026054,8302.352928327144,8180.9259755816165,8053.005385568972,7919.257136675447,7780.32914192914,7636.848616709726,7489.41989058339,7338.622634265221,7193.148726193685,7059.024185389376,6940.311048250606,6839.649630571069,6758.673144224276,6698.321325286357,6659.075004904374,6632.88228101109,6614.083816259556,6598.711056267033,6583.993875959654,6568.0142004282625,6549.461664976277,6527.460781824084,6501.448330896922,6471.086101690175,6436.19856919319,6396.728193264911,6352.703201605263,6304.214236575599,6251.397312620882,6194.421280582022,6133.478522789128,6068.777974743642,6000.539831713809,5928.991484084868,5854.364356547049,5776.8914191366885,5696.80520400407
A2,34.82333790689258,32.17510096695817,31.26086904343755,31.51378906797273,32.57529875951763,34.220203617018484,36.308867979177734,38.756670801372266,41.51447606484664,44.556138924142324,47.87050917536369,51.456310251745606,55.3188564800704,59.46794460039052,63.91649413118087,68.67966374494976,73.77426844374135,79.2183848059415,85.03107158052623,91.232158533674,97.84207289098353,104.88168328763595,112.3721479673736,120.33475842448291,128.79077263749093,137.7612340619108,147.2667739935045,157.32739601458928,167.96224214089514,179.18934108693855,191.0253398183448,203.48522028922093,216.58200398292107,230.32644758378777,244.72673379457774,259.78816196113144,275.51284374933743,291.89940961349845,308.9427321726963,326.63367284643095,344.958858169276,363.90049208786576,383.43621022993324,403.53898161987973,424.1770626027523,445.31400684200787,466.90873419856064,488.91566011013424,511.28488580861915,533.9624483818566,556.8906283508973,580.0083111407887,603.2513976170205,626.5532577815762,649.8452208068124,673.0570938593647,696.1177016487178,719.6375981816338,744.0622356058652,769.7235368570997,796.875950092891,825.7215011131038,856.4270789515641,889.1362565810607,923.9772749980627,961.0683363719252,1000.5210085719854,1042.4423005814467,1086.9357976547951,1134.1021258899273,1184.0389332279317,1236.8405170437577,1292.5971897999373,1351.394448266094,1413.3119947059924,1478.4226474742552,1546.7911717154132,1618.4730569471994,1693.5132662588026,1771.9449809587977,1853.7883642554211,1938.863764944499,2025.6561494827856,2113.0070589533466,2199.9931261480365,2285.850125983973,2369.925866031301,2451.651330020852,2530.523321249104,2606.0942785458046,2677.9664830027914,2745.7888651890366,2809.255263147149,2868.1033982411177,2922.114108962131,2971.1105627619663,3014.957285110486,3053.558923911924,3086.8587194903607,3114.8366842536557,3137.5075175962875,3154.918294439399,3167.1459726408757,3174.2947671496822,3176.4934385070187,3173.8925410345328,3166.661672472163,3154.9867624358676,3139.067432231977,3119.1144535688964,3095.347328754567,3067.9920102092883,3037.278772663675,3003.4402473208393,2966.7096235826934,2927.3190206929066,2885.498028836703,2841.47241685061,2795.463001713963,2747.684673392093,2698.3455673478975,2647.646376100302,2598.439236305194,2552.7247277485526,2511.873457742923,2476.7977326702876,2448.083216503869,2426.0888570551438,2411.0219120697666,2400.2986062768255,2392.094418170415,2385.122109953941,2378.4759804139185,2371.522267439892,2363.821805151386,2355.0752816352165,2345.08436942518,2333.7240279505854,2320.9226861212733,2306.6479952368895,2290.8965285126887,2273.686283887855,2255.0511837536706,2235.0370020245878,2213.698315624187,2191.096194914043,2167.296430486587,2142.3681523130113,2116.3827386646426,2089.4129415552466,2061.532176231674
IH2,0.0,4.264728236880053,7.062799200071909,8.993744611699226,10.429472487587939,11.599766382525715,12.646085233437438,13.655332659008861,14.680985843571282,15.756262700505816,16.902286608018365,18.13311773501929,19.458829042733395,20.8873676497809,22.425665759595073,24.080290905641405,25.85781546864552,27.765016506421013,29.808973837797087,31.997107484604854,34.337178954604774,36.837270625726426,39.50575126257068,42.35123194873777,45.38251450751163,48.608533219640535,52.03828996552885,55.680782595687944,59.544926230904366,63.639467229502515,67.9728896835928,72.55331448938836,77.38839126010605,82.48518360146498,87.85004854022098,93.48851117745517,99.40513592233734,105.60339594003183,112.0855427097076,118.85247782493074,125.90362936832483,133.23683534460798,140.84823675091351,148.7321828918874,156.88115150252798,165.2856861196473,173.9343529416674,182.81371913795502,191.90835421815726,201.20085565748073,210.67189950704562,220.30031621342727,230.063191344292,239.9359903848551,249.89270625029772,259.90602766935547,269.9475261498071,279.9878588513253,290.08052680879234,300.3194880911012,310.81432841051816,321.67645081997284,333.0120222348462,344.91893492889454,357.486047028838,370.7936244215467,384.9143321925237,399.9143950216361,415.8547158493125,432.7918461595478,450.77876307928614,469.8654437786064,490.0992465581119,511.52511709181306,534.1856417201733,558.1209700509668,583.3686279971731,609.9632406798684,637.936182856244,667.3151729496244,698.1238254569137,730.3811754972546,764.0784582077283,799.0230420312272,834.9314101586773,871.4825987457059,908.3481180385536,945.2081089481073,981.7596160592187,1017.720477248436,1052.8308745932522,1086.8537093297878,1119.574436135833,1150.800682480129,1180.3618022403855,1208.1084165093096,1233.9119458553332,1257.6641172175964,1279.2764228567107,1298.6795109851714,1315.8224935103187,1330.6721632415588,1343.2121195793827,1353.4418074377395,1361.3754786794752,1367.0410886249247,1370.4791423108895,1371.7415062778164,1370.8902019176003,1367.9961959951622,1363.1382030251145,1356.4015128846108,1347.8768554993792,1337.6593127563317,1325.8472860581894,1312.5415262107929,1297.8442306739762,1281.8582116501882,1264.686137057903,1246.4298451559655,1227.1897324590532,1207.064213615704,1186.1492511061351,1164.8636477079708,1143.7582128102945,1123.4027569596994,1104.3242416538246,1086.977642871316,1071.736960234787,1058.8979571516084,1048.3570693901074,1039.8112370748854,1032.8775669347567,1027.1621016265206,1022.2968028136675,1017.9571164087379,1013.8680427641,1009.803717865834,1005.583611584771,1001.067222584303,996.1483670128457,990.7496664546823,984.8175379387687,978.3178077015847,971.2319664960944,963.5540285312325,955.2879298225689,946.4453927928613,937.0441847743307,927.1067039180368,916.6588340627734
IN2,4.608227384069708,8.901568401834538,12.517839792798675,15.738068094180274,18.746967354968426,21.66779966744719,24.584680434322173,27.556867409722734,30.627925371562725,33.83161215926785,37.195665474004024,40.744244592774315,44.49950940993595,48.48264541574634,52.71453197748625,57.21618004236258,62.00901972308263,67.11508894582339,72.55715554535999,78.35879311464123,84.54442314489859,91.13933098507967,98.16965991997041,105.66238558515299,113.64527160265078,122.14680647882886,131.19612129473578,140.82288743751116,151.05719350694687,161.92940054519087,173.46997485638158,185.70929789215336,198.67745296888813,212.40398894596484,226.91766142408406,242.24615251109267,258.4157707398693,275.4511332967057,293.37483331464625,312.2070955873465,331.9654246459261,352.66424969311805,374.31457138395314,396.9236158584921,420.4945017489946,445.0259260827899,470.5118750675721,496.94136566659336,524.2982236409165,552.560903353606,581.7023541013443,611.6899370729732,642.4853962477907,674.0448856596549,706.3190544904917,739.2531904458351,772.7874208342625,806.8569697510575,841.4827400736325,876.7429896276117,912.7539768273207,949.6568426618288,987.6088006632663,1026.7772807413423,1067.3360799933412,1109.4628608120822,1153.3375382000247,1199.1412390679195,1247.0556143610936,1297.2623529077703,1349.9427930070447,1405.2775603889513,1463.4461838002248,1524.6266552571624,1588.9949131627377,1656.72423453341,1727.9845285701158,1802.9415284509498,1881.7558819977503,1964.582145087121,2051.5676845334656,2142.8514997800175,2238.5384140592923,2338.524943326048,2442.5622178057615,2550.298062467212,2661.305840788253,2775.104881157613,2891.1755391972447,3008.9708243599043,3127.9258004324606,3247.4655098097373,3367.0118776696877,3485.989865460213,3603.8330256806253,3719.9885375376257,3833.921759950397,3945.12031430313,4053.0976975370977,4157.396422154824,4257.590680481418,4353.288534083066,4444.133634229891,4529.806484807255,4610.025264531428,4684.546230331779,4753.163728092818,4815.709840482381,4872.053704279704,4922.100531464467,4965.79036937706,5003.096635577341,5034.0244626947815,5058.60888766577,5076.912918385113,5089.02550904838,5095.059473415412,5095.14936296271,5089.449334486078,5078.131029229004,5061.381483102945,5039.401085080612,5012.401598422177,4980.956185732362,4945.859432301388,4908.027286023246,4868.427283996532,4828.031476415312,4787.786129689688,4748.593643516667,4710.9465609752315,4675.059038048572,4640.958981982934,4608.5526024906,4577.669573349581,4548.094541874906,4519.589011345707,4491.906426094631,4464.802452443925,4438.041862004633,4411.403011608103,4384.680623932661,4357.687368247275,4330.254596155931,4302.232484977459,4273.489768948976,4243.913187027932,4213.4067395199145,4181.8908197313895,4149.301268272404,4115.588384348148
D2,334.0,334.0,334.02967025565925,334.07880704616423,334.1413776689898,334.21393683288255,334.294637879946,334.38261830006286,334.4776201826216,334.5797576645699,334.68937598409514,334.8069673374079,334.93312173909874,335.0684992826278,335.2138153505682,335.3698335537124,335.5373631940166,335.7172592983241,335.9104240423294,336.1178088569254,336.34041679503866,336.5793049073903,336.8355864748306,337.11043300076756,337.4050758970106,337.72080781077096,338.0589835461851,338.4210205346141,338.808398806607,339.2226604163398,339.66540826751356,340.13830428873496,340.6430669067164,341.18146776750046,341.75532765953125,342.3665115978949,343.016923036507,343.70849718445726,344.443193414086,345.22298676156015,346.0498585355474,346.92578606581367,347.85273164084936,348.832630701572,349.8673793762943,350.9588214599767,352.10873495776485,353.31881832839554,354.5906765766979,355.92580735562103,357.3255872465402,358.79125839166556,360.32391565393715,361.92449447768064,363.5937596174883,365.33229489336213,367.1404941173236,369.0185533207653,370.96646439321523,372.9845914376918,375.0739522354247,377.2363269693535,379.4742708675971,381.79107777498035,384.1907225853019,386.6777983896266,389.2574566989824,391.9353545646203,394.7176097712948,397.61076381324744,400.6217516205719,403.7578766919582,407.02679022361224,410.4364728894482,413.99521805613944,417.7116153689351,421.5945337990019,425.6531033900462,429.8966950771367,434.33489807351003,438.9774944329923,443.83443049846187,448.9157850425371,454.2315758595725,459.7904805817294,465.599204378742,471.6622194341398,477.98171258654065,484.5576453742803,491.38787163641763,498.46828217430425,505.7929602030266,513.3543394114763,521.1433608695063,529.1496272868523,537.361554166517,545.766517763485,554.350999789315,563.1007286861382,572.0008171365088,581.0358953337928,590.1902394364363,599.4478945762453,608.7927917839736,618.2088582285708,627.6801202310053,637.1907986009572,646.7253959467893,656.2687757189691,665.8062328586601,675.3235560318171,684.8070815312641,694.2437390223259,703.6210893899373,712.9273550157886,722.1514428726189,731.2829608693114,740.3122279154496,749.2302781981589,758.0288601783051,766.7004308184469,775.2381455524388,783.635844497337,791.8880353933525,799.9921396447787,807.9494107067419,815.7650662786663,823.4479901980015,831.0102316278303,838.4664416940807,845.8333291862468,853.1268823843178,860.3609811422626,867.5468414769626,874.6929385940582,881.805187209768,888.887244076329,895.9408527385247,902.9661853765245,909.9621581994757,916.9267099308923,923.8570405597557,930.7498117435873,937.6013123563779,944.4075935209078,951.1645775887763,957.8681452676747,964.5142046486538,971.098745377148,977.6178807081766,984.067879723539
R2,0.0,2.963123306239293,7.100112169699749,12.124502959599532,17.878017957306596,24.282080018897595,31.30770126737771,38.95690826685033,47.25138745744104,56.2256316777918,65.92287904205088,76.39277370887157,87.69008041603148,99.87403759654269,113.00809238406111,127.15985970885635,142.401209060993,158.80842032229458,176.46237316217372,195.44874841041195,215.85822805348866,237.78668523717604,261.3353582625582,286.6110038854013,313.7260257973748,342.79857430880594,373.95261316918834,407.31794928021793,443.03022085711575,481.2308394300076,522.0668809840719,565.6909215408873,612.2608126033869,661.93939213806,714.8941271618544,771.2966845452585,831.3224273409978,895.1498347988486,962.9598452254425,1034.9351219822772,1111.2592441683628,1192.11582488309,1277.6875613815432,1368.155222885126,1463.6965832575347,1564.4853071594425,1670.6897996130278,1782.472030098243,1899.9863433270293,2023.3782696638423,2152.783348750489,2288.325980226763,2430.118315499907,2578.259204298257,2732.833209249166,2893.9097009588327,3061.542045060587,3235.7668914646047,3416.6554513482197,3604.327812143215,3798.958486288431,4000.777080542153,4210.066470666949,4427.159899297523,4652.437801770808,4886.324783434022,5129.286940631518,5381.829581912208,5644.495330327518,5917.862548838588,6202.544013977874,6499.185758661876,6808.466007659758,7131.094135229129,7467.809581844596,7819.380674690008,8186.6033041392275,8570.299415613863,8971.315282958276,9390.519535877536,9828.800920139473,10287.06577524335,10766.221105517665,11267.063639596528,11790.246069384371,12336.261937825104,12905.441182648185,13497.951658953627,14113.803961734084,14752.85805641578,15414.830916116789,16099.304754128054,16805.735650186853,17533.462474006814,18281.716054834906,19049.628559067318,19836.24303553055,20640.523079380026,21461.362555923006,22297.5953177199,23148.004843227147,24011.33372331199,24886.29292301071,25771.570749494836,26665.84146283519,27567.773473279653,28476.037076888613,29389.31169006127,30306.292552361658,31225.696875809645,32146.26942719843,33066.78753785509,33986.06554244564,34902.95865485724,35816.36629482189,36725.234883763515,37628.56013236359,38525.38884557929,39414.82027335542,40296.007037102245,41168.1556632247,42030.52675565022,42882.4348394767,43723.450152514575,44553.44048023228,45372.57186567822,46181.286869857286,46980.27238639844,47770.42444719412,48552.81438255898,49328.45372475791,50098.22263894071,50862.84115118417,51622.86518450815,52378.69611671501,53130.59692440114,53878.71077302661,54623.07968620348,55363.662033187844,56100.34824737357,56832.97458586092,57561.33496295633,58285.19100521933,59004.28052529163,59718.32462355059,60427.03361776343,61130.11198190352,61827.262452391966,62518.18943681875,63202.60183856639,63880.21539157419
G2,20925.0,20925.0,20929.689996639278,20937.738875744046,20948.32100455827,20960.935430089674,20975.29061428336,20991.230875594476,21008.68942865438,21027.65840937258,21048.169754912324,21070.283022236912,21094.077640236206,21119.647991306312,21147.100293817595,21176.55062482852,21208.123657653145,21241.95183931894,21278.174829137548,21316.939081114542,21358.397492267897,21402.709064133356,21450.03854095643,21500.555998612825,21554.436365291098,21611.858859786902,21673.0063367855,21738.064531322765,21807.2211970846,21880.66513556526,21958.585115498798,22041.168684482687,22128.60087735842,22221.062828693575,22318.73029958691,22421.772131931823,22530.348646143837,22644.61000109031,22764.694537451287,22890.727127881994,23022.817559035073,23161.058971638267,23305.52638533062,23456.275334777358,23613.34064267701,23776.735353639095,23946.44985057294,24122.45117224468,24304.68254711528,24493.063154577034,24687.488120388454,24887.828748608677,25093.93298779936,25305.626124839146,25522.711695519127,25744.972597278364,25972.172386098362,26206.144235963715,26448.358173179335,26700.04047360216,26962.257573882518,27235.974705542463,27522.0965916366,27821.49544277542,28135.029963453555,28463.557981785947,28807.944531612568,29169.066659629832,29547.81583819552,29945.09859022371,30361.835742397943,30798.96059248418,31257.41618841647,31738.15185864532,32242.11909615112,32770.26687625096,33323.5364763862,33902.85586125362,34509.13369659837,35143.25305800055,35806.06490576248,36497.81343401181,37214.6145828885,37953.32288512213,38711.2426929568,39485.950472046854,40275.18767520241,41076.798509525965,41888.69617937976,42708.84703918109,43535.265812517195,44366.01742090333,45199.22250911082,46033.06476182228,46865.79877133576,47695.757659724586,48521.359958259694,49341.11545104088,50153.62983009058,50957.60810596619,51751.856784546915,52535.284865884605,53306.90375085889,54065.826159986056,54811.26417904115,55542.526550307404,56259.01532787057,56960.222011653444,57645.723268791255,58315.176343232066,58968.314245700676,59604.940806858714,60224.92566699506,60828.19926617425,61414.74788967082,61984.60881488376,62537.8655978661,63074.643530193316,63595.10529016837,64099.44680633576,64587.89334594557,65060.69583634938,65526.2656783779,65991.07213480982,66460.12223680361,66937.33951668549,67425.86024635858,67928.26320983234,68446.74653245822,68975.01564234223,69508.49809799627,70043.84102131099,70578.55952540868,71110.79012162742,71639.11732475214,72162.45142015813,72679.9420642305,73190.9170269164,73694.83860286637,74191.2724566699,74679.8652297299,75160.32832846447,75632.42607862926,76095.9669674951,76550.79707303399,76996.79504492928,77433.86818945597,77861.94934236507,78280.99430716659,78690.97970208329,79091.90110549045
