series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01
betas,4.230082995656997,4.230082995656997,4.223544558338515,4.218005415396118,4.212880017964033,4.207868030969545,4.202813404341482,4.197633273444913,4.192281935206856,4.186732557083232,4.180967881611913,4.174975502854221,4.168745469159976,4.162269070773228,4.155538231581994,4.148545209460221,4.1412824547271345,4.133742550087775,4.125918193007003,4.1178022006043244,4.109387526896818,4.100667287170497,4.09163478677576,4.082283552914097,4.072607368620662,4.062600308460666,4.052256775605038,4.041571540013603,4.030539777472797,4.019157109232177,4.007419641969412,3.9953240077944003,3.982867403981737,3.9700476321000786,3.9568631361871427,3.943313039602511,3.9293971801764562,3.915116143263673,3.9004712923054985,3.885464796504682,3.8700996552225386,3.8543797187201267,3.838309704883473,3.8218952115973654,3.8313349969162576,3.8379449165231168,3.842139756469021,3.8441685484722274,3.8441705504976516,3.842208150800315,3.8382859539792284,3.832361651269744,3.824352012738403,3.8141359879366226,3.8015561251207948,3.786419095267548,3.768495897204482,3.747522240342558,3.723199601046612,3.6951974949488333,3.6631575751975043,3.626700230221882,3.5854343830478377,3.5389711481069805,3.486941833715065,3.429020440123331,3.3649502570881125,3.2945734069896946,3.2178612645595743,3.1349427487913784,3.0317585368886086,2.917456550597968,2.8007120817722844,2.682752866996965,2.5650245481787786,2.448951460277682,2.3358130461627087,2.2266783890398294,2.122378006683724,2.0235023387386244,1.9304188755837113,1.843300807150775,1.7621611451390788,1.6868876791538612,1.6172756266919044,1.553056179772208,1.4939201988336623,1.439537026865652,1.3895688316909034,1.3436810991609975,1.3015499645910933,1.2628670429023143,1.2273423432300172,1.194705760319816,1.1647075404957754,1.1371180337752138,1.1117269699045476,1.0883424355847697,1.0667896821046976,1.046909855382881,1.0285587121840247,1.0116053652421686,0.9959310846196331,0.9814281715431353,0.9679989131251037,0.9555546209636859,0.9440147529748578,0.933306115454778,0.9233621409329497,0.914122236584668,0.9055311976248211,0.8975386800592309,0.8900987273199953,0.883169345583455,0.8767121229114069,0.8706918877320174,0.8650764025622125,0.8598360892521658,0.8549437823947745,0.8503745078827672,0.846105283910289,0.8421149420033281,0.8383839659243588,0.8348943465320686,0.8316294508885091,0.8285739040951936,0.8257134825084439,0.823035017134507,0.8205263061384651,0.8181760355194271,0.8159737071095456,0.8139095731474875,0.811974576759447,0.8101602977538066,0.8084589032002408,0.8068631023213167,0.8053661052754226,0.8039615854548089,0.8026436449624175,0.8014067829665512,0.80024586666383,0.7991561046087758,0.7981330221931519,0.7971724390802319,0.7962704484187981,0.7954233976791505,0.7946278709689925,0.7938806727009757,0.7931788124961006,0.7925194912182791,0.7919000880453035
S2,1734610.6463507465,1734345.0635117632,1734119.4264828584,1733910.114864074,1733704.9416097265,1733497.5272240404,1733284.4445467924,1733063.7663433347,1732834.3255531758,1732595.3382516727,1732346.2114192361,1732086.444946163,1731815.5817255406,1731533.182309782,1731238.8121349637,1730932.035194693,1730612.4110427622,1730279.4935330297,1729932.8304852496,1729571.9638638298,1729196.4302597516,1728805.7615696008,1728399.485818509,1727977.1281006322,1727538.2116243003,1727082.2588556204,1726608.7927574203,1726117.3381216747,1725607.4229938188,1725078.580187079,1724530.3488843625,1723962.2763244598,1723373.919568417,1722764.8473409277,1722134.64194055,1721482.9012114445,1720809.2405682164,1720113.2950643061,1719394.7214932593,1718653.2005111168,1717888.438767122,1717100.1710289782,1716288.1622880022,1842116.6209041325,1967851.1052388866,2093487.2223026017,2219015.5462302007,2344422.4862661376,2469690.6382635115,2594798.754276925,2719721.425340529,2844428.5365171693,2968884.525274475,3093047.4544156953,3216867.8979537734,3340287.6311537307,3463238.1136185206,3585638.756505526,3707394.9720754516,3828396.0166201666,3948512.6575330095,4067594.7230664496,4185468.630012633,4301935.030067134,4416766.768249448,4529707.40218549,4640470.581762918,4748740.623550478,4854174.619465404,4870580.16689139,4843176.834357407,4812878.966914415,4779587.621274303,4743308.449979378,4704124.479147914,4662183.319021505,4617687.856675278,4570886.9486597,4522065.395393252,4471533.466537602,4419616.527574717,4366645.308310949,4312947.230997216,4258839.061667634,4204621.0030516945,4150572.228793849,4096947.772125779,4043976.626172323,3991860.883004579,3940775.728517585,3890870.1144653247,3842267.94255508,3795069.614406068,3749353.8224341962,3705179.4782406483,3662587.6954858345,3621603.762709339,3582239.0577074103,3544492.8687842167,3508354.099520933,3473802.8428409155,3440811.817333537,3409347.6643007584,3379372.10807541,3350842.985078442,3323715.1490595443,3297941.261198772,3273472.4744042843,3250259.021363612,3228250.71580814,3207397.3761255387,3187649.1799761862,3168956.957994358,3151272.4340267517,3134548.418712404,3118738.9625629955,3103799.4740776317,3089686.8078327505,3076359.326932822,3063776.9436949273,3232926.98241727,3401744.801920231,3570280.437162215,3738553.2885791576,3906560.5185984843,4074283.0347102364,4241689.598343424,4227713.683263877,4214218.450846347,4201114.78017977,4188353.0482102567,4175905.52829017,4163756.557585837,4151897.038861223,4140321.367348012,4129025.7172191082,4118007.0913992343,4107262.800298397,4096790.181576674,4086586.455214057,4076648.6543187145,4066973.5980803776,4057557.887911236,4048397.9160743128,4039489.88076369,4030829.804238358,4022413.552104097,4014236.8526831595,4006295.315890638,3998584.451308032,3991099.6852986244
E2,0.0,265.58283898327056,412.8258034406524,500.28055540190326,557.7822724912553,600.5519108557877,636.3652081095394,669.2027539116414,701.1099834706088,733.145429803539,765.8642657993852,799.5648799451797,834.4145803856298,870.5136303484181,907.9278139541248,946.7049398045094,986.8831442941321,1028.495006748826,1071.5695239157724,1116.1329887030179,1162.2093063718735,1209.8200202845737,1258.9841861431787,1309.7181658119298,1362.0353773276904,1415.9460202484697,1471.4567867317926,1528.5705644145205,1587.2861351078138,1647.5978724130914,1709.4954410376567,1772.9635005499497,1837.9814164130223,1904.5229812917196,1972.5561498013108,2042.042790028814,2112.938455297835,2185.1921797532186,2258.746301405249,2333.536316288225,2409.490767349448,2486.5311715874223,2564.571988798738,2643.5206350689546,2793.1397028448328,2996.961867171859,3248.4134614537074,3547.0261076879706,3896.283073850029,4302.483244262306,4774.227235104721,5322.282925933028,5959.687356320133,6702.003990158475,7567.6910981027395,8578.557233517688,9760.289218725726,11143.0401509771,12762.061509928508,14658.35530229382,16879.309565643118,19479.26359845578,22519.928424122947,26070.564460254784,30207.794687274087,35014.91210342222,40580.53123060018,46996.442901257455,54354.568015750425,62742.97612395685,71625.9971320956,80781.48558409157,90227.95852351801,99873.87134987391,109577.32778818093,119173.73202036197,128491.7963682181,137364.82393780936,145639.37913079956,153181.84783390275,159882.95998641077,165660.3352608127,170459.217699811,174251.6702866073,177034.5656863317,178826.7287678764,179665.56813615884,179603.49032643606,178704.33370040575,177039.99915118612,174687.39819085968,171725.78983441117,168234.5377111747,164291.28830027996,159970.54940608406,155342.63375022527,150472.92444548488,145421.41572765604,140242.4823792385,134984.8336962335,129691.61174680825,124400.59836756258,119144.50033642819,113951.2870972485,108844.56005671342,103843.93668979291,98965.43640490987,94221.85831429792,89623.1437415417,85176.71851185415,80887.81185803356,76759.75018858098,72794.22505733013,68991.5354971507,65350.80548081324,61870.177691927,58546.98506458594,55377.90171325834,52359.074950781025,49486.240103742224,46754.819798678654,45161.872386042945,44321.311385267494,43991.64886000985,44024.91667503108,44333.07848891352,44866.23036379467,45598.64609631901,45634.18656056725,45267.674530351134,44667.40988854047,43930.11778195471,43111.90846152303,42245.7640999024,41351.43880850204,40441.0767893309,39522.40879803286,38600.57616025004,37679.175348175835,36760.85891660782,35847.683317814095,34941.311904167844,34043.13482147717,33154.341025025016,32275.962586251037,31408.902867472672,30553.95523203571,29711.816143845084,28883.094893529793,28068.321256458457,27267.951848475
I2,144.57812005503018,112.87429676939564,97.61511115548406,90.96479556696345,88.8986028806883,89.34072192940684,91.21456339975936,93.95753837668124,97.27269954136774,101.00132363950712,105.05732714676033,109.3933463613916,113.98306873645086,118.81193160186214,123.87214927223869,129.15999460297792,134.67426653181676,140.41539044263158,146.3848628893161,152.58488865565278,159.01812881044577,165.68751531175184,172.59610718590824,179.74697374939933,187.1430960692224,194.7872810963966,202.68208481211795,210.82974190017705,219.2321002214958,227.89055888817438,236.80600910916397,245.97877726053866,255.4085698512264,265.0944202286909,275.03463701022275,285.22675434186306,295.6674841836773,306.3526709005743,317.27724850446714,328.4352009478346,339.8195259116476,351.42220256273276,363.23416377723777,375.24527333802735,387.44430861454094,402.3159626968791,421.2114974026287,444.9509069970797,474.1576324772293,509.4429025102054,551.5090471818727,601.21178932197,659.6040700987767,727.9739063051785,807.883141248461,901.2108648747436,1010.203592130897,1137.533309246687,1286.3638078447848,1460.4250657579596,1664.0946261993543,1902.4838458741303,2181.5254326219133,2508.0568155866195,2889.8915838095472,3335.8685816769002,3855.865485523606,4460.761205208774,5162.329856251606,5973.0491034823535,6905.808228202792,7951.524162831645,9095.165697421246,10325.659578181592,11631.08876320819,12997.077782934955,14406.520509487942,15839.939768803257,17276.17135948181,18693.20797796073,20069.092557802527,21382.77735863568,22614.885657439594,23748.33266970041,24768.781524156268,25664.927434163088,26428.61742253004,27054.82339670318,27541.492964282974,27889.30550277651,28101.361294259797,28182.82974670447,28140.57957001435,27982.809883607388,27718.697103084032,27358.0684512426,26911.109305119142,26388.10846401713,25799.242861292572,25154.40124437161,24463.044873788982,23734.102280809173,22975.89450159114,22196.086899035075,21401.663620331703,20598.92085500175,19793.47530004412,18990.2845603975,18193.67657815442,17407.38556513352,16634.59229011515,15877.966930025235,15139.713024355095,14421.611368804422,13725.062945195536,13051.130209985147,12400.576254583295,11773.901509569449,11171.377794758504,10593.079621183153,10038.912732750552,9508.63993782731,9037.712919585689,8640.009832326861,8317.734295839222,8067.318031505538,7882.828635787832,7757.850925997493,7686.456967206715,7631.98892508869,7576.365037478647,7511.483977569931,7434.47806903352,7345.113966885481,7244.388344116279,7133.785369711829,7014.89781465756,6889.245491729513,6758.198702726417,6622.955807838844,6484.547192378839,6343.850795264846,6201.611488062418,6058.460489718337,5914.9330979308725,5771.484115904803,5628.50090327033,5486.31423386856,5345.207240790198,5205.422747533406,5067.169265261012
A2,1049.4288527683368,903.270350195023,846.3695773588863,835.5936656037328,849.007424218132,875.4709740983172,909.3447908877198,947.7920931629305,989.4038963866087,1033.4981097945233,1079.7622613419826,1128.0714298448966,1178.3955049834508,1230.7519756954198,1285.1819069935,1341.7377113207413,1400.476904658046,1461.458886418968,1524.7432354352927,1590.3887555207968,1658.4528819396562,1728.9912525700852,1802.0573454737284,1877.7021343154486,1955.9737382845024,2036.9170559165605,2120.5733786605915,2206.97998330945,2296.169704110914,2388.17048630347,2483.004923383961,2580.6897808137896,2681.2355092042385,2784.6457503344163,2890.916839665431,3000.0373093259623,3111.987395855011,3226.7385572911585,3344.2530044863083,3464.483251786788,3587.3716924566065,3712.8502044072166,3840.8397919360696,3971.2502692536273,4103.979991586951,4257.040359858405,4441.662041385563,4665.806117680085,4936.20338208788,5259.550884382819,5643.247101059,6095.891395420539,6627.679029810624,7250.767598376624,7979.659168635239,8831.624771989204,9827.1879402158,10990.677876080768,12350.858131074718,13941.63171556242,15802.817194624398,17980.98156587916,20530.303779513124,23513.427075400534,27002.238705255957,31078.4925888158,35834.16557927756,41371.41426292629,47801.98123114706,55245.89374019219,63829.310693191364,73521.84848736464,84239.72277075518,95915.62217849879,108467.86017698543,121789.31414683134,135745.07891068092,150174.6000247069,164896.43707522264,179714.6130083059,194425.78110644527,208826.5671036183,222720.5491719789,235924.45636644185,248273.29482802126,259624.23876573253,269859.23819346994,278886.3895761474,286640.1852949213,293080.8031945599,298192.6209640778,301982.1456517498,304475.54063883866,305715.9151576168,305760.5186796579,304677.95725996734,302545.5235032593,299446.70783528214,295468.9372397361,290701.56911142997,285234.15257155494,279154.9574288922,272549.76172113477,265500.8821045396,258086.42690313995,250379.74899774423,242449.07456401808,234357.28362492475,226161.8191735985,217914.70300037405,209662.6381177474,201447.1796556772,193304.95816941946,185267.94136713273,177363.72225549803,169615.82357110595,162044.01008341537,154664.6019053902,147490.7833245697,140532.90287204453,133798.76138670673,127293.88571790213,121281.70524316088,115888.79587165997,111161.45420723467,107101.14074619039,103686.27282780893,100885.32685172264,98664.49535694567,96762.18914149082,95029.73914216681,93382.84503520219,91774.04129958445,90177.03013093479,88577.73307864228,86969.15737557813,85348.43480403245,83715.1022474288,82070.09493154637,80415.15088158102,78752.45422716351,77084.41842133745,75413.55231764818,73742.37600383488,72073.36704124245,70408.92568642697,68751.35226602023,67102.83255677106,65465.42860025427,63841.07332016676,62231.567876056804
IH2,0.0,12.60554403925138,15.854214325633333,16.0734137220676,15.598141621730882,15.191287406595727,15.035764548310636,15.12495709017183,15.406657940622107,15.830073798421813,16.357137287760732,16.962184679366697,17.62884473803939,18.34701419069512,19.11060405248821,19.916031039575003,20.76126095206034,21.64521875243254,22.567428733516685,23.527794463963502,24.526462177472652,25.563733642404692,26.640008435982992,27.75574386940566,28.911425690311816,30.107545516261162,31.34458258387659,32.622988342368245,33.94317297284992,35.30549324495279,36.710241325169406,38.15763428082923,39.64780410985168,41.180788186558615,42.7565200576519,44.37482055567385,46.035389223256374,47.73779606229143,49.481473639106795,51.26570959062374,53.08963958783106,54.95224082206845,56.85232608678061,58.788538532704834,60.75934717795764,62.76304325621764,65.01544825242891,67.73732402738014,71.1054686130168,75.25857200113475,80.31608177314962,86.39620982240302,93.62995269329156,102.17160040640519,112.20704991453661,123.96114927373523,137.70498656626026,153.76374171038032,172.52549276056016,194.45120010506218,220.08595410376506,250.07143556596063,285.15937927154675,326.2256283787859,374.2841073309896,430.49971559114044,496.19875854406564,572.8751067876251,662.1898559820879,765.9619201909012,886.1468346568612,1024.8011914946744,1182.1140518918978,1356.8650504468164,1547.5066096537419,1752.2615023778842,1969.0286114742844,2195.3142415048032,2428.2307082729035,2664.555304580464,2900.8320075883967,3133.497882376479,3359.018279420401,3574.017734838746,3775.3965473186804,3960.426141355467,4126.819332234904,4272.774281240471,4396.993114870236,4498.67779908695,4577.506903421083,4633.597413515489,4667.455844566273,4679.922677921697,4672.113694029795,4645.361200690377,4601.157532702857,4541.102585086845,4466.856576600459,4380.098747164913,4282.492283358382,4175.655442346966,4061.1386020020223,3940.4067950270796,3814.827177110991,3685.66082219677,3554.058220981913,3421.0578717543885,3287.5873869025518,3154.4665866112464,3022.4121074687746,2892.043113366779,2763.8877557434625,2638.390087455017,2515.917187729867,2396.766303783955,2281.171857272023,2169.3122007114416,2061.3160404984656,1957.2684694769057,1857.2165736610996,1761.1745951607893,1669.1286471261546,1584.1630832518008,1508.9591633612577,1444.9879857157807,1392.640155355999,1351.5847547760645,1321.1046055319052,1300.3407640718433,1285.6873718223005,1273.8479036430842,1262.5435660780013,1250.4373403203035,1236.8711198665278,1221.6178845569166,1204.6987475862036,1186.262651257993,1166.513151585357,1145.6668198331938,1123.9314442515004,1101.4959780974525,1078.5270987200356,1055.169255863068,1031.5463874466925,1007.7642839706115,983.9130613757484,960.0694784953705,936.2989891590396,912.6575009558057,889.192853361295
IN2,19.098279246383157,36.023792900635854,46.83576379627138,54.40199593964106,60.22895180132548,65.12005177359141,69.51310541656467,73.65389994644154,77.68594386780774,81.69719333205303,85.7446311259048,89.86738589904442,94.09387814384145,98.44581922296369,102.94052676991016,107.59231976976903,112.41339582775257,117.4144062004248,122.60484656811019,127.99332999996676,133.58778092131544,139.39557373270742,145.4236311684792,151.67849246702747,158.16635835951922,164.89311792359246,171.86436103930342,179.08537927585806,186.56115738742727,194.29635712077143,202.2952946848244,210.56191296942322,219.09974940442254,227.9119002055604,237.00098164798808,246.36908893356608,256.0177531671022,265.94789692434694,276.1597888765126,286.65299792888743,297.4263473319039,308.4778692293892,319.80476011860947,331.4033377083325,343.2689996728992,355.39618481081317,368.10818413423937,381.87000571201975,397.2020732172013,414.6479574061407,434.77012952279756,458.1598452238221,485.45413250586034,517.3566361693629,554.6610916766329,598.2772473062355,649.2595728569994,708.8393306227706,778.4606654459822,859.8213514029969,954.9187282900772,1066.1011619374694,1196.125043089519,1348.2168650840379,1526.1392520190716,1734.2589118487438,1977.6133439598516,2261.971751010191,2593.8840543482456,2980.7103271445085,3430.621561832183,3952.5617869001303,4553.257647671435,5236.684943257119,6004.904416339129,6858.168163016235,7794.8006482487635,8811.057297146906,9901.046677531196,11056.751892167633,12268.16101691186,13523.500706307244,14809.5567051673,16112.058513156337,17416.102308578473,18706.585989854986,19968.632261445855,21187.979401541703,22351.324016372277,23446.605093412236,24463.223516174163,25392.195541071505,26226.242344816048,26959.82053173086,27589.100440882015,28111.900276082757,28527.584601682276,28836.935727782682,29042.006078423306,29145.958916640946,29152.903898587807,29067.73293507999,28895.96082462409,28643.574140930337,28316.890947961612,27922.43310079502,27466.81218391918,26956.629544276213,26398.39039213746,25798.43156201662,25162.862238622132,24497.51674808345,23807.91838050273,23099.253134558145,22376.35224732226,21643.682382517298,20905.342389101523,20165.065601568753,19426.2267270508,18691.852446788893,17964.634946386766,17246.947677015178,16540.86273576664,15852.89952929298,15190.669024038287,14561.207395680978,13970.27897350472,13422.208642440673,12919.981831723537,12465.461265341788,12055.45537405674,11684.747146387199,11347.64293999024,11038.718054290799,10753.134119854363,10486.734874096395,10236.032956183391,9998.148153634842,9770.728690973983,9551.871360819694,9340.047778462957,9134.039550275455,8932.882869113597,8735.821972876565,8542.270462593524,8351.77936351347,8164.010857630586,7978.716728579536,7795.720693080139,7614.9039241006385,7436.193189437169
D2,1072.0,1072.0,1072.3459561898042,1072.7810713711367,1073.2222024283221,1073.6502897545554,1074.0672110625958,1074.4798640823883,1074.8949649705035,1075.317797072169,1075.7522497224131,1076.2011675060928,1076.6666906730545,1077.1505101684472,1077.6540396554674,1078.1785256865555,1078.7251164717702,1079.2949043930325,1079.8889523281118,1080.5083100991064,1081.1540248815786,1081.8271478644401,1082.5287385185648,1083.2598672811287,1084.0216171401066,1084.8150844147028,1085.6413789164496,1086.501623609416,1087.3969538475878,1088.3285162422758,1089.2974671962486,1090.3049711307158,1091.3521984242489,1092.4403230780706,1093.5705201191338,1094.7439627505958,1095.9618192584055,1097.22524968253,1098.535402261739,1099.893409661719,1101.3003849975198,1102.7574176628843,1104.2655689808128,1105.8258676917008,1107.4393052975352,1109.1068312828652,1110.8293482355507,1112.6136819133183,1114.472716831214,1116.4241896846665,1118.4896434832922,1120.6938994474708,1123.0650230951776,1125.634675113722,1128.4387506437213,1131.518246723916,1134.920331295034,1138.6996122464275,1142.9196219537841,1147.6545435036733,1152.991210932046,1159.0314181515093,1165.8945698534799,1173.7207019135096,1182.673887516524,1192.9460267651975,1204.7609901538406,1218.3790483159419,1234.1014708120092,1252.275115582055,1273.2967602345338,1297.6168515824597,1325.7422791254749,1358.185121103024,1395.4239631132791,1437.8949178539476,1485.985322442241,1540.0248493297659,1600.274732083648,1666.9169524577728,1740.045045765346,1819.6576975860291,1905.6558095890334,1997.8432758191534,2095.9313515092767,2199.5462213191868,2308.2391847960303,2421.4987702406966,2538.7640549145112,2659.4384962459567,2782.903649807157,2908.5322495866394,3035.7002402163707,3163.7974675186806,3292.2368441287185,3420.461905013464,3547.95275001394,3674.230435748564,3798.8599275780753,3921.4517551763456,4041.662534561723,4159.194527516811,4273.794408511326,4385.251401770826,4493.3949389986665,4598.091973164359,4699.244067115026,4796.784358644248,4890.674486886736,4980.901549080915,5067.47514223726,5150.424531288772,5229.795973975757,5305.650223030457,5378.060218111255,5447.10897327958,5512.88766047675,5575.493885291237,5635.03014815438,5691.602481814275,5745.319254372093,5796.29012619359,5844.62514851587,5890.433991454712,5933.910974487229,5975.324003635436,6014.981358866944,6053.202040212787,6090.295965750925,6126.553370765685,6162.240917037748,6197.526304407777,6232.486760359708,6267.136971427316,6301.454929977857,6335.400566800466,6368.927582169413,6401.990255805632,6434.54695511653,6466.56163405639,6498.004190326898,6528.850224329364,6559.080522242775,6588.68044466674,6617.639316590094,6645.949864448724,6673.6077180738885,6700.610980507638,6726.959861420139,6752.656366846506,6777.704037192482
R2,0.0,148.3312681654443,284.47869369115665,415.5412411368935,546.0723976482262,678.8991429575235,815.7664125993359,957.7741529113406,1105.6519034629023,1259.923423703391,1421.0023111559274,1589.246262417255,1764.987309615201,1948.5484118064735,2140.2524271546536,2340.426885899133,2549.406471318446,2767.5342568303313,2995.1622676965662,3232.651671543872,3480.372757962351,3738.7047898095843,4008.035767381502,4288.762124689822,4581.288365644662,4886.026642079954,5203.396272651843,5533.823200289691,5877.7393853492995,6235.582131524279,6607.793341716571,6994.818701350936,7397.106786992004,7815.108098563165,8249.27401396417,8700.05566543483,9167.902737614048,9653.262187895609,10156.576890383247,10678.28420549519,11218.814478058986,11778.58946756604,12358.0207151156,12957.507852462115,13577.4368594788,14218.178277253375,14882.60969323934,15575.316569520955,16302.155444460752,17070.067103248715,17887.055627139354,18762.278698826758,19706.217517538447,20730.910609684797,21850.246253287398,23080.314915238047,24439.827397715442,25950.607206988665,27638.167504311252,29532.38408535112,31668.27614671355,34086.90594257443,36836.406469154856,39973.14257188034,43563.00478835043,47682.8262227672,52421.90026077238,57883.560661137744,64186.76561279931,71467.60450862722,79880.6221629466,89599.83275188663,100797.0554858811,113633.29952982781,128260.0468651728,144816.87017568614,163427.57068473683,184195.92895156637,207201.70265392374,232497.2782235908,260105.23843492736,290016.99341028335,322192.5234099466,356561.1972163706,393023.5624329584,431453.95561641816,471703.75107415393,513605.0558059364,556974.6615802222,601618.0799757158,647333.5087466439,693915.604738449,741158.966974874,788861.2612776967,836825.9433220535,884864.559401512,932798.6228829667,980461.0792475847,1027697.3838834827,1074366.2247386181,1120339.9269809928,1165504.5794148236,1209759.9230355185,1253019.0412166067,1295207.8890078699,1336264.6962323287,1376139.2757908076,1414792.265051989,1452194.324607735,1488325.3151473575,1523173.469850805,1556734.5765873594,1589011.1813748833,1620011.8220256849,1649750.2986834936,1678244.9860349735,1705518.1903435013,1731595.553082028,1756505.501811933,1780278.7480405907,1802947.8310664026,1824546.706261516,1845110.3758259118,1864710.7597660562,1883439.6770203942,1901397.589042653,1918686.6901916482,1935407.0182748444,1951654.5487161174,1967520.5326733107,1983059.574908831,1998303.4244108556,2013269.8621677847,2027968.2814252065,2042403.1331012193,2056576.0307710075,2070487.0287482943,2084135.3955916867,2097520.081493392,2110640.0002153963,2123494.198381078,2136081.9558963403,2148402.8438216904,2160456.755583893,2172243.921194446,2183764.910430095,2195020.628707687,2206012.3080449635,2216741.4946813188,2227210.034426097,2237420.0564817823
G2,118692.0,118692.0,118701.49246253939,118716.24768350719,118734.12871245286,118754.06496792413,118775.52989592392,118798.27486288968,118822.1935095051,118847.25258440453,118873.45667031224,118900.8301929434,118929.40824301525,118959.2318911732,118990.34579167122,119022.79695001947,119056.63408050331,119091.90726047919,119128.66773175393,119166.96777253615,119206.86060079567,119248.40028892423,119291.64167931644,119336.64029545592,119383.45224563206,119432.13411772174,119482.74286415451,119535.33567655101,119589.9698497418,119646.70263501692,119705.5910825677,119766.69187318136,119830.06113934742,119895.75427603569,119963.82574151336,120034.32884868137,120107.31554752975,120182.83619943529,120260.93934415306,120341.6714604831,120425.07672172462,120511.19674715857,120600.0703509263,120691.73328979097,120786.21801138122,120886.05041809104,120993.16783714193,121109.27263974638,121236.0504563491,121375.31141636801,121529.09078396135,121699.73122653377,121889.96027706971,122102.97143845684,122342.51448295075,122612.99891836604,122919.61373388981,123268.46601718118,123666.74058798158,124122.88222451237,124646.80119882828,125250.10152634923,125946.32941784637,126751.23675965352,127683.05094413545,128762.73802242761,130014.24110423078,131464.6705597239,133144.41754726414,135087.15866227448,137329.71828226448,139889.77486282293,142777.066936055,146001.9948702866,149571.6870464884,153488.20018859222,157747.70803636117,162340.26216490724,167249.95606851453,172455.39914590213,177930.42515979568,183644.96234211943,189565.99448691207,195658.54830064045,201886.65196484252,208214.22188384493,214605.84730048853,221027.4545160709,227446.84294641257,233834.09371822816,240161.8578401459,246405.53529226407,252543.35893060593,258556.39822624612,264428.49789092346,270146.16569451883,275698.4225243975,281076.6261913161,286274.2788201671,291286.82599946414,296111.4542855084,300746.8922185165,305193.2187372098,309451.68178605364,313524.52899344976,317414.8515493408,321126.44181151217,324663.66470348777,328031.3426146952,331234.65325737605,334279.03975763655,337170.1321448355,339913.67934083316,342515.4907270116,344981.38637278636,347317.15503660555,349528.51909270976,351621.1055890629,353600.4226998193,355471.8408963785,357240.5782221715,358911.6891161349,360525.8648794266,362109.9973091864,363682.346940089,365255.8856293249,366840.4386389346,368444.0475642785,370073.83449468797,371704.89171246544,373322.84905628127,374919.3517396683,376489.50212661497,378030.4080738482,379540.3562869979,381018.3395231968,382463.78459767805,383876.3946383638,385256.0565344509,386602.785720255,387916.6924377124,389197.96043048176,390446.83289376687,391663.60270936653,392848.6052547225,394002.2127955768,395124.82988564955,396216.88943505596,397278.84924692585,398311.18890165637,399314.40691487724
