series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01
betas,18.101011993984248,18.101011993984145,18.022415391616068,17.954618970933726,17.89266778219004,17.833488902182513,17.775155522659922,17.716445303813,17.65657182256659,17.595019933304076,17.53144434223475,17.465606968141522,17.397338234031366,17.326513177610142,17.253036760049124,17.176834893113657,17.09784902418964,17.016032934848887,16.931350914450316,16.843776784252608,16.75329344257748,16.65989272283809,16.563575431721418,16.464351481861904,16.362240062765622,16.257269812265857,16.1494789625844,16.03891544274647,15.925636924261026,15.809710800636282,15.691214094064476,15.570233284856878,15.446864061157406,15.321210988236318,15.1933870983279,15.063513403549324,14.931718335925297,14.798137119926514,14.662911084191347,14.526186920210382,14.388115896690888,14.248853039061672,14.108556284108555,13.967385620039972,13.82550222236577,13.683067595831812,13.903253574856235,14.065723277140803,14.182133513918595,14.26056330741636,14.306596534085985,14.32405679031909,14.31551084566393,14.282617200320088,14.22637145983427,14.147283969449736,14.045514161818422,13.920978509079951,13.77344365185844,13.60261239610588,13.408207257388748,13.190053704530458,12.948162978623708,12.68281225489359,12.394618032817643,12.084597171640006,11.754209208453675,11.405373790781093,11.04045841923449,10.66223422151041,10.27380088576206,9.878485619108762,9.479724349653996,9.080935658791745,8.685398634471667,8.296144857107661,7.915872338228875,7.4860504567742625,7.036357575698018,6.6227859888908345,6.2426558299176955,5.893879190885187,5.574456027995705,5.2823460644378235,5.015475856428816,4.771784326408412,4.54926986041993,4.346026901385774,4.16026995420199,3.990346559830725,3.834741776755706,3.692076638920206,3.5611026378139345,3.4406937949389205,3.3298374607349848,3.2276246293615904,3.133240295015861,3.0459541825055783,2.9651120478348676,2.8901276499865713,2.8204754316317917,2.7556839053622624,2.6953297165936307,2.6390323396545416,2.5864493562442763,2.5372722629172615,2.4912227547918464,2.4480494350807342,2.4075249034849415,2.3694431804387466,2.333617428286218,2.2998779344887774,2.2680703257754096,2.2380539856803,2.2097006511344244,2.182893166680829,2.1575243774767596,2.133496144547576,2.1107184677901603,2.0891087040123755,2.068590868864938,2.0490950128969985,2.0305566631693024,2.012916322909688,1.9961190226134857,1.9801139167928345,1.964853921278763,1.9502953865911368,1.9363978034256975,1.9231235367743635,1.910437585603496,1.8983073653724778,1.8867025109883735,1.8755946980672955,1.8649574806143834,1.8547661434463667,1.8449975678671664,1.8356301092712524,1.8266434854942375,1.8180186748579565,1.809737822970143,1.8017841574386448,1.7941419097484812,1.786796243628397,1.779733189303068,1.772939583088853,1.766403011845907,1.7601117618483377,1.7540547716776582,1.748221588783651,1.7426023293914623
S2,681692.8837806575,681503.1245397956,681338.1060566368,681186.2215880083,681040.1484561522,680895.210402124,680748.3723159134,680597.6191121424,680441.570377148,680279.2406870918,680109.8903232794,679932.9322531376,679747.8742113544,679554.2827197524,679351.7608463296,679139.9345882405,678918.4446841236,678686.9418585346,678445.0842482053,678192.5362260095,677928.9681294338,677654.0565818389,677367.4852079161,677068.9456151305,676758.1385566223,676434.7752180395,676098.5785873601,675749.2848768834,675386.6449726827,675010.4258904866,674620.4122191676,674216.4075343944,673798.2357659393,673365.7425028838,672918.7962216848,672457.2894228579,671981.1396629532,671490.2904695837,670984.7121285166,670464.4023332564,669929.3866891221,669379.7190655182,668815.4817919019,668236.7856948121,667643.7699752287,745844.0604770205,823938.3907272728,901921.7555566307,979785.9003316187,1057519.1133948402,1135106.0919453553,1212527.786999142,1289761.177402995,1366778.9518491447,1443549.0956747967,1520034.3900581147,1596191.838331843,1671972.0398483723,1747318.5375818103,1822167.172129001,1896445.4820177292,1970072.1977284194,2042956.883568996,2114999.7860897216,2186091.948425909,2256115.645183906,2324945.181017017,2392448.077475354,2458486.6478433567,2522919.9306296464,2585605.9224541434,2646404.024253808,2705177.5948393205,2761796.4957480193,2816139.512312908,2868096.5473248027,2873535.000650529,2842370.553189952,2809973.4527934175,2776410.0268726153,2741806.4624337293,2706316.4009064496,2670103.685054617,2633332.7079510577,2596162.794101169,2558744.8592417943,2521219.447205598,2483715.6524888203,2446350.641243789,2409229.5895130583,2372445.9160659257,2336081.7220026995,2300208.3717458127,2264887.1656743297,2230170.0662325914,2196100.4482745873,2162713.8514672294,2130038.7182242805,2098097.1051736493,2066905.3597840692,2036474.7566539457,2006812.0902254437,1977920.222438941,1949798.5851779452,1922443.638349671,1895849.2851668494,1870007.2466968342,1844907.3980704267,1820538.068933075,1796886.3108064455,1773938.1340343626,1751678.716934416,1730092.5896817204,1709163.7953275535,1688876.030213228,1669212.765886592,1650157.35447114,1631693.1192804284,1613803.4323167116,1596471.7801448302,1692520.9642989575,1787384.2343835437,1881096.6648279866,1973676.879191686,2065129.1502066324,2155445.4499724694,2244607.316494296,2219748.3316401117,2195535.9191802912,2171882.1060797595,2148733.514574542,2126058.4978591213,2103838.8606882114,2082064.5354335462,2060730.1719100908,2039832.9695190873,2019371.3163823343,1999343.9520966474,1979749.4691656602,1960586.0322302238,1941851.2360649114,1923542.0507132148,1905654.8201141944,1888185.292382761,1871128.6676647349,1854479.6545828427,1838232.5296301553,1822381.1960509198,1806919.2401691023,1791839.984042102,1777136.5339027492
E2,0.0,189.75924086202758,316.01051346811096,403.3350373116173,467.00810135700056,516.5378827082146,557.84891913477,594.6353595141735,629.2019781190849,662.987701330098,696.8917822917538,731.4770734645823,767.0966710767781,803.9727477833849,842.2455408957885,882.0037085315711,923.3030547519943,966.1779971088407,1010.6485095810233,1056.7242493849249,1104.4069361856857,1153.6916524520932,1204.567483958236,1257.0177634464314,1311.0200830513638,1366.5461802559696,1423.561764155491,1482.0263250470116,1541.8929554572771,1603.1082013056252,1665.6119558663681,1729.3374052311092,1794.2110312571385,1860.1526760157578,1927.0756702130689,1994.8870267583964,2063.487699493851,2132.772906014249,2202.6325124731957,2272.9514772819953,2343.610349668934,2414.485818190145,2485.4513034860024,2556.3775888760015,2627.133481796789,2697.5864986264005,2859.606439296982,3099.4916412853554,3409.5891123480865,3787.266366185916,4234.019868637043,4754.786545401652,5357.466893113855,6052.637516588567,6853.417608874526,7775.4503125679485,8836.960771307658,10058.85477009301,11464.823486693083,13081.420443724917,14938.076432483798,17067.017674385923,19503.05284860855,22283.197089328867,25446.106871258504,29031.30980299857,33078.228081229245,37625.013176180124,42707.230599489856,48356.45471748312,54598.85124237331,61453.83599738643,68932.90034097548,77038.68525688027,85764.36838858099,95093.40370752603,104999.6256370421,114712.98288173515,123674.58501053904,131971.68579563353,139613.8537460191,146581.2481311739,152847.88028469053,158392.5206332276,163203.3453053169,167279.35477745134,170630.1256297834,173274.7273139637,175240.26179711544,176560.28431028183,177273.25213057583,177421.0835044612,177047.86959158545,176198.75791100826,174919.0104216815,173253.2297983698,171244.74171804404,168935.11781254812,166363.82254715663,163567.96708133514,160582.15375280177,157438.3959077576,154166.09916918288,150792.0917414951,147340.69288840404,143833.81021972364,140291.05783550226,136729.88867396163,133165.73557879945,129612.15663651636,126080.98123742023,122582.45409116417,119125.37508821415,115717.23345318434,112364.3350958388,109071.92244205777,105844.28633110897,102684.86980735682,99596.36382343282,96580.79501630188,93639.60582505574,92485.20631886451,92717.48660750524,94034.5288512509,96210.44689405736,99077.8030368752,102513.80066561388,106429.5414547881,108898.73643616057,110304.88336154989,110918.53733831948,110933.24896576858,110489.57550991839,109691.23121649477,108616.0243968123,107323.31778489526,105859.15777608604,104259.83215830708,102554.36233277906,100766.26858335939,98914.83594085128,97016.03429656345,95083.1970481352,93127.52944654191,91158.49551464406,89184.11732856728,87211.21020940536,85245.57037861005,83292.12682827041,81355.0658396052,79437.93427443718
I2,515.7945926353221,405.59552667481216,337.90887232957266,297.30358536809763,274.10260800120636,262.22330683996984,257.83304239214795,258.5102365289872,262.71994909423086,269.48556553774586,278.18296032623397,288.4112418271485,299.91143171354827,312.5151779184022,326.11230519374317,340.63019536504953,356.02060740000667,372.25118513699766,389.29992568465735,407.1515236642369,425.7949090204851,445.22154870485025,465.42424118704537,486.3962325431977,508.13054574772633,530.619454503353,553.8540580869376,577.8239296623539,602.5168206974405,627.918410641818,654.0120952079575,680.7788092862135,708.1968822422788,736.2419244249353,764.886744363629,794.1012964937495,823.8526593996044,854.1050445685651,884.8198355442208,915.9556571800015,947.4684744493028,979.3117199812762,1011.4364491782692,1043.791521444936,1076.3238057326473,1108.9784082873598,1141.698920194901,1183.624358850603,1240.5715699992732,1316.349636467905,1413.6906885326212,1534.8927270686086,1682.2562858854394,1858.3801313569015,2066.3650510882453,2309.960756557225,2593.6795369965234,2922.8914340943816,3303.90894286393,3744.0640872754643,4251.776720934811,4836.6097271785275,5509.304245072786,6281.786080530284,7167.1331621775935,8179.493460979311,9333.9434558251,10646.279221564093,12132.73566517839,13809.634275305618,15692.965666243303,17797.919615813436,20138.381439377077,22726.418551619852,25571.784169308274,28681.465775021345,32059.304028252496,35705.70350412773,39544.00743151192,43458.069582088225,47365.28022114243,51201.63558729633,54914.822972695656,58461.10838728129,61803.979445733705,64913.54267896707,67766.19141843282,70344.31982196493,72635.98971704947,74634.52264444834,76338.0211981699,77748.8375698303,78873.01158693238,79719.70005870999,80300.61643017772,80629.49599861878,80721.59804406155,80593.25258202796,80261.45626615101,79743.51932756053,79056.76334109751,78218.26801802324,77244.66408241508,76151.96852690479,74955.45809516152,73669.57663983048,72307.87199823045,70882.95816428016,69406.49877195973,67889.20820871012,66340.86701898492,64770.34861721497,63185.65468947322,61593.95701226269,60001.643746825546,58414.368572815554,56837.101302998104,55274.17886949939,53729.35579198543,52205.853429919756,50706.40748628102,49233.31337078775,47959.54988483371,46981.14377254605,46343.4258124057,46059.46215073141,46122.790164179605,46516.05312096384,47216.7161961791,48014.50581038901,48782.40787640239,49447.58964914347,49972.12650025763,50340.24657572261,50549.91501874819,50607.30949549767,50523.22176286539,50310.740760733395,49983.78634305601,49556.205400287894,49041.23755212544,48451.22153128159,47797.456273358104,47090.159522695096,46338.4860967954,45550.580925241,44733.650673283926,43894.04357305952,43037.33095710498,42168.38655338045,41291.46128594034
A2,538.3710909274147,515.3825682998144,513.1743923818327,524.2330675515915,543.9306333717817,569.430507602031,599.0092763047579,631.6352585536431,666.7062593227184,703.8862684904497,743.0037555396475,783.9883388701028,826.831367999924,871.561402496939,918.2289630531077,966.8970449295997,1017.6352037205104,1070.5158473625747,1125.6118829553711,1182.995188461361,1242.735580239731,1304.9000729042414,1369.5523064591728,1436.7520647240726,1506.5548397446685,1579.011416099782,1654.167461059483,1732.0631141166227,1812.7325741787504,1896.203685713739,1982.4975270379794,2071.628005121175,2163.6014620027872,2258.4162983221745,2356.0626196483363,2456.5219113103467,2559.766747308744,2665.760538651271,2774.457326116478,2885.8016220155023,2999.7283050044466,3116.1625714059965,3235.019945839081,3356.2063532405214,3479.6182536051306,3605.142839984242,3732.65829948154,3871.633354537305,4029.7028341636815,4213.377075944317,4428.61376184065,4681.2723153067445,4977.477061003799,5323.915120826135,5728.09159699021,6198.559927822634,6745.1404626357735,7379.135760289778,8113.54698621834,8963.291998620887,9945.422151220604,11079.331395607476,12386.947916167872,13892.8953614761,15624.607960431931,17612.381761099954,19889.34332130846,22491.317847211867,25456.58137801666,28825.486326301878,32639.95639616071,36942.85517111214,41777.24172422275,47185.535463161024,53208.62003068273,59884.92151427742,67249.49885440085,75333.18395628565,84085.14807227167,93398.42041816577,103179.70159328044,113340.67443531752,123794.72283359239,134456.21764241558,145240.97108261517,156067.1565489525,166856.33715758767,177534.4244735861,188032.4832804365,198287.349617986,208242.05765716618,217846.0864991323,227055.44607976207,235832.6250153012,244146.4241781745,251971.6991029523,259289.03266428906,266084.3572817505,272348.54348330456,278076.9691939066,283269.08173432236,287927.96229674254,292059.9006527514,295673.9860669344,298781.7188404019,301396.64558617026,303534.02022886,305210.49180644995,306443.8194116046,307252.61402345606,307656.1065271308,307673.9408783079,307325.9911256946,306632.2008392649,305612.4433919672,304286.4014947256,302673.4643780064,300792.641038668,298662.4880204015,296301.0502632501,293725.81363707146,290953.6678610047,288179.4475982046,285547.9221501739,283166.17822755896,281113.16184926906,279446.9782363616,278210.43939247326,277435.25394061726,276950.7951197676,276633.7346044237,276394.23886294774,276166.5045773029,275902.2034333449,275565.89187969756,275131.7580231437,274581.2858163934,273901.5541499696,273083.97977281245,272123.37391886994,271017.22339713416,269765.13445454347,268368.39638705127,266829.6345918034,265152.53147296584,263341.59963447455,261401.99598333074,259339.3683096897,257159.72799722795,254869.34401434418,252474.654423721
IH2,0.0,22.377563886730282,36.532475914404564,45.573778745361196,51.46286901746057,55.43964176559061,58.28940132886676,60.5103933006817,62.41917301138529,64.21701625005781,66.03187219741686,67.94493378433731,70.00751380013256,72.25179736369668,74.69771557740698,77.35735419477567,80.2377896477397,83.34291708185523,86.67462880261938,90.2335714883729,94.01962833892065,98.03222024773568,102.2704869725341,106.73338814184386,111.41975037840359,116.32827807647608,121.4575396938971,126.80593770726749,132.37166793026427,138.15267226509522,144.14658786071615,150.350694905245,156.76186476521747,163.376509823239,170.190536106865,177.1992996108809,184.39756706936424,191.7794818171456,199.33853528162618,207.0675445578445,214.9586364370774,223.00323817870895,231.19207523449583,239.51517605255833,247.9618840050704,256.5208763989227,265.1801904432754,273.9272559629236,283.1479290959418,293.421082466405,305.4018128668745,319.7629946592743,337.1737110077794,358.29994686149246,383.8180041779458,414.4346951623876,450.91080307338086,494.08586555233785,544.90327535802,604.4351952851919,673.9069850280199,754.7208343536513,848.4781562926108,957.0000644883723,1082.3449792421147,1226.8221138043277,1392.9993254256442,1583.7036184837316,1802.0125066575758,2051.2345227748806,2334.8774440148823,2656.6032929463154,3020.1698703379543,3429.359430682374,3887.896052203973,4399.354183812387,4967.061667939988,5594.001145215202,6282.714073756158,7032.025304799782,7835.901466759238,8685.653136374549,9571.150557168186,10481.552377152379,11405.787277949454,12332.90265072545,13252.333497787109,14154.115567966244,15029.053304557678,15868.847508712486,16666.185668957525,17414.797631397483,18109.479650738835,18746.09036171995,19321.522612515222,19833.6553197977,20281.289527178065,20664.07269806587,20982.41498843889,21237.40086537293,21430.699001373374,21564.47291479677,21641.294368609488,21664.061102571126,21635.920070967688,21560.19699758587,21440.332746001313,21279.826737592102,21082.187430794067,20850.889700161002,20589.338818897453,20300.840649212627,19988.577576377545,19655.589680050954,19304.76061577829,18938.80767640053,18560.275513680936,18171.533021456195,17774.772910184056,17372.01353647009,16965.10258800193,16555.722262666557,16145.395619178442,15742.91609082598,15359.890752858857,15008.10815355944,14698.110613878282,14438.538650487766,14235.95083929761,14094.919371527329,14010.190584115138,13971.80837497131,13968.188083701469,13987.881442612112,14020.516689486685,14057.228974047297,14090.784889879935,14115.531736457435,14127.254066530142,14122.988683202955,14100.828876350108,14059.735587050463,13999.364876797128,13919.915905649988,13822.00049571897,13706.533548385916,13574.642616605863,13427.594492495635,13266.736549316329,13093.450642454422,12909.117540691192
IN2,87.8215020737797,158.33006758409772,196.17574301944066,215.03597222843078,223.26449920778742,225.92057006323523,226.03040586185904,225.3710827471383,224.95703924490644,225.3413839156841,226.801903946381,229.4553577584548,233.32722866811287,238.3938814548397,244.60767591473936,251.91160459612834,260.2475340739037,269.5605774830806,279.80115912848703,290.92573024675636,302.8967212188837,315.6820839801245,329.25463547515284,343.59132529114686,358.6724971692679,374.4811819023579,391.00244004115586,408.22276178930053,426.12952532187563,444.7105115625424,463.9534719954559,483.84574562956817,504.37392132246003,525.5235420352005,547.2788480660494,569.622556804186,592.5356770017736,615.9973559555673,639.9847583053235,664.4729753920127,689.4349642763879,714.8415156031513,740.6612495151252,766.860638783885,793.404058237352,820.2538594402545,847.3704694296212,874.7125121339498,903.8028183838085,936.8544137707356,976.292604454887,1024.5297618691793,1083.8939558227466,1156.646004805262,1245.043512177987,1351.4269763848602,1478.31393789006,1628.4939174167164,1805.1208431429923,2011.8016785554028,2252.680701646315,2532.518798676978,2856.7665247595246,3231.6287591741793,3664.1177062658535,4162.089906751208,4734.261977325406,5390.19914911331,6140.2704953362445,6995.565181188369,7967.7652482799895,9068.972400142951,10311.488916995924,11707.556010867625,13269.056340517436,15007.190670110283,16932.14139009336,19052.737484916546,21376.136297351022,23895.03226158768,26583.784436830538,29407.74117644669,32328.184415091848,35305.12188473478,38298.998959145596,41271.84196099098,44188.073463449095,47015.11031755958,49723.79509454233,52288.68574977227,54688.2187225558,56904.758383973625,58924.54624866316,60737.564516753235,62337.32935470235,63720.629521278795,64887.22546559591,65839.5229747954,66582.23398619302,67122.03546273342,67467.2354032982,67627.45323532214,67613.32010189202,67436.20296778908,67107.95506455845,66640.6939908451,66046.6077838853,65337.78847380809,64526.09200989588,63623.022988491946,62639.64229496563,61586.49557561393,60473.56035872335,59310.20962771494,58105.18969565341,56866.61032380337,55601.945153911074,54318.04067315311,53021.13209290251,51716.86469012867,50410.31932751144,49106.04103077242,47808.069656080734,46549.10079830317,45371.73445948657,44317.890793326296,43423.45060789972,42716.1208929339,42215.19130847288,41932.311913251186,41841.03397592713,41898.49682103642,42057.888401793825,42275.1678773009,42512.29113392311,42738.36752654453,42929.64796062864,43068.90263853636,43144.526988447964,43149.5741949529,43080.824556166335,42937.94733217257,42722.77783239515,42438.71336490134,42090.221218970044,41682.44675267026,41220.907771830956,40711.26135341845,40159.13022925777,39569.97727834572,38949.01826259776
D2,2766.0,2766.0,2766.1936576241974,2766.5098132400385,2766.9042131739275,2767.349577870404,2767.82935794678,2768.333800120842,2768.8574629764225,2769.39764459811,2769.9533849308373,2770.5248312042468,2771.1128332995386,2771.7186851638044,2772.343959277299,2772.990400605985,2773.6598587071167,2774.3542443780807,2775.0755021252353,2775.8255928311346,2776.6064829747506,2777.420138024255,2778.268518436174,2779.1535772224147,2780.0772583914068,2781.041495797059,2782.04821208098,2783.0993174960754,2784.196708470125,2785.3422658173045,2786.5378525408105,2787.7853111954955,2789.0864607986946,2790.443093292243,2791.8569695703836,2793.329815097724,2794.8633151491945,2796.459109710532,2798.1187880833213,2799.843883243323,2801.635866004737,2803.496139046246,2805.426030857196,2807.426789664089,2809.4995773986407,2811.6454637690695,2813.865420495901,2816.160315772501,2818.530909008709,2820.9812988510835,2823.520593566429,2826.163570693195,2828.930830890302,2831.848765127742,2834.9495278743248,2838.271126382077,2841.857684724905,2845.7599108693657,2850.035778222788,2854.7514244056056,2859.982265639831,2865.8143225299896,2872.3457503678464,2879.6885632299945,2887.9705352884225,2897.337254485516,2907.954292920744,2920.0094451811065,2933.71497102569,2949.309763317636,2967.0613472864275,2987.2676048079697,3010.258109259264,3036.3949543923068,3066.0729659590056,3099.71919824807,3137.791639178302,3180.7770761420493,3229.188108595066,3283.559330019965,3344.4151640471496,3412.227820919841,3487.3943117634,3570.2239838009364,3660.932362136243,3759.6391596021867,3866.3693040847,3981.0562929474618,4103.547391951018,4233.610287609769,4370.9408443604325,4515.1716434509935,4665.8810036050245,4822.602209825914,4984.832707337458,5152.04305176798,5323.68544268346,5499.201703764145,5678.030607804185,5859.614477127633,6043.405019142572,6228.868382111978,6415.489437598062,6602.775313451013,6790.258214844012,6977.497581000094,7164.081632280872,7349.6283666175195,7533.786066275715,7716.233376063223,7896.679012691696,8074.8611624398,8250.546620840747,8423.529724100807,8593.631117572639,8760.696402045727,8924.594694027288,9085.217131689513,9242.475353843298,9396.299975230075,9546.639077646534,9693.45673295914,9836.731570939217,9976.45540205702,10112.696136013605,10245.62213127327,10375.50376554891,10502.702650828924,10627.655174977184,10750.85448441427,10872.833293750287,10994.078851881908,11114.9922466256,11235.874311014933,11356.926803656352,11478.261724912734,11599.91435786655,11721.857386994445,11844.014577750426,11966.273214696144,12088.494938597816,12210.524889365937,12332.199214793582,12453.351086196386,12573.815398440598,12693.432341160784,12812.050021637455,12929.52630510456,13045.730019738792,13160.541654016688,13273.853655126306
R2,0.0,40.30145919106197,96.76925491979827,162.65812384071873,234.04958601285142,308.75907732074484,385.65824741150794,464.255723386322,544.4387273774514,626.314699080256,710.1149837824971,796.1369362477068,884.7097083817647,976.1745543607536,1070.8739600524734,1169.146069830573,1271.3222338692651,1377.7263392081304,1488.6751098115076,1604.4788842078785,1725.442578881911,1851.8666681420007,1984.048085889724,2122.2809997945724,2266.857435189011,2418.06774161967,2576.2009038161004,2741.5447035921065,2914.385741555717,3095.009328501463,3283.6992566172494,3480.737460530905,3686.4035779662395,3900.9744194968303,4124.723356641014,4357.919637360971,4600.827637918442,4853.706059993094,5116.807081973387,5390.375473367101,5674.647681331238,5969.850898370432,6276.202120282167,6593.907203420091,6923.159930289874,7264.1410923738085,7617.017598891664,7981.941619939728,8359.459660101014,8750.800445798825,9157.99098867759,9583.885899396775,10032.163222424582,10507.318578039029,11014.67548637592,11560.421158970223,12151.67203309694,12796.570604486375,13504.413766471085,14285.81225351826,15152.880485310412,16119.455828447211,17201.34584894001,18416.60140086208,19785.812317844306,21332.42102399908,23083.047586578465,25067.817674148006,27320.682697781507,29879.719290430767,32787.3934575527,36090.773469643515,39841.67511477794,44096.72348925019,48917.3171943186,54369.48363028699,60523.61791303262,67454.10254209442,75238.80999302631,83955.22221555833,93674.64271866062,104458.46058649049,116356.20135084973,129404.58892079837,143627.23324640287,159034.74476198512,175625.164103746,193384.63550366036,212288.26995102732,232301.1521485997,253379.44949275715,275471.58454552316,298519.4358733689,322459.5360328201,347224.23984328826,372742.84071309573,398942.6174513869,425749.7985032357,453090.43472777074,480891.17558836285,509079.94687448675,537586.5308002701,566343.0515290783,595284.3708833774,624348.4002564595,653476.3355984632,682612.8228588738,711706.061487332,740707.8535780637,769573.6060406241,798262.2928360149,826736.3838720988,854961.7466394241,882907.5261163359,910546.0079036042,937852.4689820276,964805.0199355952,991384.4419582166,1017574.0214710067,1043359.3847243371,1068728.3343469007,1093670.6894337856,1118178.1304366142,1142251.674751458,1165906.2433262456,1189171.4125347135,1212090.1048813981,1234716.3276265883,1257112.6323531799,1279347.679288517,1301485.8031816958,1323580.0960443052,1345669.9194213648,1367780.9151391396,1389926.3175967608,1412108.8423810473,1434322.7264831215,1456555.6845015301,1478790.6621821395,1501007.3392035828,1523183.3741030393,1545295.4066249833,1567319.8436824507,1589233.4591286264,1611013.8375669057,1632639.6903158328,1654091.0685229257,1675349.4949658776,1696398.0326791566,1717221.3054049267,1737805.4820839122
G2,317491.0,317491.0,317509.96847704914,317541.5571266705,317581.8748016549,317628.557284216,317680.19080113276,317735.95380045456,317795.39400014293,317858.28950513655,317924.56225654203,317994.2240854895,318067.34308626625,318144.0226489252,318224.3883720657,318308.5798725146,318396.7456294313,318489.0397001912,318585.6195825742,318686.64477097424,318792.2757251279,318902.67307667073,319017.99696567823,319138.4064412316,319264.05888634035,319395.10944410687,319531.71043249103,319674.01074170787,319822.155212592,319976.2839970715,320136.5319037643,320303.0277329745,320475.89360623754,320655.24429615977,320841.1865627004,321033.81850229047,321233.2289163014,321439.4967053757,321652.6902960277,321872.867105709,322100.0730522272,322334.34211300063,322575.69593914243,322824.14352879743,323079.68096351344,323342.2912107305,323611.94399472576,323897.79241437046,324207.6199400006,324548.44504306687,324927.0230497012,325350.2588738909,325825.5509284454,326361.08736578526,326966.1135837372,327651.1863845746,328428.42627092055,329311.77554452245,330317.26626518724,331463.2986807465,332770.9273492096,334264.14875271387,335970.1807308312,337919.72062499647,340147.1658374158,342690.7779007062,345592.76955709734,348899.294221376,352660.3189581105,356929.3659872766,361763.1137263571,367220.8561371918,373363.8280019756,380254.4127877743,387955.2579563831,396528.32900168636,406033.9374640565,416529.77935305773,427996.57576911704,440359.18070302,453551.1700985257,467507.07637478015,482159.44865652005,497438.23822175775,513271.27422431885,529585.203894906,546306.574551097,563362.8907926554,580683.5634161355,598200.7123511964,615849.8117337382,633570.1799181289,651305.325438316,669003.164213869,686616.1251444643,704101.1615493832,721419.6852649666,738537.4389949511,755424.3209747929,772054.1743377064,788404.5518764374,804456.4652595466,820194.1262338621,835604.6859544959,850677.9773441383,865406.2642974493,879784.0006103134,893807.6007188713,907475.2236681513,920786.5711818947,933742.7002604104,946345.8503787976,958599.2850810707,970507.147554942,982074.3296166732,993306.3534260287,1004209.2651796243,1014789.5399896097,1025053.99713745,1035009.724894268,1044664.0141153481,1054024.2998432762,1063269.190924602,1072537.300919031,1081937.0634509583,1091554.3323940006,1101458.2244229051,1111705.5813701216,1122344.3587243361,1133229.9586739682,1144256.1181323798,1155343.6189058262,1166432.5902646647,1177477.2116897325,1188442.030016209,1199299.3698568442,1210027.4897681205,1220609.2511389789,1231031.1427130508,1241282.554235155,1251355.2265554501,1261242.8282703406,1270940.624338629,1280445.212535617,1289754.3107219574,1298866.582789177,1307781.4945215913,1316499.1929681604,1325020.4045725185,1333346.3484840724,1341478.6623160613
