series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01
betas,3.7808614598325256,3.7808614598325314,3.7734490501310005,3.766700144161579,3.760312593844995,3.7540988634380605,3.747942091815034,3.741769134266775,3.7355339503420484,3.7292073391293568,3.7227705857874436,3.716211524869195,3.709522099681319,3.7026968488088947,3.6957319677111844,3.6886247272101778,3.681373113566997,3.6739756061866293,3.6664310408273386,3.6587385259405822,3.650897392023736,3.6429071614761677,3.6347675311735723,3.626478362909651,3.618039678677107,3.609451658892794,3.600714642376325,3.591829127329579,3.5827957728377795,3.5736154005828036,3.5642889965663502,3.554817712707151,3.545202868219197,3.535445950704747,3.5255486169139703,3.5155126931346548,3.5053401751839495,3.4950332279801444,3.4845941846772326,3.474025545349121,3.463329975213723,3.452510302390485,3.441569515188031,3.461641476904751,3.4770473806982904,3.4888217493845533,3.4976689088871766,3.5040724623034984,3.50836398127479,3.510766968986684,3.511425377604635,3.510422244817433,3.5077918803619816,3.5035277674351093,3.497587575707234,3.4898962114558216,3.48034754270972,3.468805267151357,3.4551032984594756,3.439046008762779,3.4204086656073525,3.3989384304103383,3.3743563320918017,3.3463606833275565,3.3146324527628965,3.2788431240316083,3.2386655344551727,3.1937880603239437,3.137199562268093,3.066691069683902,2.9915105200471643,2.91187218048894,2.828268005664793,2.741381374001909,2.6520259466399665,2.5610930855777014,2.469502800300839,2.378158470283254,2.2879075262488024,2.199510356113094,2.11361884032374,2.0307647385552774,1.9513570619566198,1.875686802675062,1.8039370256109075,1.7361963129788969,1.672473787485421,1.612714309328371,1.5568128479968228,1.5046274049072477,1.4559901711649113,1.4107168344923193,1.3686141047561444,1.3294856208576562,1.2931364479693062,1.2593763874198036,1.2280223138227364,1.1988997343578156,1.1718437398454609,1.1466994906082293,1.1233223546265816,1.1015777925328107,1.081341064122112,1.0624968143817883,1.0449385833573896,1.0285682731579466,1.0132955966706434,0.9990375257293846,0.9857177512131091,0.9732661635325232,0.9616183589389347,0.9507151748412788,0.9405022556727712,0.930929649667061,0.9219514360746335,0.9135253817867778,0.9056126259692655,0.8981773910890196,0.891186718604723,0.884610227556241,0.8784198943051567,0.87258985173253,0.8670962062775116,0.8619168712923879,0.8570314152892043,0.8524209237555086,0.8480678733185624,0.8439560171363069,0.840070280487895,0.8363966656258291,0.8329221650351324,0.8296346823223754,0.8265229600287495,0.8235765137269194,0.8207855718213365,0.8181410205263543,0.8156343535462325,0.813257626026269,0.8110034123852399,0.8088647676764023,0.8068351921578434,0.8049085987832746,0.8030792833517564,0.801341897079565,0.7996914213797504,0.7981231446550828,0.7966326409282886,0.7952157501498944,0.7938685600388389,0.7925873893243912,0.7913687722700212
S2,2210859.874844236,2210093.4766436396,2209393.0572650954,2208727.8244697494,2208078.5219816305,2207433.04793941,2206783.744437671,2206125.7171437824,2205455.792053138,2204771.867212095,2204072.5096425,2203356.704642675,2202623.699848742,2201872.908259635,2201103.8479704033,2200316.1047702953,2199509.308990966,2198683.121242049,2197837.2236944083,2196971.314830386,2196085.1063640574,2195178.32152244,2194250.6941824933,2193301.968548018,2192331.8991684997,2191340.25117544,2190326.800657519,2189291.3351245024,2188233.6540275994,2187153.569315107,2186050.9060090766,2184925.5027930816,2183777.2126038508,2182605.903221225,2181411.457851942,2180193.775703434,2178952.772544231,2177688.3812478594,2176400.5523173083,2175089.254387269,2173754.4747014856,2172396.2195626423,2408639.5876580076,2644691.611178688,2880546.060390344,3116190.234217167,3351604.9884784473,3586764.6990080522,3821637.0426455187,4056182.5368156033,4290353.808168516,4524094.572584068,4757338.310046138,4990006.613441396,5222007.18348574,5453231.434871195,5683551.67287952,5912817.796440014,6140853.484328384,6367451.827646683,6592370.386103409,6815325.6706808,7035987.094265525,7253970.488191401,7468831.359565116,7680058.163691106,7887065.987318643,7983663.736904404,7943158.549027546,7897866.0452951165,7847337.039861983,7791230.111673298,7729293.94279327,7661364.9609668795,7587370.515711292,7507332.572383337,7421369.352109434,7329693.72468953,7232608.021774571,7130495.505154186,7023809.089753067,6913058.122959228,6798794.0895554675,6681596.074555365,6562056.706869516,6440769.15627919,6318315.59151945,6195257.348574812,6072126.918671978,5949421.751717308,5827599.785002682,5707076.547512596,5588223.653795858,5471368.483935394,5356794.843339391,5244744.403877159,5135418.742828572,5028981.815372414,4925562.717695955,4825258.619620993,4728137.766748886,4634242.47176212,4543592.032225641,4456185.527785141,4372004.46300966,4291015.233338675,4213171.400812585,4138415.7736791978,4066682.2897881796,3997897.7081264956,3931983.116120201,3868855.2626271998,3808427.7280493006,3750611.9438572493,3695318.0741858925,3642455.7721346,3591934.8230981426,3543665.686935983,3497559.9501288715,3453530.69832309,3707335.116378371,3958379.5909011234,4206849.166020929,4452863.841074068,4696486.560605961,4937731.101238574,5176569.191964701,5117094.281649481,5059651.992044569,5003947.852467028,4949798.938430418,4897091.443605461,4845754.083345567,4795741.387590137,4747023.206509801,4699578.135323838,4653389.418717816,4608442.427000736,4564723.12926715,4522217.1985632405,4480909.516633823,4440783.929922268,4401823.162001978,4364008.821759284,4327321.468491038,4291740.709091447,4257245.311512214,4223813.324486717,4191422.197258966,4160048.895483796,4129670.0110352146
E2,0.0,766.3982005963007,1263.547000106295,1593.6512289331936,1820.2721295536503,1982.9582822848124,2106.3249043089327,2205.6949850144715,2290.607093597896,2366.9978487136045,2438.5603335776786,2507.589844328494,2575.510561549137,2643.203569856273,2711.211169073292,2779.864131504319,2849.360956832871,2919.8172190077685,2991.2962772521205,3063.828374644038,3137.422501206277,3212.0737496088664,3287.7678641433554,3364.4840432795627,3442.1966569585725,3520.876290925717,3600.490375243268,3681.0035573624878,3762.3779197893627,3844.573104740358,3927.546384708079,4011.2527032122534,4095.6447008754117,4180.672736261477,4266.284907355806,4352.427077339775,4439.0429069184065,4526.073894581432,4613.459425620625,4701.136830367167,4789.041451875948,4877.106723121885,4965.264253657224,5221.384476895226,5607.148648621485,6100.8725858384905,6693.066471905911,7383.237444623308,8177.722357178979,9088.336764021267,10131.653173383827,11328.759363826923,12705.38593178796,14292.326085634464,16126.097970694478,18249.820106416235,20714.28416599368,23579.216780171046,26914.72353375399,30802.903692148375,35339.61285638529,40636.331724744705,46822.07124230983,54045.206538695624,62475.0836703797,72303.18511016335,83743.57529348921,97032.28293713262,111801.75232938609,127441.25463858101,144169.21825939097,162038.37337956956,180997.36152376368,200920.70026279392,221625.26690094225,242881.89224492927,264425.9335134966,285968.2900369392,307207.0770065869,327839.5479040243,347573.60005461203,366138.17224943446,383291.95901925745,398830.05573089526,412588.3603849755,424445.75462443207,434324.2451681299,442187.3575197135,448037.13601345377,451910.1240884285,453872.68543981423,454015.9905325735,452450.9432695509,449303.26715324784,444708.91491576645,438809.91430060647,431750.71784758713,423675.08727962465,414723.51361742173,405031.15203659015,394726.23494034365,383928.916773875,372750.49872701487,361292.979670824,349648.8805542376,337901.29227123334,326124.1010488601,314382.35017995996,302732.7020261331,291223.96934339456,279897.689918822,268788.72310626693,257925.85102455007,247332.37088783673,237026.66816303378,227022.76300430155,217330.82472715093,207957.65099097852,198907.1099014758,190180.54446726502,181777.13979203254,178362.5003413228,178428.41969855252,180931.7554358956,185163.09092782042,190650.33491851733,197088.65579626497,204290.05456926976,207548.81705872135,208205.11311498133,207132.1152683684,204902.28772690156,201893.7392421006,198358.47879510606,194466.35519351874,190333.42346647065,186040.30808552777,181644.12399811554,177186.23885920583,172697.34449462974,168200.78368730764,163714.74335231603,159253.70958806516,154829.44105513382,150451.6272726855,146128.3402267334,141866.34992574732,137671.34999791376,133548.1234488157,129500.66828422877,125532.29590602471
I2,937.0173623624145,813.592639980588,736.7310726766002,689.6524416126606,661.8282998028991,646.6304069876655,639.8674627221928,638.8736033093909,641.9400290881674,647.9602068613901,656.2081075651096,666.1993702237814,677.6041967821068,690.192546580622,703.7995206809513,718.3033848370068,733.6115194105196,749.6513539377947,766.3644471180397,783.7025609905485,801.6250074363325,820.0968133008244,839.0874180734002,858.5697229889282,878.5193762034658,898.9142200338268,919.7338523030947,940.9592703192395,962.5725765014953,984.5567313889977,1006.8953441125736,1029.5724932561297,1052.5725729257392,1075.880160125746,1099.4799004282172,1123.3564095514935,1147.4941889220963,1171.8775536372182,1196.4905715080906,1221.3170120708946,1246.340304616868,1271.5435044271496,1296.9092665077587,1322.4198262109,1354.6978291466257,1397.9783492293848,1455.0811591036995,1528.079354459215,1618.7534719004004,1728.9000912818933,1860.5463657741475,2016.1077539164548,2198.515418224613,2411.33188633564,2658.868077008879,2946.3111015621653,3279.8698484481047,3666.9438120377063,4116.319578413674,4638.398529581921,5245.458405131452,5951.950111120246,6774.829329146702,7733.919780578049,8852.301160375187,10156.709507067128,11677.930922392161,13451.161048011394,15516.292766783798,17893.430047932052,20575.87880870374,23566.46399123949,26869.723534210843,30487.566776223837,34416.68962710851,38646.98202651499,43160.60362373158,47931.59929239931,52926.000881775275,58102.37717820425,63412.78287166766,68804.03748568163,74219.24699675347,79599.46961179555,84885.42489377188,90019.1518193591,94945.53467907052,99613.63357720476,103977.77615993045,107998.38691337453,111642.54827456913,114884.30281751713,117704.71738766748,120091.73817469394,122039.87056819155,123549.71966687696,124627.42704280547,125284.03735568674,125534.82519716863,125398.60858782363,124897.07123932263,124054.11133722983,122895.23042338416,121446.97211776902,119736.41701518052,117790.7371706834,115636.81116142383,113300.89876530509,110808.37279519602,108183.50452506519,105449.29839008149,102627.37118291104,99737.87075108463,96799.42917668873,93829.14554568057,90842.59365110329,87853.85028918849,84875.54017202849,81918.89387254199,78993.81561885547,76108.95815210693,73271.80224372858,70673.33444781574,68419.74567301564,66561.99047838862,65116.25931149771,64077.94218099341,63430.98242603537,63154.004372540825,63042.370760975704,62971.393420119115,62867.335914451614,62688.81128330248,62414.835577785634,62037.15401828197,61555.31545252828,60973.517297514016,60298.59220184317,59538.73129791441,58702.68256893607,57799.255347677754,56837.02163357523,55824.143476925994,54768.28063701155,53676.548893713974,52555.50988125824,51411.18011892681,50249.05133019938,49074.11700618996,47890.90202465164,46703.49333502039
A2,5347.906941858638,4943.54452597386,4742.721527800382,4669.282347975989,4675.895771999282,4733.154218737893,4822.799198548708,4933.508070588581,5058.272492035535,5192.76674792241,5334.332005699391,5481.343946390883,5632.819083229842,5788.169709243516,5947.051402876625,6109.268174007364,6274.713502133822,6443.333719431078,6615.1052993457215,6790.020793462499,6968.080141977873,7149.285318528757,7333.637040009052,7521.132751799319,7711.765397832624,7905.522671225649,8102.386557261487,8302.333052774393,8505.331990949215,8711.346928491987,8920.335069464723,9132.247210804817,9347.027701160694,9564.61440872487,9784.93869620216,10007.925402518307,10233.492831728612,10461.552750061059,10692.010392269365,10924.764478568179,11159.707243431109,11396.724477486669,11635.695583668521,11876.493648677417,12156.887293782887,12503.141415598951,12934.641178962389,13467.164295493814,14115.184270980435,14893.5103865027,15818.498773962427,16909.009032558522,18187.233969733126,19679.495389936757,21417.07445420794,23437.128732369336,25783.73748923289,28509.110046220256,31674.98754808171,35354.264629364,39632.8528850198,44611.80124735174,50409.677790989175,57165.201411205344,65040.08841083333,74222.04647152514,84927.80528101014,97406.01856394736,111939.8072845603,128707.93322214374,147737.80903896174,169104.07083112557,192887.61180317216,219151.6178479403,247926.17771160445,279197.7769355267,312902.2027218933,348920.3714253558,387076.9576183167,427141.76141151425,468833.6631101845,511826.8754910485,555759.0699297376,600240.8547869205,644866.0368234649,689222.1001585813,732900.3851220845,775505.5293895177,816663.832743615,856030.3123184968,893294.3171931808,928183.6625093981,960467.3195315793,989956.7573298747,1016506.0740342216,1040011.0821837238,1060407.5256867874,1077668.607798335,1091802.0028609545,1102846.5117493623,1110868.504128195,1115958.2715688315,1118226.395703187,1117800.216012831,1114820.4633461635,1109438.1083487244,1101811.4589908454,1092103.5284219575,1080479.6834828316,1067105.5752843725,1052145.3461706743,1035760.1019432159,1018106.6342317509,999336.375150219,979594.5646729594,959019.6103200924,937742.6185803452,915887.077873019,893568.6736262221,870895.2171134294,847966.6709508433,824875.2555368373,802759.1780770785,782330.2039429401,764010.8587530496,748031.6152848226,734498.9757643889,723442.593538363,714847.4511599152,707637.654771756,701121.117322786,694855.1438531793,688559.7090875597,682061.2945353533,675256.3764683701,668087.5911553805,660528.1041619924,652571.3058231437,644223.9762602489,635501.7190244355,626425.884564349,617021.4771224094,607315.7148614671,597337.0272463022,587114.347912034,576676.6095677161,566052.3790124278,555269.5909646422,544355.3529311655,533335.8022393166,522236.0022303522
IH2,0.0,62.6511173256125,90.94099474124744,102.30240997679789,105.78136512385728,105.9501396550937,105.03241452108327,104.04494976611625,103.40254235163721,103.23287545860133,103.53643715366137,104.26496815141776,105.35793491901981,106.75797918811469,108.41626472461884,110.29328144069872,112.35784497258214,114.58557374652253,116.95739456593728,119.45827514406716,122.07622234250634,124.80152045773957,127.62616425465686,130.5434411975369,133.54762419988407,136.63374462073267,139.79742290203606,143.03474045558767,146.34214113447513,149.71635408212904,153.1543322183054,156.65320235044868,160.21022409767536,163.82275564031258,167.48822487519482,171.20410494709625,174.9678933963376,178.77709435054766,182.62920332111165,186.52169425974012,190.4520085997446,194.41754605797163,198.4156570122579,202.44363629931155,206.49871830151676,211.02209511077032,216.55426625911957,223.59902377173393,232.58882486885733,243.89495835814745,257.85410821267476,274.79819120147346,295.08230652261386,319.10955606613425,347.3532546247776,380.3777090045526,418.8588828917975,463.6061841070642,515.5864606710159,575.9511344084364,646.067251909633,727.5530841437353,822.3187358609116,932.6120038594137,1061.06941327878,1210.771923530829,1385.3041893860786,1588.8154510089346,1826.0790845448862,2102.5465723822836,2422.7417820879373,2788.855755161095,3202.3553361046725,3664.3995039905462,4175.791915918366,4736.7803996349885,5346.833523225868,6004.448473411088,6707.013289712611,7450.733313497416,8230.625059801849,9040.576093035537,9873.465462678876,10721.335688409807,11575.604451046678,12427.302340949132,13267.322390355128,14086.667642546014,14876.68451105673,15629.271885855538,16337.058546860975,16993.54416056742,17593.20172358792,18131.54160278001,18605.139197579985,19011.629668954418,19349.67414236842,19618.90233586017,19819.836747273002,19953.80342643585,20022.8340303545,20029.563380130287,19977.126167413564,19869.055845958563,19709.18813005785,19501.570935993193,19250.382065728194,18959.855456669182,18634.2164138513,18277.625902827,17894.133710642498,17487.640073848004,17061.86522016732,16620.326167076295,16166.320058664223,15702.913294490412,15232.93570385833,14758.979039803296,14283.399103648731,13808.320858522435,13335.645944789336,12867.062068719639,12404.053795296924,11960.256818912207,11550.724557821999,11187.644113699422,10879.206352284684,10629.880501585572,10441.199730325556,10312.629059078601,10230.173938181586,10177.334871751647,10139.558060401563,10105.587525152532,10067.454989073798,10019.96088496816,9960.042311264817,9886.193427104716,9797.992771515397,9695.742197964599,9580.202677753758,9452.407072485179,9313.530959781754,9164.805748692317,9007.461828577223,8842.692622343127,8671.632940138148,8495.346957588508,8314.822562483436,8130.969833474417,7944.622133144703
IN2,60.773605056213924,114.75162931785273,154.6887899476803,185.17512732943257,209.19909189769515,228.73211164023363,245.09527530380026,259.1901084327305,271.64442571632816,282.90501058307245,293.2969198885441,303.06177408649364,312.3827611637713,321.40119516961437,330.22766859602456,338.94971259855356,347.6371752681608,356.34608724729105,365.1215071296063,373.9996647294276,383.00961007190244,392.17450589434185,401.51265661517397,411.03833777904185,420.7624710811262,430.6931775491414,440.8362330183964,451.1954442260593,461.7729597602895,472.5695271470192,483.58470517030804,494.8170388617681,506.26420330435354,517.9231213725648,529.7900597053864,541.8607065324111,554.1302344141301,566.5933504901989,579.2443364367936,592.0770800024578,605.0850997105955,618.2615640776745,631.5993064925296,645.0908367283812,658.7283499107284,672.9344492061334,688.3591639882284,705.7627250874577,725.9548138898817,749.7700579131676,778.0662819231829,811.7368687201922,851.731968042317,899.0855968239475,954.9472107747397,1020.6173358278661,1097.5875043705012,1187.5851682935704,1292.6245399489896,1415.0644919619067,1557.6747513730784,1723.7116566019156,1917.0046940196896,2142.054865869066,2404.1456196810814,2709.46653462321,3065.249144915317,3479.9131118401842,3963.219366242545,4526.42478683859,5180.831445754024,5936.043471791499,6800.7743013271875,7783.057376227981,8890.15169221501,10128.290260326137,11502.35340494943,13015.51864292133,14668.924775265948,16461.38013895355,18389.1391510674,20445.765387959156,22622.092924177152,24906.29068445718,27284.02763994369,29738.730383949147,32251.91944536321,34803.60696387936,37372.73619230968,39937.64266256665,42476.517572090765,44967.855748204194,47390.87312135803,49725.88167704127,51954.61308155842,54060.48535653026,56028.8099324791,57846.939019436904,59504.3554183831,60992.70863023385,62305.80240159477,63439.53970601678,64391.831640320066,65162.476871731444,65753.01816130124,66166.58217030039,66407.70828370441,66482.17160774703,66396.80465965143,66159.32160280347,65778.14821863601,65262.26016959624,64621.031512063324,63864.0948750709,63001.214236861895,62042.170809752446,60996.66218473751,59874.214588786104,58684.10786631876,57435.31260733102,56136.43870276872,54795.69450750646,53420.85572701589,52031.21571776975,50650.797882750965,49304.24421670182,48014.4913859357,46801.61232799216,45682.39405335787,44670.360087553876,43764.2493032337,42954.85449341265,42229.215542571415,41573.137209888126,40972.65054857859,40414.81319785828,39888.10072428746,39382.549571570766,38889.753443803485,38402.77728509963,37916.02888507471,37425.11270364026,36926.68066866718,36418.28846153653,35898.261883385516,35365.57546015881,34819.74396242709,34260.72664095775,33688.84348833951,33104.70258692819,32509.137501643556
D2,2766.0,2766.0,2766.5356348525775,2767.3131336170177,2768.187766642339,2769.092142946102,2769.9979621853627,2770.8959353464074,2771.7854661913207,2772.669504783016,2773.5520928099786,2774.4372761334134,2775.328688022439,2776.2294442155794,2777.142170067645,2778.069073408745,2779.012024278045,2779.972626104426,2780.9522738668475,2781.952199478239,2782.9735063332055,2784.0171952911824,2785.084184147333,2786.175322256176,2787.291401583499,2788.4331651314433,2789.601313422824,2790.7965095374866,2792.0193830533603,2793.270533145146,2794.550531023403,2795.8599218477198,2797.1992262133654,2798.568941286761,2799.969541648127,2801.4014798875237,2802.8651869916985,2804.361072552654,2805.889524823968,2807.4509106471264,2809.0455752672015,2810.6738420548345,2812.3360121495834,2814.0323640380975,2815.7631530792705,2817.5286109873878,2819.332741442361,2821.184169117304,2823.0958258482124,2825.0843407580473,2827.1695172982454,2829.374037395168,2831.7234206929597,2834.246222751397,2836.9744454442375,2839.944137243448,2843.1961711541526,2846.77719932357,2850.7407939197783,2855.148793164503,2860.072879344281,2865.59642229138,2871.816627223117,2878.8470297706945,2886.8203830726475,2895.89198120237,2906.2434588527176,2918.0870976724427,2931.6706531811337,2947.2826908110696,2965.258383367072,2985.9715803965437,3009.8148637255845,3037.1933559468857,3068.5220883285274,3104.2229629937383,3144.720000865609,3190.432679397498,3241.767627761615,3299.1091442105435,3362.80908461588,3433.176698614124,3510.4689776590635,3594.882032737472,3686.543942469244,3785.509411056294,3891.756458858085,4005.1852463403866,4125.619014613157,4252.807021069728,4386.429262776358,4526.102716656166,4671.3887851217505,4821.801617547442,4976.8169792517265,5135.881356978395,5298.421019312954,5463.85078815177,5631.58231967075,5801.031737133814,5971.626500849376,6142.811440749045,6314.053913130639,6484.848074294459,6654.718289754332,6823.221718409855,6989.950126764345,7154.530999380659,7316.628018810374,7475.940991791456,7632.20529917875,7785.190945424889,7934.701280000424,8080.571458410872,8222.66670485354,8360.880432413078,8495.132270314341,8625.366041368296,8751.547726542283,8873.663447694162,8991.71749402437,9105.730412781086,9215.73718023368,9321.78546491911,9424.039513553096,9522.792271840499,9618.440878941728,9711.452501709446,9802.332516598744,9891.59940786931,9979.767085981692,10067.22981518955,10154.240797536926,10240.928807563263,10327.326386972927,10413.397952797954,10499.06346844324,10584.216711079485,10668.738583711991,10752.506386071364,10835.399998580215,10917.305807574672,10998.119029826705,11077.744932692749,11156.09931144371,11233.108480547144,11308.708957623077,11382.846962335054,11455.477812501267,11526.565271872769,11596.080884905332
R2,0.0,411.1579966793526,823.3504682931047,1236.371594318843,1651.8863468631403,2072.007511851699,2498.711098252721,2933.6479572732565,3378.1286513944633,3833.173347096497,4299.577214319277,4777.970931524455,5268.869679105163,5772.7100496250405,6289.87658709109,6820.720225421383,7365.57073965128,7924.744931989539,8498.551859827161,9087.29605467869,9691.279400088019,10310.802127991752,10946.163243776977,11597.660586194725,12265.590657154447,12950.24830858694,13651.926341843024,14370.915054335816,15107.50175472579,15861.970259410653,16634.600377739218,17425.667390098566,18235.441521085086,19064.18740887634,19912.16357135573,20779.621869302053,21666.80696691071,22573.95578998018,23501.29698222455,24449.05036032851,25417.42636852584,26406.62553364435,27416.837921713086,28448.242597367494,29501.007087413578,30578.152653158144,31684.913821882725,32828.2841670826,34016.74088319846,35260.122584640776,36569.63251570452,37957.943978783886,39439.39165502541,41030.23944291972,42749.02162906435,44616.95943963714,46658.45939734027,48901.70361448002,51379.345367170456,54129.32613872701,57195.832829162646,60630.41594037738,64493.291088053134,68854.84685744475,73797.38136178223,79417.08727099696,85826.29978722251,93156.01314697698,101558.6577487488,111211.11100718856,122307.25068074581,135046.13757841208,149634.44410542032,166286.53217099106,185222.91261358478,206667.51104773078,230844.02936339655,257971.64302103868,288260.2652870022,321905.61401640275,359084.3191759766,399949.3018959911,444625.63539526134,493207.0651704113,545753.3232558048,602288.3232434748,662799.273477681,727236.6993469785,795515.324954035,867515.7316538921,943086.6869690168,1022048.0222634792,1104193.9306462677,1189296.5567704116,1277109.7561450303,1367372.9118501625,1459814.709761079,1554156.7883114824,1650117.194404164,1747413.5924724182,1845766.1882714448,1944900.342292038,2044548.8594608984,2144453.9518824406,2244368.8797546346,2344059.28230697,2443304.215771079,2541896.919150773,2639645.331076337,2736372.3824842405,2831916.0904327543,2926129.478212528,3018880.3461920735,3110050.916688439,3199537.3746930445,3287249.324614237,3373109.181407253,3457051.512619023,3539022.3460353687,3618978.4558248026,3696886.6383586153,3772722.9872740936,3846472.175851752,3918206.414183715,3988059.453104451,4056205.8219807046,4122845.206525409,4188191.2533344836,4252463.919912891,4315884.531179676,4378594.356079831,4440676.480568572,4502172.75348988,4563096.4608079335,4623441.586734323,4683189.473415077,4742313.556082074,4800782.702115326,4858563.55036537,4915622.140328542,4971925.039054355,5027440.113234652,5082137.050262209,5135987.701008268,5188966.295256043,5241049.565518717,5292216.804419418,5342449.873508569,5391733.176340461,5440053.605124653,5487400.467822616
G2,317491.0,317491.0,317521.3055458734,317571.26975709567,317634.28722032445,317706.26591296936,317784.6776748213,317867.96770076634,317955.1870998974,318045.76416322956,318139.36193241883,318235.78948404524,318334.94665717,318436.78960697056,318541.3093291943,318648.5182636529,318758.4419298276,318871.1136964368,318986.5715023187,319104.8557917139,319226.0082047596,319350.0707370838,319477.08519026474,319607.09280216997,319740.13398811576,319876.2481499336,320015.4735263323,320157.8470681137,320303.40432814,320452.179359909,320604.2046210576,320759.5108796569,320918.12712211744,321080.0804621267,321245.39605040965,321414.0969853393,321586.20422456623,321761.73649792635,321940.71022194094,322123.13941625477,322309.0356223773,322498.40782509994,322691.2623769663,322887.6029261689,323094.0711911834,323315.7936592917,323557.03936403664,323821.7020848526,324113.6561120129,324437.02631283394,324796.4047749715,325197.0389097865,325645.0099988658,326147.4167841321,326712.57565779495,327350.2470425009,328071.8963887371,328890.9975929667,329823.3863110445,330887.67037132586,332105.7040386166,333503.1319784725,335110.0071176027,336961.48383925855,339098.5836976915,341569.0246677331,344428.09648111486,347739.5535809456,351576.48365132837,355997.44018712424,361036.82674311096,366737.68414869666,373145.1383335972,380302.284368597,388247.2553954063,397010.9433679936,406615.17824423406,417071.3252602156,428379.31779636553,440527.15185654815,453490.85199363186,467234.8921970845,481713.027931859,496869.47276424296,512640.33775355574,528955.2449033414,545739.0268557866,562913.4321788234,580398.7671359505,598115.4188294081,615985.2193920594,633932.6251644014,651885.6976241901,669776.8837022171,687543.6017910668,705128.6462376984,722480.4275665263,739553.0683627042,756306.3759552762,772705.713084389,788721.7869069318,804330.3752505953,819512.0071886339,834251.6129571853,848538.156115356,862364.2587614562,875725.8286420362,888621.6951734014,901053.2597670598,913024.1644240685,924539.9813394953,935607.9252296336,946236.5892479215,956435.7046739324,966215.9240247795,975588.6268307789,984565.7470186751,993159.6206386226,1001382.8525393956,1009248.2005255744,1016768.4755080872,1023956.4561745641,1031009.4123688616,1038064.9752004176,1045219.5269857128,1052541.3977075042,1060080.249529133,1067873.690712476,1075951.8955091706,1084158.9609634683,1092391.9782143962,1100582.5661049245,1108684.980326993,1116668.4280587332,1124512.0816239847,1132201.8296473636,1139728.1498965798,1147084.7082582864,1154267.4291052057,1161273.8726037822,1168102.8125617963,1174753.9458264844,1181227.688406987,1187525.029133623,1193647.4218073057,1199596.7033798583,1205375.0299921916,1210984.8254904405,1216428.7388628533,1221709.608231205,1226830.429809693
