series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01
betas,0.43829824351941377,0.43829824351941377,0.4368468585675432,0.43548472573441266,0.43413967483997584,0.43276844924574104,0.43134431281176755,0.42985001538918055,0.4282737798829967,0.42660701140665686,0.4248429945699515,0.4229761604467409,0.4210016832783863,0.41891526879733504,0.4167130544020045,0.41439157491251294,0.4119477668708123,0.4093789953737835,0.40668309372442835,0.40385840976156595,0.40090385474328455,0.39781895178768295,0.39460388150896253,0.39125952285819077,0.3877874874219298,0.38419014562874276,0.3804706435102483,0.37663290888579326,0.37268164610013793,0.36862231874416884,0.3644611201248728,0.3602049316124007,0.3558612693649432,0.3514382202997364,0.34694436852315397,0.3423887137372717,0.33778058338908673,0.3331295405093356,0.3284452892921815,0.32373758049113155,0.3190161186514296,0.3142904730703859,0.3095699941842911,0.30803857240765353,0.3062881607995809,0.30434018098989574,0.30220883455870484,0.2999039082110373,0.2974325657819082,0.29480049519735013,0.2920126481759451,0.2890737235103863,0.285988488205188,0.2827619945830376,0.2793997286640342,0.2759077109179866,0.27229256177302985,0.26856153902559343,0.2647225512578188,0.25879816123755767,0.25261101727896423,0.24655322786696757,0.24062867461862847,0.23484477137487053,0.22920980784832426,0.22373156947549394,0.21841666000451704,0.21327021410396158,0.20829582698083954,0.20349560372292486,0.19887027265166843,0.19441933016037843,0.19014119772058666,0.18603337946525306,0.1820926134188914,0.17831501235031252,0.17469619208910903,0.1712313863706757,0.1679155480845884,0.1647434373333992,0.16170969704836718,0.15880891711148298,0.15603568803836368,0.15338464531240006,0.15085050544783546,0.1484280948139787,0.14611237218632006,0.14389844591175827,0.14178158649094386,0.13975723529554676,0.1378210100553022,0.13596870767109726,0.13419630483745293,0.13249995689121352,0.13087599524333307,0.12932092369727977,0.1278314139105005,0.12640430021418841,0.12503657397080636,0.12372537761792736,0.12246799852044231,0.1212618627305641,0.12010452873584841,0.11899368125922512,0.11792712516139532,0.11690277948453622,0.11591867166676305,0.1149729319489357,0.11406378798892867,0.1131895596931963,0.11234865427116857,0.11153956151456026,0.11076084930091797,0.11001115931856464,0.10928920300841626,0.10859375771686863,0.10792366305300526,0.10727781744270257,0.10665517487175832,0.10605474180989614,0.10547557430737155,0.10491677525589407,0.10437749180565767,0.10385691293042128,0.10335426713278444,0.10286882028204601,0.1023998735773057,0.10194676162876008,0.10150885065044775,0.10108553675800971,0.10067624436534107,0.10028042467432108,0.09989755425211173,0.0995271336908132,0.09916868634455167,0.09882175713935376,0.09848591145142789,0.09816073404972941,0.09784582809892893,0.09754081421913553,0.09724532959894641,0.09695902715860276,0.09668157476022823,0.09641265446231265,0.09615196181577823,0.095899205199131,0.09565410519035475,0.095416393973351,0.09518581477686494,0.09496212134396641,0.09474507743027437
S2,39779853.6317438,39758338.3932657,39738015.767830245,39717822.86249211,39697107.795675546,39675453.9805218,39652579.116563775,39628276.940184794,39602383.586823374,39574758.17435179,39545271.63031737,39513800.31539581,39480222.45172022,39444416.20524642,39406258.75702863,39365625.9790606,39322392.49252572,39276431.97975795,39227617.67477761,39175822.987630926,39120922.23460997,39062791.45538759,39001309.30245312,38936357.98991066,38867824.288854465,38795600.55586831,38719585.780152515,38639686.63365743,38555818.50759981,38467906.518005006,38375886.46256054,38279705.711157836,38179324.013084576,38074714.20492508,37965862.80481933,37852770.480784155,37735452.383250825,37613938.334738135,37488272.87256131,37358515.14356519,37224738.65295354,37087030.872255094,38339414.489949055,39581031.34768149,40811602.48450221,42030652.085299015,43237560.45426873,44431598.775037244,45611951.895029716,46777733.41793215,47927996.005568475,49061738.83529813,50177913.509388834,51275429.27521176,52353158.121343836,53409940.11665045,54444589.224065915,55455899.72579599,55262295.32949165,54841629.361126676,54409302.894248575,53965430.46721801,53510491.24875991,53045186.32390407,52570353.10771898,52086912.11497731,51595832.306719914,51098107.32587671,50594738.32284393,50086720.95965232,49575035.23172653,49060637.32849384,48544453.07474286,48027372.66951178,47510246.53351016,46993882.12622821,46479041.62045236,45966440.33627756,45456745.84513086,44950577.66013676,44448507.4340713,43951059.59097124,43458712.32250001,42971898.8854814,42491009.14253009,42016391.29332359,41548353.74965006,41087167.11282093,40633066.217264086,40186252.20904376,39746894.632638775,39315133.50352194,38891081.34790723,38474825.19446617,38066428.505870655,37665933.04071132,37273360.6386911,36888714.924025685,36511982.923724025,36143136.59889863,35782134.28849437,35428922.06585174,35083435.00936022,34745598.389133215,34415328.77216861,34092535.04886818,33777119.38409257,33468978.09614147,33168002.467186376,32874079.488756668,32587092.54590126,32306922.043626264,32033445.979152672,31766540.463454198,31506080.19543009,31251938.89194629,31003989.67684512,30762105.43188249,30526159.112405527,30296024.030434947,32296437.172713764,34279883.522911206,36246655.537446275,38196862.90136887,40130453.15608316,42047230.31504132,43946870.73111636,43604073.00318637,43267641.699132,42936655.168833666,42610558.46875303,42289027.70024369,41971883.374365926,41659035.06377167,41350446.070647925,41046110.92220633,40746041.09614732,40450256.02941499,40158777.51857291,39871626.29587368,39588819.998689935,39310372.02860466,39036290.97572854,38766580.399275266,38501238.829857305,38240259.906980924,37983632.59620998,37731341.450477324,37483366.89294117,37239685.507122144,37000270.3254341
E2,0.0,21515.23847810502,35527.57747063505,45300.463960687164,52729.184735564006,58917.855967154705,64512.476987869464,69893.54266893544,75287.55203280675,80831.59090505767,86610.72901100521,92679.65252303901,99075.14703983448,105823.26534868278,112943.40401698125,120450.57977932328,128356.655865203,136670.9549416919,145400.51370887394,154550.1290202965,164122.2845961551,174117.01231609136,184531.72189317743,195361.02114085335,206596.54237738458,218226.78662084095,230236.99485306846,242609.05403466045,255321.4443023183,268349.2326269863,281664.11702075304,295234.52408989624,309025.7613256329,323000.2240209018,337117.65514111245,351335.4549141915,365609.03540344536,379892.21395084413,394137.63819004525,408297.2343814194,422322.67015705176,436165.82240879466,449779.2410171263,470166.6880644624,495620.34383546887,525130.135741926,558126.1199326668,594314.6341357329,633574.4816088974,675891.2556043838,721315.7166465451,769937.2219762261,821866.4959996232,877224.1432356464,936132.6544375838,998710.5142895454,1065067.562581299,1135301.1044998588,1209492.4829266255,1275421.782878625,1333674.9252289638,1386388.7411891446,1434708.7122215207,1479222.4408517848,1520208.8593785893,1557781.9912775317,1591973.9713754768,1622782.8276641655,1650199.6590468625,1674223.6634289604,1694869.940571338,1712172.9675657155,1726187.474224626,1736987.7641953249,1744666.126653285,1749330.7441486856,1751103.356662281,1750116.851282504,1746512.8888041489,1740439.6400891547,1732049.6787500696,1721498.0582413587,1708940.5881711068,1694532.3149921915,1678426.2052004212,1660772.0241011702,1641715.399650905,1621397.0585034366,1599952.2199385038,1577510.13262064,1554193.7389654857,1530119.4521441692,1505397.031323218,1480129.5415265618,1454413.3854433985,1428338.3955313482,1401987.9758312555,1375439.2839816136,1348763.444969257,1322025.7891585105,1295286.1080893243,1268598.9224169918,1242013.7571766488,1215575.4202928545,1189324.2809184166,1163296.5447792653,1137524.5242268995,1112036.901160792,1086858.981384816,1062012.939309119,1037518.0522068897,1013390.9234890668,989645.6946739176,966294.2459070995,943346.3850354532,920810.0253582797,898691.3522767333,876994.9791384526,855724.0926335261,834880.5881419427,814465.1954640794,817004.3033363248,835473.0422282466,865089.664785519,902637.024238812,945985.0710305017,993756.1465498586,1045091.3398893022,1075003.8144900776,1090698.371447071,1096899.9816513404,1096716.7663484686,1092200.8443297483,1084713.399039123,1075162.6576959144,1064159.2450658353,1052117.7429567745,1039323.1796515812,1025974.6267802351,1012213.8338052485,998144.0708279961,983842.5552571747,969368.6685851336,954769.4069766271,940083.0115129969,925341.3985090504,910571.797364154,895797.8638941826,881040.4455850897,866318.1151216553,851647.5490417957
I2,17336.502065603727,15009.956010560047,13784.5456749011,13237.385160484122,13122.002738610581,13294.498869552654,13670.770659700253,14201.689091034164,14858.670106832897,15625.270814760883,16492.28157256601,17454.847978910486,18510.77230732177,19659.500608970862,20901.508571087867,22237.919272083873,23670.255703602736,25200.271470585845,26829.826686481494,28560.78985866372,30394.954631889257,32333.965017461393,34379.245570508014,36531.93469195046,38792.82029089687,41162.27771574165,43640.21030185043,46225.99317724499,48918.42116330724,51715.6617310182,54615.21403789398,57613.87508310202,60707.7139815848,63892.055274733415,67161.47206792512,70509.78961786834,73930.09979049233,77414.78657997982,80955.56262983543,84543.51643711516,88169.16966130919,91822.54371022218,95493.23454646833,99170.49445887281,103101.83011659577,107438.9111032282,112276.01598654548,117673.87267233252,123674.2914968756,130309.02787031367,137605.04738696854,145587.55815099768,154281.6618842192,163713.15168795903,173908.78154170912,184896.20651790133,196703.71496242954,209359.82652117126,222892.80148428862,237330.0902900924,252247.383025206,267298.7962475412,282263.21656943596,296991.2060631999,311374.92731287214,325331.2424195694,338792.3515122134,351700.73172455386,364006.5074083793,375666.16980844626,386642.0196020514,396901.97036229755,406419.50583423354,415173.67504306696,423149.06316564046,430335.70807134337,436728.9513486563,442329.22367006104,447141.7705797593,451176.328053247,454446.7585940513,456970.65889551275,458768.9496453791,459865.4571745923,460286.49553890293,460060.4564006968,459217.4128353042,457788.7419794114,455806.7703073344,453304.44428769866,450315.0282517542,446871.83050061984,443007.95799199474,438756.09937306686,434148.33565847937,429215.97748149926,423989.4275631752,418498.0668380615,412770.1625358432,406832.79643609317,400711.81147917686,394431.7749214718,388015.95625987067,381486.31821212417,374863.51911992894,368166.92523557507,361414.6314560056,354623.48917659,347809.1400477084,340986.0545278993,334167.5742358643,327365.9572085279,320592.4252724748,313857.21283061756,307169.61645434337,300538.0447533377,293970.06807064847,287472.4676193639,281051.28373965167,274711.86301107815,268458.90400537243,262296.50150945317,257054.19229501675,253192.60389074477,250935.21213079616,250357.53709009793,251446.86002558214,254141.65342865745,258357.15242613357,263103.7569950552,267788.85440990864,272072.61409385485,275774.77823342645,278814.52601784345,281171.7942354722,282862.51477212,283922.871689041,284399.3949457034,284342.8215542622,283804.379160933,282833.6183295921,281477.2266542547,279778.4576745053,277776.937720587,275508.6985404476,273006.33866106754,270299.2522094125,267413.8870820593,264374.0092919969,261200.9599003887,257913.8970315642
A2,121332.81610952406,116479.06655163632,117340.85597784167,121764.10248958865,128518.38085984293,136908.86733879597,146551.87864463276,157244.8604911828,168891.0064041363,181455.5080752473,194940.12945333892,209368.39503390557,224776.92214650265,241210.30343999845,258718.0335216638,277352.6047014995,297168.26309396577,318220.1291878052,340563.51089332264,364253.30940607766,389343.46067388076,415886.3803998115,443932.3956512275,473529.15549636097,504721.0190933799,537548.4237089456,572047.2380346698,608248.1083362187,646175.8066397976,685848.5914429872,727277.5923719615,770466.2307992764,815409.68867369,862094.4376804822,910497.8403373018,960587.833737231,1012322.7053921479,1065650.9690358106,1120511.346363075,1176832.858569042,1234535.029280772,1293528.198123441,1353713.9418150042,1414985.5974204775,1479038.1169840873,1547060.3772690704,1619934.4847082286,1698360.9958386486,1782937.0810126632,1874204.919372066,1972681.3037932683,2078875.3800515647,2193298.8576571504,2316471.3906685896,2448922.795376966,2591193.127836941,2743831.2461774694,2907392.2399816993,3082433.9643002716,3269512.832678587,3466027.051115757,3669629.2693225094,3878614.406112398,4091639.5501150712,4307566.305389327,4525373.397236066,4744109.66702041,4962870.252512921,5180785.983162932,5397020.174117994,5610769.405094213,5821266.2705047205,6027782.911470752,6229634.631187468,6426183.191442242,6616839.569659457,6801066.068752409,6978377.743109328,7148343.148983079,7310584.455785882,7464776.972022949,7610648.149398093,7747976.13329015,7876587.928872179,7996357.250698216,8107202.120388587,8209082.272678724,8301996.424992681,8385979.46019308,8461099.566497464,8527455.372928532,8585173.113224328,8634403.845975727,8675320.75395175,8708116.541161135,8733000.942203531,8750198.354891704,8759945.603970746,8762489.84100622,8758086.583138354,8746997.891377611,8729490.687419469,8705835.206553003,8676303.58309874,8641168.563906915,8600702.34474945,8555175.5239211,8504856.167002836,8450008.976510815,8390894.560036866,8327768.790462881,8260882.251885333,8190479.765002923,8116799.985887354,8040075.0722634,7960530.411660241,7878384.406053338,7793848.307887991,7707126.102656343,7618414.433484129,7527902.563467906,7435772.371784659,7347979.320850095,7268437.868338387,7199678.758394599,7143305.892488889,7100312.383967801,7071298.074925389,7056618.392664168,7050202.271949909,7048070.451952768,7047615.407409828,7047131.548460416,7045508.142201425,7042028.204230408,7036236.50690287,7027852.735565359,7016714.181668259,7002737.7912835805,6985894.919913534,6966194.4455537,6943671.392850183,6918379.201338787,6890384.411621643,6859762.96287919,6826597.570110373,6790975.829975399,6752988.822726926,6712730.055779059,6670294.645921431,6625778.671165048
IH2,0.0,1413.0840214302514,2590.9400937446717,3630.9105030609453,4592.727709226166,5514.107199039177,6419.818437664067,7326.976546884778,8248.139963987327,9193.132065879696,10170.119032016366,11186.25289006547,12248.05922957587,13361.673957358404,14532.989853545834,15767.748340852631,17071.597136438024,18450.12587191025,19908.8867645545,21453.40450592517,23089.177834144357,24821.67426929786,26656.318924184063,28598.47798489089,30653.43728786957,32826.37634411277,35122.33814225651,37546.19508007432,40102.611414837935,42796.002678644596,45630.492568708876,48609.867889721645,51737.53219132324,55016.45880456652,58449.14403332313,62037.561296613276,65783.11704293283,69686.60926545339,73748.18943576295,77967.32864261506,82342.78867078759,86872.59868428079,91554.0380891913,96383.62604693056,101357.11799091856,106490.58037032119,111811.92371401208,117355.84258737297,123160.86201879436,129267.67195442699,135718.23783844645,142555.3690452184,149822.5483983503,157563.90177074433,165824.23369041475,174649.0837640994,184084.776407321,194178.44714016508,204978.035270098,216532.23681793135,228890.41409214094,242065.7515765005,256042.81568316955,270788.6480180152,286259.1730254986,302402.94750688924,319163.41157426825,336480.3039303093,354290.61896430055,372529.31861574703,391129.9169114822,410025.0002045741,429146.7146081983,448427.23422009207,467799.2138410409,487196.22471218125,506553.16939057654,525806.6710961469,544895.4330016081,563760.5635791181,582345.8650047568,600598.0825961921,618467.1142230849,635906.1795261867,652871.949577127,669324.6382905502,685228.057458448,700549.6377153901,715260.4180696952,729335.0068591395,742751.5171219235,755491.4794263876,767539.7351884993,778884.3134361634,789516.2938649157,799429.6588806377,808621.1371505813,817090.0409921884,824838.0997267533,831869.2909177322,838189.6712062444,843807.208252958,848731.6150991755,852974.1880728954,856547.6491896443,859465.9938341111,861744.3443578032,863398.810090382,864446.3541380663,864904.6672312497,864792.0487848554,864127.2952483495,862929.5957470846,861218.4349519765,859013.5030596488,856334.6127192785,853201.6227046424,849634.368099484,845652.5967405386,841275.9116446112,836523.7191333293,831415.1823609192,825969.1799459874,820271.5962491771,814443.0899469197,808618.6420001308,802935.03379411,797523.5967744612,792506.4099268346,787994.704248669,784015.4603903653,780546.485097079,777538.6018676062,774929.5282123163,772652.4035455821,770640.8891997702,768832.0855163609,767168.0716246302,765596.5880869313,764071.1971462074,762551.134880902,761000.9914413018,759390.3049423255,757693.1219107095,755887.556170449,753955.3646201835,751881.5498505363,749653.994233996,747263.126864065,744701.6227872921,741964.1328818684
IN2,913.4620336134293,1771.6943497169382,2455.4503009245173,3033.29802418987,3547.377991158044,4024.2961572637205,4481.4677481730805,4930.823640730672,5380.9847345286025,5838.544595736864,6308.831752853411,6796.367304051477,7305.143214091522,7838.794287237008,8400.706372691993,8994.085668542688,9622.003694924919,10287.426508387198,10993.233229465164,11742.22691094843,12537.139579363435,13380.632584842686,14275.292990157359,15223.62649910988,16228.047298163901,17290.865122314433,18414.269832564383,19600.31379332887,20850.892354452353,22167.722768204396,23552.32190225498,25005.98314181938,26529.75290505462,28124.40722288242,29790.42885547995,31527.985430768946,33336.90909371245,35216.678147842904,37166.40115138007,39184.803899227845,41270.21967926078,43420.583137345595,45633.428021712265,47905.88900526663,50234.70770626577,52629.863902394376,55108.72545986058,57692.577696598775,60404.61873765893,63268.84709447761,66309.48347686954,69550.70498259903,73016.55513191743,76730.94633862714,80717.70426589192,85000.62370011873,89603.51789650478,94550.25082962033,99864.74631403461,105570.97072079271,111692.88773319175,118230.65521102131,125166.19683628231,132470.87873425486,140109.92439139454,148044.97798653756,156235.6222229377,164640.3111313731,173216.97980832765,181923.47872446847,190717.91431351934,199558.93959581258,208406.01687462715,217219.6622982632,225961.67537766212,234595.3530921534,243085.68665247777,251399.53851770313,259505.79740020406,267375.5094504618,274981.98441537324,282300.87620392034,289310.23790933937,295990.5518913043,302324.7359963149,308298.1273818259,313898.4457092335,319115.73768680164,323942.30508293863,328372.6184015053,332403.21842335095,336032.60778149427,339261.1346604456,342090.8706017162,344525.4842654295,346570.1128491577,348231.23270577734,349516.5305375102,350434.7763777801,350995.699409649,351209.8675122513,351088.57127701165,350643.7130951162,349887.70178781386,348833.35313233116,347493.79652880534,345882.38795770356,344012.6292924883,341898.09395841596,339552.3588647897,336988.9424840909,334221.24890650087,331262.5176616477,328125.7790702354,324823.8148657759,321369.1238102242,317773.89201620617,314049.9676820607,310208.8399434677,306261.6215464166,302219.0350501543,298091.4022750478,293888.6367185655,289663.7608642995,285490.8618625419,281451.322372376,277625.5836570135,274088.5531902716,270907.36750164884,268140.63764388376,265791.28880526277,263830.8444874369,262214.6442301563,260891.23003046616,259807.9966812053,258914.46245723346,258164.03731081335,257514.85466227026,256930.0309362051,256377.58594924895,255830.1722928607,255264.70686098002,254661.96217171362,254006.15230801527,253284.53371585818,252487.03185806,251605.89894349923,250635.4044072974,249571.5577081642,248411.86181442154,247155.09513250942
D2,51082.0,51082.0,51083.41308402143,51086.00402411517,51089.63493461823,51094.22766232746,51099.741769526496,51106.16158796416,51113.48856451105,51121.736704475035,51130.92983654091,51141.09995557293,51152.286208462996,51164.53426769257,51177.89594164993,51192.42893150348,51208.19667984433,51225.26827698077,51243.71840285268,51263.62728961724,51285.080694123164,51308.16987195731,51332.99154622661,51359.64786515079,51388.24634313568,51418.89978042355,51451.72615676766,51486.848494909915,51524.39468998999,51564.49730140483,51607.293304083476,51652.92379665218,51701.53366454191,51753.27119673323,51808.287655537795,51866.73679957112,51928.774360867734,51994.55747791067,52064.24408717612,52137.99227661188,52215.9596052545,52298.30239392529,52385.17499260957,52476.72903069876,52573.112656745696,52674.469774736615,52780.96035510694,52892.77227882095,53010.12812140832,53133.28898342711,53262.55665538154,53398.27489321998,53540.830262265205,53690.65281066355,53848.216712434296,54014.04094612471,54188.69002988881,54372.774806296125,54566.95325343629,54771.931288706386,54988.46352552432,55217.35393961646,55459.41969119296,55715.46250687613,55986.25115489415,56272.51032791965,56574.91327542654,56894.07668700081,57230.556990931116,57584.84760989542,57957.37692851117,58348.50684542265,58758.53184562722,59187.67856023542,59636.105794455514,60103.905008296555,60591.10123300874,61097.65440239932,61623.46107349547,62168.356506497075,62732.117070076194,63314.46293508095,63915.06101767714,64533.528131900224,65169.43431142641,65822.30626100354,66491.63089929409,67176.85895675253,67877.40859446792,68592.66901253762,69322.00401939676,70064.75553651869,70820.24701594507,71587.78675113358,72366.67106456975,73156.18735843466,73955.6170173153,74764.23815446587,75581.32819545806,76406.16629518481,77238.03558610255,78076.22525730879,78920.03246556174,79768.76408066091,80621.73826873381,81478.28591792345,82337.75191175756,83199.49625611537,84062.89506620575,84927.34142034382,85792.24608757507,86657.03813635993,87521.16543160829,88384.09502735538,89245.31346230736,90104.326965367,90960.66157808628,91813.86320079092,92663.49756889041,93509.15016563094,94350.42607727555,95186.94979640888,96018.3649787698,96844.33415871578,97664.60575496496,98479.04884491187,99287.667486912,100090.60252070612,100888.12611748058,101680.63252740742,102468.6272316561,103252.64269204646,104033.18917714353,104810.72777901114,105585.65730722346,106358.30971076904,107128.95059996881,107897.78268548517,108664.95075710981,109430.54734519674,110194.61854234294,110957.16967722385,111718.17066866515,112477.56097360747,113235.25409551818,113991.14165168862,114745.0970163088,115496.97856615935,116246.63256039335,116993.89568725742,117738.59731004472
R2,0.0,4908.979275397661,9719.861520234579,14643.385298317933,19811.307307982785,25310.578236616086,31203.141141209937,37537.41774102089,44354.98332236694,51694.45443959547,59593.76097685491,68091.480871192,77227.63008653503,87044.13479619195,97585.11664629931,108897.06619815087,121028.94725285712,134032.25593724422,147961.04748939504,162871.93733010645,178824.07933303807,195879.1221055056,214101.14292395234,233556.55836357683,254314.01040725963,276444.22679186705,300019.85447886575,325115.26537868567,351806.3337880457,380170.1853983078,410284.9181863647,442229.2959942594,476082.4161261633,511923.35282718623,549830.7790425608,589882.5693721739,632155.3876181527,676724.2627565989,723662.1575339884,773039.5341813541,824923.9219446001,879379.4912394714,936466.639250369,996241.5917022957,1058756.025347169,1124129.0914077347,1192528.6061722413,1264159.5960796063,1339257.484029303,1418084.1889730343,1500926.042147289,1588092.8248442556,1679917.48624881,1776756.2589761445,1878988.9890602636,1987019.5584528868,2101276.3157661976,2222212.454041185,2350306.28845399,2486061.395692988,2630006.5825250437,2782569.56679006,2944084.5856204988,3114816.091301136,3294972.0531228455,3484711.4197625793,3684148.3577937554,3893354.7719673663,4112361.973268737,4341161.989536571,4579708.796346762,4827919.617922024,5085676.371893484,5352827.2864781795,5629188.691709921,5914546.970574076,6208660.647002637,6511262.583138704,6822062.256521254,7140748.087893291,7466989.791565833,7800440.722253013,8140740.194737661,8487515.755424654,8840385.387641909,9198959.635346984,9562843.632612439,9931639.028839001,10304945.802044298,10682363.954771655,11063495.089145185,11447943.859358948,11835319.301431347,12225236.041387836,12617315.38416582,13011186.286478475,13406486.217643496,13802861.912994133,14199970.024959063,14597477.677240245,14995062.927749315,15392415.146097444,15789235.3114848,16185236.236816093,16580142.72478982,16973691.661581084,17365632.05357056,17755725.012373727,18143743.693201996,18529473.191347465,18912710.401330985,19293263.842994,19670953.458552077,20045610.38436557,20417076.700923387,20785205.164281387,21149858.921949632,21510911.21598377,21868245.075806458,22221753.003065646,22571336.650628436,22916906.497612216,23258381.522169195,23595920.132022355,23929843.218312193,24260581.162901677,24588637.65021818,24914565.232900668,25238949.09455748,25562396.51317016,25885278.923621483,26207809.596443415,26530095.076151393,26852169.439763956,27174017.272472084,27495589.206500888,27816812.537030175,28137598.5621629,28457847.728844583,28777453.29762177,29096303.997698493,29414285.98547005,29731284.315706152,30047184.06602937,30361871.21004406,30675233.30442448,30987160.035246536,31297543.655427877,31606279.336085882,31913265.44846123,32218403.78881889
G2,2026399.0,2026399.0,2027187.9149192628,2028490.6304778364,2030151.6955831328,2032085.15500357,2034245.5389393913,2036611.0649188554,2039173.9023527869,2041934.5258566302,2044898.4366716386,2048074.255352642,2051472.6076721814,2055105.468247137,2058985.7669909152,2063127.1450449857,2067543.794180363,2072250.3411657372,2077261.7546108223,2082593.2611451389,2088260.2632879305,2094278.2546308178,2100662.7299343757,2107429.0889792414,2114592.533826821,2122167.959714639,2130169.8402386755,2138612.107815242,2147508.0306966426,2156870.08805068,2166709.844807621,2177037.82812813,2187863.407448247,2199194.6801085253,2211038.364570337,2223399.7031610454,2236282.3761711465,2249688.428952786,2263618.213444953,2278070.345282931,2293041.67734718,2308527.2902800245,2324520.500158733,2341012.8831724836,2358252.8275557114,2376426.09967351,2395681.428823725,2416146.6457579085,2437938.813299207,2461170.55026155,2485953.9471961535,2512402.955927349,2540634.8048065,2570770.7821974144,2602936.598757633,2637262.4566023606,2673882.902411009,2712936.51043856,2754565.4229001566,2798914.7646696186,2845681.5840980713,2894584.4139240333,2945420.139632352,2998027.648910933,3052267.375497455,3108009.9809433417,3165130.3077818435,3223504.376857312,3283008.1367050344,3343517.2094773026,3404907.1879154206,3467054.218434622,3529835.711646773,3593131.0849816366,3656822.480414927,3720795.423956771,3784939.4084256548,3849148.390568604,3913321.1998003013,3977361.8599149655,4041179.8277957262,4104690.1548534874,4167813.5779570956,4230476.547159777,4292611.197715968,4354155.273814017,4415052.0111958,4475249.985449539,4534702.932290161,4593369.545616411,4651213.258581948,4708202.012359527,4764308.016728436,4819507.50608726,4873780.493994884,4927110.528877807,4979484.453114678,5030892.16732086,5081326.401307037,5130782.492875592,5179258.175344955,5226753.374453501,5273270.015088179,5318811.838106472,5363384.227370668,5406994.046988183,5449649.488648153,5491359.9288602425,5532135.795834213,5571988.445686166,5610930.047617451,5648973.477683235,5686132.220748043,5722420.280213752,5757852.095100193,5792442.46405866,5826206.475903154,5859159.446252287,5891316.859885649,5922694.318431515,5953307.49301744,5983172.081531099,6013129.773362394,6043764.671893798,6075485.544694898,6108583.193871577,6143270.317451233,6179709.097849604,6218030.223170618,6257448.170983682,6297441.602547354,6337662.433069144,6377876.545501986,6417925.069333129,6457699.045554541,6497122.817787123,6536143.119874788,6574721.88743455,6612831.507423058,6650451.666301411,6687567.248161484,6724166.923775175,6760242.195301346,6795786.7422832865,6830795.967506889,6865266.675971626,6899196.842975731,6932585.442257655,6965432.314960878,6997738.066658835,7029503.983943116
