series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01
betas,14.173064542767037,14.17306454276706,14.156609448881177,14.143361634232196,14.13183696865307,14.121183741363675,14.110910981295268,14.100734083354157,14.090486688874128,14.08007025177332,14.069425129363385,14.0585139970854,14.047312329459645,14.035802936169326,14.023972826610693,14.011811412008415,13.999309476166893,13.986458588106757,13.97325076888695,13.959678304773924,13.945733644794768,13.931409347066817,13.916698053439603,13.901592480685544,13.886085421476109,13.870169751251396,13.853838438741906,13.83708455884697,13.819901307118247,13.80228201540633,13.784220168405637,13.765709420932597,13.746743615827256,13.727316802398938,13.707423255351186,13.687057494128055,13.666214302625947,13.644888749213,13.62307620699658,13.600772374274563,13.577973295102634,13.554675379904982,13.530875426051718,13.52742299306307,13.522797172932568,13.517060547416476,13.510226006140256,13.5022738005962,13.493161461097225,13.482829379927914,13.471203768439306,13.458198019342118,13.443713091896386,13.427637287375818,13.409845632344382,13.390198998893732,13.368543040071112,13.344706990714474,13.318502370087783,13.289721617951873,13.258136697087117,13.22349770119594,13.185531516730041,13.143940600116514,13.098401947907773,13.048566356388314,12.994058088850077,12.93447509253662,12.869389932165339,12.798351631375125,12.720888635044574,12.63651312087957,12.544726893633964,12.445029084428873,12.336925844666663,12.219942162433126,12.093635832972835,11.957613479495935,11.811548345345358,11.655199367908107,11.488430810312229,11.311231489171965,11.123732424275556,10.926221584720222,10.719154353595966,10.503158413744028,10.2790319918854,10.047734788771093,9.810371444405314,9.568167988796308,9.322442338051275,9.074570431382735,8.825949990919808,8.577964068392438,8.331946498374567,8.089151120762056,7.850726211595242,7.6176950385202575,7.3909429093298336,7.171210576411802,6.959093446720397,6.7550457542181945,6.55938868606262,6.372321404059896,6.193933946638206,6.024221106300983,5.863096525888487,5.710406420395504,5.565942491483748,5.429453747019037,5.300657061123632,5.179246408793374,5.064900783557205,4.957290859326401,4.856084491845827,4.760951174673626,4.671565572890113,4.587610257882559,4.508777761168601,4.434772056373213,4.365309567733251,4.300119792012871,4.238945609264341,4.181543346978265,4.1276826521433065,4.077146216734957,4.02972939422729,3.985239737852037,3.9434964854534176,3.904330010817795,3.8675812571964463,3.8331011652871085,3.800750105098832,3.770397318805419,3.741920379814223,3.715204671767788,3.6901428899932958,3.666634566965615,3.6445856226081514,3.6239079396834724,3.6045189640905746,3.586341329561052,3.5693025060101813,3.5533344706329912,3.5383734007249172,3.5243593871394454,3.5112361672616967,3.4989508763689883,3.4874538162610365,3.476698240068234,3.466640152182661
S2,67033.48959084293,67021.84680145123,67012.45363455234,67004.26791690884,66996.68927890876,66989.37046539212,66982.10943361676,66974.78750600076,66967.33387184153,66959.70519570148,66951.87389782678,66943.82141664294,66935.53433489903,66927.00215240818,66918.21600586962,66909.16793359931,66899.8504538995,66890.25632405451,66880.37840344342,66870.2095767577,66859.74271200525,66848.97063873679,66837.8861381182,66826.48194003299,66814.7507244478,66802.68512545343,66790.27773707107,66777.52112030493,66764.40781114511,66750.93032935397,66737.0811879419,66722.85290328006,66708.23800582052,66693.22905140668,66677.81863316266,66661.99939395297,66645.7640394038,66629.10535147645,66612.01620258085,66594.48957021534,66576.51855211532,66558.09638189069,68811.03756248957,71062.82318685635,73313.41201460168,75562.72493563288,77810.65372829822,80057.06580306585,82301.80630429694,84544.69844565913,86785.54262513603,89024.11464946788,91260.16325730391,93493.40703936643,95723.53079505857,97950.18132669099,100172.96264744132,102391.4305626434,104605.08657324572,106813.37104375727,109015.65557406422,111211.23451513144,113399.31557326394,115579.00945715354,117749.31853758785,119909.12451297679,122057.17510655419,124192.06986525058,126312.24518792157,128415.95878390066,130501.27385344535,132566.0433905821,134607.8951359642,136624.21785066923,138612.14973690058,140568.56999058358,142490.09462221133,144373.07781002368,146213.6201334894,148007.58505150388,149750.62491356238,151438.2175997129,153065.71455816837,154628.40054026365,156121.56472837605,157540.5822398367,158881.00421547992,160138.6539304489,161309.7256747652,162390.8826223249,163379.3496105872,164272.99673930262,165070.40998464843,165770.9455994289,166374.76588121717,166882.85486274867,167297.01352187054,167619.83512943747,167854.66227055652,168005.52782467924,168077.08273452523,168074.5137187057,168003.45419602134,167869.89161526193,167680.0741581771,167440.4194452774,167157.42746450534,166837.59949833987,166487.36437663148,166113.01295474058,165720.64132686265,165316.10294393843,164904.96952000822,164492.50038164895,164083.6197403104,163682.90124272197,163294.55907441454,162922.44484938442,162570.049508421,162240.50946321082,173277.71350107464,184078.44141967339,194652.89284769254,205000.06163330906,215110.38992077258,224967.90307628846,234551.82128449535,232496.64494750986,230429.7846533007,228324.2827940555,226172.67799314973,223977.66886547313,221747.20205577882,219491.82345466266,217223.2104808111,214953.33312325663,212693.95812780867,210456.3469386038,208251.06820973297,206087.88208405726,203975.67236787765,201922.4126256875,199935.15743392293,198020.05282935523,196182.3615433415,194426.4995376313,192756.08096429234,191173.96911984618,189682.33132936477,188282.6960160175,184704.1893831601
E2,0.0,11.64278939169534,18.70678234766838,23.150153674128696,26.09753597608162,28.195461376912245,29.815908947035854,31.173077099678643,32.390446352070725,33.539319319126236,34.660978636150155,35.779430047620295,36.90873255532156,38.057215552698935,39.229905227687155,40.42992064791011,41.6592769161731,42.91934702602064,44.21112720486516,45.5353890695349,46.89276655622949,48.28380523754793,49.7089899275449,51.16875973420747,52.6635158374769,54.19362503602802,55.75942081890379,57.36120297673731,58.99923634025102,60.673748987763055,62.384930121829306,64.13292773371552,65.91784612766722,67.73974335025335,69.59862855494198,71.49445932364193,73.42713896239543,75.39651378610091,77.40237040614119,79.44443303453616,81.52236081841276,83.63574521899497,85.78410744985004,88.65823978855545,92.15419019961142,96.22667225845565,100.86857078078218,106.09856187571147,111.95385154934183,118.48613333134819,125.75957499417632,133.85009860383562,142.84550588679556,152.84618150521345,163.96621919627964,176.3348850050761,190.09837406071225,205.42184257454636,222.49171116197758,241.51824289054667,262.73840171134583,286.4189951678329,312.86009983682106,342.3987587147998,375.4129262688896,412.32561845147245,453.6092008171578,499.7897171182443,551.4511225965244,609.2392400682099,673.8652026893078,746.1080855869002,826.8163610120006,916.9077414451513,1017.366907185341,1129.2405566466064,1253.6291786075826,1391.6749381133275,1544.54510553469,1713.410555976931,1899.419036968935,2103.663155249342,2327.1433702301074,2570.726693380755,2835.102256957556,3120.73539534706,3427.8223279326803,3756.2478855296044,4105.54892400564,4474.88606868725,4863.026200686933,5268.337627852533,5688.79920637458,6122.023851524969,6565.295977062173,7015.621522522709,7469.788452851319,7924.435016957285,8376.122677598845,8821.410492584248,9256.927826965459,9679.442575245628,10085.922523860963,10473.588032417269,10839.95480272085,11182.866088909495,11500.514240983191,11791.451940055164,12054.593860227666,12289.209772701295,12494.910294240657,12671.626582115965,12819.585302686562,12939.280164509462,13031.441223433494,13097.003050227928,13137.072713255131,13152.898380160237,13145.839192220963,13117.336919644984,13068.889770668382,13266.610734276384,13651.053533568884,14185.870073064516,14850.535503622465,15635.047810022737,16536.211090900935,17555.091332801243,18381.825570689023,19081.810780360196,19687.864850859172,20216.08036538697,20674.082509120854,21065.371780882157,21391.616866412518,21653.860055662648,21853.13836866465,21990.78666824433,22068.565564075263,22088.691961965622,22053.81560581702,21966.966392350267,21831.48706667581,21650.9601876694,21429.134918278927,21169.857160087708,20877.005240542712,20554.432471930682,20205.91727163702,19835.12107554208,19445.55394106209
I2,9.876548737979782,7.605360179507493,6.3673965255974005,5.724117777788925,5.423764727383436,5.3218270031254775,5.335398779565759,5.41696348707537,5.539331524344531,5.686984731031161,5.851102605770722,6.026704691321478,6.211009324858788,6.4024914922196645,6.600342406135503,6.804159842091363,7.013770951493321,7.229131067053161,7.4502660473358935,7.677239524292278,7.910134359869298,8.149042181765289,8.394057489812615,8.645274329099928,8.902784388718429,9.166675879057093,9.437032822924087,9.713934556709297,9.997455329196749,10.28766393727182,10.584623366736244,10.888390422536206,11.199015341526955,11.516541385636954,11.841004415773,12.172432448052689,12.510845194539641,12.8562535909108,13.208659313579458,13.56805428882626,13.934420196501176,14.307727970875394,14.687937301252301,15.074996134993413,15.49918003189992,15.979240484585832,16.5276295259219,17.15362349561516,17.86518517459958,18.67007903852944,19.576552649265942,20.593773001656693,21.73213093380393,23.00348103761052,24.421357263506348,26.00118836619435,27.76052802143284,29.71930912237781,31.900128773419155,34.328568829508015,37.03355586346824,40.047763799235206,43.40806187526873,47.15600992190984,51.338402006884046,56.00785819516513,61.22346235382855,67.0514414741595,73.56587874021464,80.8494484011483,88.99415526804593,98.10205524462911,108.28592565635749,119.66984529203741,132.3896341750272,146.5930924801666,162.43996729058102,180.1015659215252,199.7599265322749,221.60645224112153,245.83991577575176,272.6637498135567,302.28255551884115,334.89778992500953,370.7026325455998,409.8760825670126,452.5763982822081,498.9340564201675,549.0444753427712,602.9608059935971,660.687140617764,722.1725145958404,787.3060756778564,855.9137643939026,927.7567896062864,1002.5320976606346,1079.8749291159493,1159.3634425807059,1240.5252708109995,1322.8457697349227,1405.7776347932304,1488.7514969264391,1571.187075886609,1652.5044616714204,1732.1351136385797,1809.5322072217868,1884.18001489158,1955.6020753366934,2023.367977141781,2087.098655438083,2146.470167920025,2201.2159771044835,2251.127816672875,2296.055260079391,2335.9041390823586,2370.63397889064,2400.2546261439834,2424.8222472245398,2444.4348688625014,2459.227622139967,2469.367836256359,2475.050111124137,2488.1027514991906,2515.025233139759,2559.227279297335,2622.4337814199225,2705.534037190238,2809.0725902647814,2933.515543450544,3065.6233791752716,3198.0710764816927,3326.658283153783,3448.856778583033,3563.0543597074266,3668.1631825167015,3763.4187919346123,3848.2782664574197,3922.3690435281587,3985.4628151102156,4037.4610392858804,4078.385124239894,4108.367840047965,4127.644393280452,4136.542600393113,4135.472115674332,4124.912923477891,4105.403410688302,4077.5283596279237,4041.907181269795,3999.182665325354,3950.0104703520424
A2,35.146073828504434,28.76651884613742,25.36317794484636,23.680762716106074,22.997642417629606,22.89880459133088,23.145535311014584,23.600541988438763,24.184903609698342,24.853308198124303,25.579803757895387,26.34959599075728,27.15432491125263,27.98934356077743,28.852149256757382,29.74147851980025,30.656784308804063,31.597933572821532,32.56503182879978,33.558321019165554,34.57811967160082,35.624787496384606,36.69870411158529,37.80025594097404,38.92982784087822,40.08779746156513,41.27453118601364,42.490380973216006,43.735681713754666,45.01074886837712,46.31587625527649,47.651333907415165,49.01736595404347,50.41418850012664,51.841987489235315,53.30091654278652,54.79109477320741,56.31260457171839,57.865489373629394,59.44975140568491,61.0653494212966,62.71219643059683,64.39015743320564,66.09904716247264,67.94659334595144,70.0047355266522,72.32528283813026,74.94952909518689,77.91418925070519,81.2551242991375,85.00975876479163,89.21874496945972,93.927212777047,99.1858120685029,105.05167582025621,111.58938423551447,118.87198238039785,126.98208745490062,136.01311240934504,146.07062715977284,157.27387532928873,169.7574620717802,183.6732263188384,199.19230812782484,216.50741818626065,235.83531145523455,257.4194599061291,281.5329097792633,308.4812961923052,338.60597165369757,372.28718451485065,409.947218132565,452.05337120052917,499.12062435235487,551.7137982331742,610.4489649709623,675.9938304607721,749.066762350517,830.4341026328176,920.9053801990476,1021.3260346931811,1132.5672863779341,1255.5128453501188,1391.042254016969,1540.0108033525282,1703.226155939051,1881.4220412813493,2075.229648760144,2285.147611445221,2511.5117247032144,2754.4657487375316,3013.9347758499816,3289.6026778143596,3580.895071399332,3886.969047527303,4206.7106115712,4538.74040091848,4881.427812790458,5232.913227418589,5591.137586655491,5953.878219544376,6318.789520282637,6683.44689660481,7045.392323686496,7402.179856413227,7751.419559606421,8090.818494413675,8418.217629437751,8731.623806507912,9029.236163701404,9309.466685263988,9570.954795774884,9812.57613425342,10033.44582653388,10232.916718047945,10410.573133834934,10566.220800021769,10699.873594641065,10811.737799981809,10902.194508731303,10971.780797150044,11021.170225436032,11092.472316473304,11210.869482837807,11391.296745972264,11642.772874128423,11971.117599273344,12380.595185962286,12874.862341452314,13408.521471581913,13954.628234503198,14496.25419303207,15022.056822614904,15523.943248804999,15995.836243271004,16433.022283074893,16831.806194369005,17189.32548332444,17503.445705244212,17772.69480026558,17996.21411895461,18173.714674125655,18305.433105898628,18392.085129007624,18434.816024500393,18435.14868497729,18394.93017970453,18316.27797541372,18201.5269484302,18053.17822531918,17873.85073718086
IH2,0.0,0.4024921216519555,0.5087000242013247,0.5106991666142864,0.4854713185816294,0.46077288455444915,0.44442177465853927,0.43690013092544777,0.4365096415000408,0.4413035842793378,0.44968820198870474,0.46051698822814174,0.47302079468443725,0.486706431027315,0.5012681955362962,0.5165221625331268,0.5323611117909168,0.5487250503973122,0.5655825315509095,0.5829190795656108,0.6007301390121422,0.6190168370824756,0.6377834644615676,0.6570359911190885,0.6767811977798058,0.6970261695341433,0.7177780000133325,0.7390436164127725,0.7608296727539383,0.7831424808242211,0.8059879612269432,0.8293716045706006,0.8532984372337562,0.877772988677865,0.9027992587257554,0.9283806840383002,0.9545201034749269,0.9812197222713799,1.0084810751008568,1.0363049881540123,1.0646915404087518,1.093640024278674,1.1231489058385182,1.1532157848309088,1.1838373546635073,1.216245781262583,1.2518137159070168,1.2917264687393928,1.3369474177690843,1.3882768129488654,1.4464262647445019,1.5120832973548985,1.5859610093879,1.6688350033827548,1.7615713997509763,1.8651494573866743,1.9806815243910898,2.1094322681967714,2.252838535207985,2.412530772310915,2.590356668248079,2.7884074980171416,3.0090475408484494,3.2549468633275698,3.529117692491238,3.8349545328856545,4.176278093289682,4.557382971217407,4.983088885061635,5.458795033426869,5.9905368873267,6.5850443722703265,7.249799963809361,7.993094694517433,8.824079450142024,9.752808223049819,10.790269208640016,11.948398807056343,13.240072779756245,14.67906808285225,16.279988356177864,18.058145812201097,20.029392483943134,22.209894604402127,24.615845438452837,27.263114272204554,30.16683251920781,33.34092196766158,36.79757488955758,40.546700754692324,44.59535921409278,48.947203327952266,53.60196017387393,58.554977489004706,63.796864505841285,69.31325246017673,75.08469544090377,81.08672561897356,87.29006895327916,93.66101888954279,100.16195707207729,106.75200237671125,113.38776323584594,120.02416368488656,126.61531103603238,133.1153726038716,139.47943031432033,145.66428503487035,151.62918669273125,157.33647128208648,162.75209129030094,167.8460315214996,172.59260745148174,176.97064787079188,180.96356749976815,184.5593383997899,187.75037133150073,190.5333197479597,192.90881992187678,194.8811808811538,196.45803747088226,197.6499790833895,198.47016550963906,199.4071261717316,200.9669818515032,203.53862599753063,207.3844005020759,212.6700994950421,219.49978907136136,227.94385531253184,237.49751636789478,247.61298259352412,257.8485631108899,267.8831053765382,277.49231253404616,286.52108714415533,294.86168359836284,302.43876820939295,309.1999559003033,315.11007308954805,320.14773407600705,324.3032503181254,327.5772479766225,329.97962148038,331.528616305308,332.2499370339001,332.1758379171782,331.34418768924115,329.79751842470813,327.5820763090213,324.7468944172251
IN2,1.8686964368203327,3.6460844515769084,4.9069044064349425,5.871888638761741,6.668009902100186,7.36840259141703,8.015285458153347,8.633128126566918,9.236214191861475,9.832984903242718,10.42853293293518,11.026033227969101,11.627563271366528,12.234572730327002,12.848151897346824,13.469184764021797,14.098436025213163,14.736600307300723,15.3843298444719,16.042249893965902,16.710967201152794,17.39107454248149,18.083153066558065,18.78777340572979,19.505496103891616,20.236871663661606,20.982440378829494,21.742732040868475,22.518265565404715,23.30954856103146,24.11707685026565,24.94133394595184,25.782790483287265,26.641903606332352,27.51911630752204,28.41485671883052,29.329537353607936,30.263554298567136,31.21728635588376,32.191094135852175,33.18531910100106,34.20028256301326,35.23628463421668,36.29360313582046,37.37249246546682,38.478922890050804,39.622120840538436,40.813217917116894,42.064556940314084,43.389384235811725,44.801767966859664,46.3166493800939,47.949974106547224,49.718874643086515,51.64188930979762,53.7392113022341,56.03296633795172,58.54752027599157,61.309819819674104,64.34977049431618,67.70065680393951,71.39960996600439,75.48812897203098,80.01266094520764,85.02524684966555,90.58423850971494,96.75509255818635,103.61124626692065,111.23507911376356,119.71896228181126,129.1663959197429,139.69323075003186,151.4289663151268,164.5181126184969,179.12159498005272,195.4181734544791,213.6058380981904,233.90312977082732,256.5503232384062,281.81039554285417,309.969688622151,341.33816202252257,376.2491205803192,415.05829480628506,458.1421502335638,505.8953081095463,558.7269752750573,617.0563071924972,681.3066654131969,751.8987788264399,829.2428750727055,913.7299114856075,1005.7220996229129,1105.54297878177,1213.4673464585082,1329.7113923934853,1454.4234034530946,1587.6754064378624,1729.456094095242,1879.665337231467,2038.1105257331415,2204.504907837839,2378.468015369486,2559.528178462763,2747.1270519211475,2940.626001499549,3139.3141357944232,3342.4177206074346,3549.110678956888,3758.5258615451216,3969.7667686822074,4181.91941389467,4394.06403966923,4605.286424657378,4814.688556764593,5021.398485507645,5224.579207680914,5423.436480846081,5617.225497897251,5805.2563917513025,5986.898571207353,6161.583916660929,6328.808887377311,6490.332525907931,6649.057660265419,6808.39041828554,6971.896856054285,7143.137044619024,7325.600133103729,7522.69297266974,7735.150960266388,7962.287626226485,8202.655313872512,8454.398749051894,8715.448272654547,8983.629527479441,9256.729760937942,9532.541616482906,9808.895102780885,10083.683061704942,10354.882650624084,10620.573917779639,10878.955845093773,11128.359918359522,11367.2611751153,11594.286674566481,11808.221376317066,12008.011475100137,12192.7653007595,12361.751947916555,12514.39784405027
D2,391.0,391.0,391.00722573845445,391.0163581739207,391.0255264989844,391.0342419211915,391.0425139448451,391.05049242525354,391.05833587337827,391.0661723112429,391.0740948123491,391.0821678382764,391.0904352679521,391.098927172171,391.10766476773006,391.1166637833173,391.1259366456955,391.1354938567568,391.1453448413706,391.15549845985794,391.1659633126649,391.1767479184565,391.18786081613337,391.1993106216249,391.2111060580362,391.2232559702034,391.23576933015767,391.2486552372785,391.26192291530595,391.27558170743623,391.28964107017805,391.3041105663296,391.3189998572593,391.3343186945716,391.350076911186,391.36628441182893,391.38295116292335,391.4000871818569,391.4177025256068,391.43580727870125,391.4544115405008,391.47352541178384,391.49315898062576,391.5133223075642,391.5340254100462,391.5552782461572,391.5771128944372,391.5995860759438,391.62277579101084,391.6467773350126,391.6717003698079,391.6976673324402,391.72481300272864,391.75328496239285,391.78324471715433,391.81486932175835,391.8483534110922,391.88391158946877,391.9217811651386,391.9622252413326,392.0055361918738,392.05203956121113,392.10209843740097,392.1561183532145,392.2145527757842,392.2779092492385,392.3467562575369,392.4217308759006,392.5035472782981,392.59300616467596,392.6910051640756,392.79855025731126,392.91676824416237,393.04692025352523,393.19041625903054,393.3488305155544,393.523917772237,393.7176300437592,393.93213363298514,394.16982599484317,394.43335191501956,394.7256183509955,395.04980715269465,395.40938475361,395.80810781147795,396.25002369356764,396.7394646604537,397.28103461936126,397.8795874083712,398.5401957472861,399.2681102556315,400.06870829129423,400.947432793712,401.9097218026839,402.9609298382761,404.1062428328327,405.350588763507,406.6985465047988,408.15425567258956,409.7213303406366,411.40277946589543,413.20093666191826,415.11740162401355,417.15299506051906,419.30772845367045,421.58078939738056,423.9705426744323,426.4745466760352,429.0895842611184,431.81170672306683,434.63628919232843,437.55809556149535,440.5713508754572,443.6698190777697,446.84688403592236,450.0956318702274,453.4089327694698,456.7795206766405,460.20006945585783,463.6632643939237,467.1618681354491,470.6887803895754,474.23709097147434,477.80012594742016,481.37998170648746,484.9878407693772,488.64186726511235,492.3649350146506,496.18289425750675,500.1234634794134,504.21562477199336,508.4792981324007,512.924569366057,517.5535948243788,522.3627653688314,527.3444451723225,532.4882140215053,537.7817174003605,543.2112483651025,548.7621595290285,554.419172051832,560.1666231664793,565.9886761724274,571.8695056102812,577.7934636503467,583.7452300147747,589.7099458871464,595.6733314953755,601.6217869056965,607.5424757412701,613.4233918597449
R2,0.0,6.470863404430772,12.067088306690263,17.15901279007177,21.99368009671106,26.730934085575104,31.47241201419578,36.28230058752408,41.201296811846234,46.25564109770159,51.462811072356274,56.83504441911177,62.38148882176062,68.10950049882507,74.02542222542354,80.13504652724791,86.44388998755369,92.95735491136155,99.68082410440772,106.61971604214128,113.77951660044174,121.16579689570533,128.784222851907,136.64055979047254,144.74067397162258,153.0905322127366,161.6962002382995,170.56384014005977,179.69970716443177,189.1101459495319,198.80158627879467,208.78053838564117,219.05358782468647,229.62738991394366,240.50866374617632,251.7041857640847,263.22078289227903,275.0653252183513,287.24471821542545,299.7658944991216,312.6358051127805,325.86141033598284,339.4496700128137,353.4075333979381,367.7419285203506,382.47934847076635,397.66023775802967,413.3355660189475,429.5649209535827,446.41562802350296,463.96255995088546,482.2884174049846,501.48434579863476,521.6508095933791,542.8986827758297,565.3505385231473,589.1421370861516,614.4241216957141,641.3639398752753,670.1480132018447,700.9841830756753,734.104463873695,769.7681381852038,808.2652317116763,849.9204077848207,895.0973231432881,944.2034873346205,997.6956674997989,1056.0858778695028,1119.9479884547661,1189.924979430838,1266.7368557548593,1351.1892196856274,1444.1824760776296,1546.7216155807223,1659.9264832508022,1785.042393837006,1923.4508998167726,2076.6804543682783,2246.4166400282174,2434.5115570372955,2642.991886952591,2874.065072168787,3130.1229872636372,3413.7424316602346,3727.6817539714643,4074.87293566685,4458.408523520512,4881.522912550022,5347.567646143759,5859.980615370401,6422.249297197571,7037.868458158815,7710.293047805108,8442.887293771257,9238.871265158245,10101.266372295304,11032.84140174267,12036.060734325296,13113.03635667696,14265.485156054245,15494.692793477898,16801.485196272846,18186.208415991747,19648.717281237557,21188.37295644339,22804.049214743456,24494.146960193717,26256.616302623093,28088.985304272177,29988.394384312785,31951.635285214645,33975.19347086997,36055.29283547072,38187.94164803501,40368.97873311747,42594.11898631443,44858.99743661193,47159.21118989274,49490.35871326168,51848.07604340693,54228.06962008111,56626.1455549875,59045.73530905654,61495.16579730163,63985.86380523264,66531.24945781821,69146.1015751938,71846.22790289664,74648.32122894839,77561.03480654403,80587.92056630686,83729.15668521926,86982.57612171741,90344.29540881986,93809.11733602504,97370.80715125334,101022.29864867864,104755.86140062418,108563.24593929641,112435.81546291432,116364.66803044094,120340.75070225706,124354.96579676328,128398.26884913385,132461.75767557177,136536.75198537295,140614.8631369801,144688.0538386528,148748.68781063464,152789.56963072327
G2,33351.0,33351.0,33351.510947578245,33352.331900772166,33353.34785275393,33354.49315156132,33355.73051850349,33357.03899931141,33358.407039882666,33359.82850509731,33361.300388973716,33362.82149723204,33364.391689092314,33366.011440758404,33367.6815939723,33369.40321105189,33371.17749119633,33373.00572203823,33374.88925146446,33376.82947108166,33378.82780635912,33380.88571058662,33383.004660996565,33385.1861560976,33387.43171366876,33389.742869094975,33392.12117385827,33394.568194075946,33397.08550902171,33399.67470959144,33402.33739669032,33405.075179526735,33407.88967380373,33410.78249980176,33413.75528034869,33416.80963867407,33419.947196145935,33423.16956988885,33426.478370282886,33429.87519834348,33433.36164298301,33436.93927815543,33440.60965988583,33444.37432318761,33448.265118716685,33452.309335160295,33456.53227379628,33460.95892365031,33465.61509335515,33470.52822434117,33475.72802662603,33481.24702625081,33487.121081121026,33493.389902349365,33500.09760646187,33507.29331702516,33515.03183048804,33523.37435911984,33532.38936312365,33542.153483831564,33552.7525900384,33564.282949778615,33576.85254002201,33590.58250669601,33605.60878696897,33622.083904663275,33640.17894779319,33660.08573428814,33682.01916767777,33706.21977855637,33732.95643966143,33762.529232038985,33795.27242669901,33831.55753013066,33871.79632293212,33916.44379871498,33966.00088578929,34021.01680777109,34082.09091255885,34149.8737740888,34225.0673505299,34308.42396932262,34400.74390730757,34502.87134681026,34615.68851923492,34740.107898777795,34877.06238098517,35027.49347255443,35192.33762594605,35372.51096839045,35568.89279088902,35782.30826862192,36013.51096943146,36263.16576261014,36531.83275946507,36819.95289692283,37127.835716598136,37455.6497989084,37803.41619273708,38171.00504564859,38558.135498346324,38964.378770128766,39389.164238299265,39831.78821048818,40291.425008908096,40767.13993154185,41257.90362688253,41762.60741411829,42280.07909637983,42809.09884691976,43348.414792663665,43896.75797232789,44452.856403443315,45015.44805086731,45583.292546016964,46155.181559046425,46729.94777405033,47306.47245917646,47883.69165881344,48460.60106370445,49036.25963714459,49609.79209178196,50192.001594858884,50791.08249452841,51413.6339910168,52065.35454490715,52751.50367510953,53477.20064736895,54247.611508594666,55054.303869252166,55891.715307241975,56755.723624140075,57642.91284974127,58550.201647558184,59474.66230162644,60413.44032679516,61363.726979145045,62322.75902471637,63287.83181043623,64256.31794815674,65225.68733935843,66193.52617039,67157.55359559774,68115.6354667783,69065.79485748337,70006.21937449322,70935.26540322306,71851.45953074253,72753.4974479773,73640.24066292208,74510.71136686951
