series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01
betas,1.1104454420676022,1.1104454420676002,1.0980598135306592,1.0868590663328723,1.0765441072306523,1.066910397513156,1.0578163314214744,1.0491626762197033,1.040878986339189,1.0329145175177936,1.025232095532353,1.0178039502614524,1.010608869829916,1.0036302479529944,0.9968547390295924,0.9902713285633578,0.983870688405913,0.9776447278925544,0.9715862800481547,0.9656888811416071,0.9599466148993836,0.954354001608927,0.9489059184640133,0.9435975417139739,0.9384243040792187,0.9333818628971408,0.9284660758459963,0.9236729820517784,0.9189987870467057,0.9144398505084231,0.9099926760289492,0.9056539023850959,0.9014202959371914,0.8972887438912187,0.893256248235268,0.8893199202141429,0.8854769752433409,0.8817247281897658,0.8780605889651519,0.8744820583913242,0.8709867243058147,0.8675722578830872,0.8642364101515535,0.8609770086900896,0.8577919544904374,0.8546792189738384,0.8516368411517548,0.8486629249217341,0.8457556364903884,0.8429132019161829,0.9243098061035299,0.9655940072757759,0.9898948188987217,1.005427528792017,1.0158235294879847,1.022916029170534,1.0277133821846705,1.0308010981874678,1.032528401199821,1.0331023670932111,1.0326383588069223,1.031188167466912,1.0287560828951627,1.0253081351618443,1.0155454313351677,1.0048022527614977,0.9929286050585003,0.9798162658759876,0.9653881099797003,0.9495944318015151,0.9324129905538339,0.9138506578682113,0.893945311787618,0.8727670548129782,0.8504181286358699,0.8270311512972527,0.8027655528849166,0.7778023345542211,0.7523375006564648,0.7265746843664936,0.7007175772456109,0.6749627709952637,0.6494935322996418,0.6244748826059529,0.6000501766959397,0.5763392000166463,0.5534376608265403,0.5314178539204147,0.5103302212318931,0.49020552532339756,0.47105737394823294,0.45288487536698385,0.43567525398252527,0.41940630579178206,0.4040486177675899,0.38956751184750166,0.3759247019754666,0.363079672164296,0.35099079605813716,0.33961622545915454,0.32891457819186676,0.3188454557772065,0.30936981969601224,0.3004502523100592,0.2920511253294365,0.2841386954398109,0.27668114356549145,0.26964857137710174,0.26301296611904773,0.2567481426487236,0.2508296697349791,0.24523478613009048,0.23994231067209498,0.23493254965532234,0.23018720388985764,0.22568927722196797,0.2214229877774713,0.2173736827928778,0.2135277575931017,0.20987257904138604,0.2063964136118074,0.20308836010504053,0.19993828693405344,0.1969367738400808,0.1940750578542279,0.1913449832913204,0.18873895554617545,0.1862498984551734,0.18387121498544046,0.18159675101820735,0.17942076200054533,0.17733788224956565,0.17534309670448844,0.1734317149340788,0.17159934721936798,0.16984188254397006,0.16815546833643505,0.16653649182077288,0.16498156284243679,0.16348749804759136,0.16205130630338435,0.16067017525616983,0.15934145893320836,0.15806266630130583,0.15683145070317553,0.15564560009905057,0.15450302804726307,0.15340176536318426,0.15233995240111745,0.1513158319084901,0.15032774240603597
S2,1482301.868959572,1481234.6535041754,1480248.589639535,1479322.3577516256,1478441.1241282742,1477594.5262617567,1476775.3001886613,1475978.337412301,1475200.033035132,1474437.8331789253,1473689.9197318223,1472954.990208172,1472232.1037337855,1471520.5731359478,1470819.8892506117,1470129.6677819183,1469449.6119709604,1468779.4863598386,1468119.0983503012,1467468.2852427303,1466826.9051310546,1466194.8305122384,1465571.9438077156,1464958.134231888,1464353.2956098458,1463757.3248639323,1463170.1209714394,1462591.58425394,1462021.615899793,1461460.1176502982,1460906.9916003912,1460362.1400791998,1459825.465585956,1459296.8707639717,1458776.258400473,1458263.5314436913,1457758.5930311608,1457261.3465249785,1456771.695551059,1456289.5440403207,1455814.796270384,1455347.356906811,1454887.1310432383,1454434.0242399808,1453987.9425608416,1453548.7926079736,1453116.481554722,1452690.9171764206,1452272.0078791622,2337879.85267411,3223180.9995604614,4108178.279782247,4992871.307199751,5877249.942379897,6761291.242062853,7644957.699891114,8528195.77118927,9410934.089015916,10293080.989343973,11174521.075024068,12055110.596231887,12934671.430224441,13812983.421647318,13803800.492220556,13793437.853981383,13781723.912883433,13768458.06518896,13753444.572561521,13736487.117350612,13717387.238358956,13695945.178354675,13671962.313943272,13645244.654013218,13615607.035303826,13582877.69766467,13546902.93738886,13507551.54501072,13464718.751981948,13418329.447191525,13368340.480429525,13314741.940957405,13257557.377096195,13196842.99774522,13132685.960590273,13065201.898651704,12994531.864253901,12920838.878076758,12844304.263613382,12765123.928330045,12683504.726630045,12599661.010455659,12513811.444261244,12426176.134402433,12336974.100026054,12246421.0938677,12154727.766972981,12062098.160906307,11968728.503960343,11874806.283622812,11780509.565497316,11686006.528468797,11591455.186687334,11497003.270534903,11402788.240837187,11308937.412956124,11215568.169878582,11122788.245880973,11030696.064716429,10939381.118487418,10848924.37540218,10759398.706453597,10670869.322701698,10583394.216290986,10497024.59960136,10411805.338030128,10327775.37284716,10244968.131371146,10163411.922397373,10083130.315381033,10004142.502358343,10422414.727700701,10835867.812998237,11244614.821154226,11648705.289196309,12048136.918155186,12442865.376770033,12832812.355118187,12721921.003843864,12612864.513447734,12505363.890225952,12399259.783481294,12294468.575653026,12190954.05304558,12088709.077082094,11987743.716785647,11888077.576683242,11789734.859319957,11692741.215309335,11597121.764112147,11502899.882281322,11410096.494641783,11318729.694365893,11228814.577143015,11140363.213546729,11053384.709332947,10967885.320336292,10883868.59985265,10801335.56385188,10720284.864332803,10640712.9644522,10562614.311283516
E2,0.0,1067.2154553965493,1803.9243643897016,2308.669215544738,2650.482137166904,2877.794692161594,3024.6238615227885,3114.8830898545834,3165.394844840567,3188.0000042595684,3191.0370577104914,3180.38057998637,3160.1709396627407,3133.3274064730276,3101.909153933764,3067.3693613562373,3030.7341356662923,2992.7285328366015,2953.865339820574,2914.50763223467,2874.9128595094217,2835.2639149648476,2795.6910344157727,2756.287231103228,2717.1191750305256,2678.234861497534,2639.6690167507077,2601.4469089661825,2563.5870356227815,2526.1030193221295,2489.004946107215,2452.300311225319,2415.9946885542076,2380.09220555461,2344.5958813918637,2309.507868798013,2274.8296282159745,2240.56205429324,2206.7055688256573,2173.260190052343,2140.225585249005,2107.601111490751,2075.3858479973455,2043.5786224506846,2012.1780329570875,1981.1824668248269,1950.590116976195,1920.3989965682015,1890.6069522250452,1861.2116761664695,2145.382516731236,2667.0234877911025,3371.035818720193,4224.947863341838,5216.678804324739,6351.5336057091845,7649.61604427197,9144.154914131264,10880.91218531705,12918.690663096531,15330.906548672505,18208.195262075107,21662.047863387477,25829.510359129807,30157.081941966226,34824.819021726405,39953.84564724313,45632.11982471602,51927.62748094523,58894.61317359311,66575.94325075048,75003.33449830412,84196.46079023634,94161.57134783844,104890.05215120943,116357.24540318538,128521.76036118221,141325.43631475,154694.04436966637,168538.73831624014,182758.19139565455,197241.29279284482,211870.23216310688,226523.77676942328,241080.54457655438,255422.09516509136,269435.69337126863,283016.64179593686,296070.12162042066,308512.52151173074,320272.2683909047,331290.1997211243,341519.5343945985,350925.5089210062,359484.7487128734,367184.44234648533,374021.38126925094,380000.9198788329,385135.9023224983,389445.59359584964,392954.64414576226,395692.10957557376,397690.5404132464,398985.1513102136,399613.07447621593,399612.69855301525,399023.09138435806,397883.50313322514,396232.94481030246,394109.8363955034,391551.71825347334,388595.01937323576,385274.8760238574,381624.99464761774,377677.5531571118,373463.13522114936,369010.6925836563,364347.5309352415,359499.31533035083,354490.0916008785,349342.32065083587,350216.4667391822,355592.44568270684,364368.8669351031,375753.51591470704,389181.3113162606,404253.18177746533,420690.75269969634,431452.823304403,438144.4682875986,441876.0935389589,443422.9254084385,443331.6546973141,441992.16274940077,439686.0275090254,436619.50071288564,432946.0453488605,428781.81969997135,424216.37281216244,419320.0734992247,414149.3006253627,408750.0917823101,403160.7253587065,397413.5611111651,391536.3627548679,385553.25693256326,379485.4356341973,373351.6766660119,367168.7343697255,360951.6372761384,354713.91858226067
I2,3325.0744289376503,2513.193357169789,1930.0149292095107,1510.2618827133012,1207.408789251922,988.2609884977132,829.1115316134809,713.0130747444655,627.8389614483442,564.9037299695914,517.9806677725787,482.6014764392605,455.55658259876355,434.5382888601642,417.88570420641537,404.4022602366266,393.22503828784454,383.7311106122096,375.47034774572745,368.11716674685243,361.43584689213725,355.2555727299818,349.45245782388383,343.93658289363134,338.64263947141205,333.52316866645236,328.5436697323579,323.679057289311,318.91109237744257,314.226517485573,309.61570106938393,305.07165124213265,300.589297290871,296.16496573471227,291.79599787223435,287.480470364554,283.21699094796577,279.0045489986434,274.84240619591696,270.73001653552336,266.66696785135355,262.6529391171953,258.6876693377514,254.77093495888872,250.90253354490548,247.08227206827533,243.3099585947255,239.58539646708527,235.90838032664294,232.27869348371757,228.69610627648953,234.10061289789573,253.07699362581369,287.5176400416034,337.92589903871294,404.3373398418676,486.9302896450658,586.4134439899733,704.2710521010603,842.9313399622654,1005.908301999307,1197.9537640920382,1425.2467069131028,1695.6401726587821,2018.9820376738937,2386.9146254371276,2798.2610880929033,3255.58970345341,3763.352626332075,4326.855752872469,4951.65798289639,5643.184625979265,6406.441729176466,7245.774654343638,8164.646158367734,9165.427591442934,10249.20737709128,11415.626581528502,12662.753575047289,13987.009331346726,15383.152384976143,16844.32846081312,18362.184963382973,19927.045566588626,21528.135727709632,23153.84657610373,24792.022605922208,26430.258017804226,28056.187290074446,29657.757351866527,31223.47123670401,32742.59595962716,34205.33026496315,35602.9305841383,36927.79585258967,38173.51366882929,39334.87161018589,40407.83837174074,41389.51982352878,42278.09516014348,43072.738126305216,43773.52791884238,44381.35385881364,44897.817355026695,45325.1340878501,45666.038764247074,45923.694255274924,46101.60644100544,46203.54566299489,46233.47532373634,46195.48787472081,46093.74819591389,45932.44418407209,45715.74422896748,45447.76115857017,45132.52216999993,44773.944226449996,44375.81438572947,43941.77452864177,43475.3099708697,42979.74146679122,42458.220144741215,42088.9929050816,41963.389791321766,42118.9990284718,42561.61529195176,43279.48677851886,44252.33866827433,45456.8997612954,46674.57305965257,47785.956934440284,48732.50315893629,49492.089875113306,50063.6032993328,50457.33169481306,50689.089562440044,50776.7179365365,50738.08258658271,50590.003025661754,50347.74834985396,50024.86825687676,49633.21349380867,49183.05547231846,48683.25038887216,48141.41581532663,47564.10192803352,46956.948304116646,46324.82248516108,45671.9395659389,45001.96373725355,44318.09353237352
A2,23889.456183998802,22933.877936638848,22235.411558131244,21715.984798728783,21320.859626149562,21011.646203207674,20761.423729050246,20551.325208472685,20368.143037406615,20202.648248977832,20048.409630630147,19900.963464786924,19757.2294735475,19615.099790775286,19473.14961499481,19330.43347877506,19186.341784338445,19040.49977508828,18892.696395607363,18742.834206668267,18590.894134390877,18436.91067141577,18280.954442586095,18123.119959464573,17963.51703041546,17802.264745664106,17639.48727579098,17475.310946999187,17309.862215014084,17143.266271214306,16975.646093355303,16807.12180875665,16637.81027694036,16467.824826264783,16297.275098507149,16126.266969012464,15954.902519643025,15783.28004852738,15611.494105363525,15439.635544372984,15267.791589349321,15096.04590689171,14924.478685069747,14753.166715575762,14582.18347798882,14411.599225172682,14241.481069109184,14071.893066664426,13902.896304923062,13734.548985823236,13566.906509893672,13464.253931028321,13472.69741106337,13625.19796041359,13946.738127759487,14458.823351948542,15183.186916561222,16144.816112121072,17374.514051912476,18911.2376269085,20804.446064784544,23116.678082968796,25926.560416802316,29332.441846273967,33456.84570197064,38303.86988803621,43914.37844278645,50352.44370877488,57697.61555673857,66040.2059576682,75478.04010730349,86113.82219598477,98052.65344389579,111399.4661864884,126256.27719776623,142719.255822295,160875.66725083257,180800.79671470507,202554.9891190055,226180.9510282555,251701.45814960284,279117.5927731724,308407.60477269115,339526.4508107295,372406.0241253481,406956.0464456137,443065.5581852195,480604.91585826257,519428.188002209,559375.8328201859,600277.541279589,641955.1368795502,684225.4357849936,726902.9865841506,769802.6258370535,812741.8024510411,855542.639719953,898033.7179231733,940051.5723301659,981441.9111685089,1022060.5656387061,1061774.189565702,1100460.730003256,1138009.6923231583,1174322.2243013473,1209311.04371807,1242900.2332552718,1275024.9252066687,1305630.8968874386,1334674.0957825885,1362120.1115181716,1387943.6097642062,1412127.7412468102,1434663.5372056428,1455549.3009120713,1474790.0032823845,1492396.689188339,1508385.8997867908,1522779.1150583609,1535602.219755628,1546884.9951053828,1556660.6378767188,1566224.5446335562,1576508.5227532396,1588181.2091766822,1601722.010041552,1617475.2555557513,1635689.6521170917,1656546.8624941404,1678777.113867735,1701490.629436566,1724060.9706837067,1746045.75762684,1767132.4332257384,1787100.908426234,1805797.6501244118,1823117.5693223234,1838991.2562504394,1853375.9019039576,1866248.7763866526,1877602.4918297143,1887441.5193346431,1895779.5935918472,1902637.7509038164,1908042.8231934109,1912026.2635186787,1914623.2152541825,1915871.7625732145,1915812.3176603257,1914487.1125728984,1911939.772477808
IH2,0.0,148.21428922654823,185.36281896470496,177.7492618551293,155.27161989653712,130.64986421250308,108.69832036073531,90.74243382010536,76.68262497984773,65.9290784397764,57.80279556190601,51.69024703150281,47.088679239188075,43.60625882593605,40.94623775516662,38.88774837416507,37.26816645509218,35.96855954380386,34.9023118411951,34.00650058780529,33.235478203793704,32.55615062437461,31.944528524020082,31.383219541052988,30.859609634039984,30.364546142317216,29.89138477098018,29.43529999527393,28.992785923452537,28.5612948086479,28.13897505035145,27.724481134701136,27.316835626572214,26.915328855668577,26.519445925640298,26.128813549746717,25.74316128967896,25.36229327008931,24.986067521620484,24.614380885975894,24.247157981410286,23.884343136092273,23.525894493388485,23.171779708424978,22.821972811770934,22.476451929976676,22.13519763569169,21.79819176065121,21.465416549076757,21.136854061423335,20.81248576214159,20.492292242543705,20.574761711115734,21.461435441284138,23.4353528988366,26.659001384195804,31.214366722041994,37.14996520199757,44.52139307905951,53.422319940363494,64.00733194492528,76.50955521211176,91.25615421741068,108.68443958954757,129.36084420952602,154.00461112621235,182.5990878105133,215.08357675161207,251.542524501699,292.2161696478111,337.45989351680726,387.69732878133044,443.3799248114086,504.95420644333717,572.8348119417601,647.3812599011076,728.877145996689,817.511312378694,913.361200649773,1016.3790278175973,1126.3816162562744,1243.0446909520138,1365.9022699439272,1494.3514660383673,1627.6626450348253,1764.9945043426094,1905.4132967978735,2047.9151666245539,2191.450410841022,2334.948436178154,2477.342240054226,2617.591384797517,2754.702631587144,2887.747627643969,3015.87727256425,3138.3326076155445,3254.4522613966283,3363.6766384203656,3465.5491509394597,3559.7148697277958,3645.9170103595834,3723.9916832363606,3793.861324328032,3855.5271954237946,3909.0613032320125,3954.598040740264,3992.325805758471,4022.478803519205,4045.3291947580647,4061.179709270751,4070.3568083674645,4073.204448272388,4070.078470347132,4061.341622804996,4047.3592019198195,4028.4952881189774,4005.109543245002,3977.554529133271,3946.1735039676396,3911.298651166853,3873.249695397759,3832.3328613371114,3788.8401326971943,3750.8612930825966,3726.470259945773,3721.3375730513035,3738.5273680890677,3779.0319765095505,3842.438669219222,3927.5059163343076,4023.8754947024418,4121.099757076105,4211.399332142063,4289.938833607825,4354.276017526826,4403.661033784134,4438.427776147404,4459.536717839017,4468.259472405105,4465.974972131252,4454.046142268583,4433.751345913142,4406.2513737004865,4372.578441793825,4333.638063592491,4290.217847349695,4242.999481812269,4192.571655986169,4139.442628404044,4084.0517771590817,4026.779841221619
IN2,663.6667825413128,1301.4669996334765,1752.3617576751321,2069.283544497238,2290.072805297991,2441.8089225981284,2543.890379986669,2610.227822565826,2650.8071271304675,2672.8045539199593,2681.383095824281,2680.2616989216235,2672.122514434905,2658.9025427272545,2642.0026852715487,2622.4377382644307,2600.944117438585,2578.057302679465,2554.1675704283202,2529.5601426180347,2504.444140005653,2478.973484243492,2453.262004016407,2427.3943644507485,2401.433983430527,2375.428771897951,2349.4153009186048,2323.4218300309317,2297.4705104459067,2271.5789896287115,2245.7615811033447,2220.0301181170225,2194.39457717084,2168.863533842726,2143.4444962686703,2118.144149290983,2092.9685333207217,2067.923175454266,2043.0131856531216,2018.2433273520755,1993.6180693504668,1969.141624009037,1944.8179754357127,1920.650900363655,1896.6439837067915,1872.8006302511399,1849.1240735531549,1825.617382831647,1802.283468430216,1779.1250862726677,1756.144841619961,1733.34519235316,1712.5128748043326,1696.280084069019,1687.5541359072065,1689.2294980826307,1704.0949252363173,1734.8660727945512,1784.2942046669511,1855.319601697202,1951.2526073147835,2075.9759177398732,2234.1693388317253,2431.5635708965324,2675.2333834154597,2973.943387692612,3334.448445485811,3763.0052538274913,4266.139267836032,4851.010237417178,5525.557887607836,6298.5220170249595,7179.384650926762,8178.257430238613,9305.725202962933,10572.651417670219,11989.949426134315,13568.324473153194,15317.992922914975,17248.387411674266,19367.858582322937,21683.38544151213,24200.306911446107,26922.086695952465,29850.122158112503,32983.60565829825,36319.44396734187,39852.23824249755,43574.323932036306,47475.86712098163,51545.01144602406,55768.06791632345,60129.73882714653,64613.36642796197,69201.19703913403,73874.65180360185,78614.59609904813,83401.60070822702,88216.18904555273,93039.06597723105,97851.32497888184,102634.63149619727,107371.38137559584,112044.8340930791,116639.2212229142,121139.83115514513,125533.07150084195,129806.51092942983,133948.90237890757,137950.18968378246,141801.49969351862,145495.1219217356,149024.47768743543,152384.0805966539,155569.49007683425,158577.25952586372,161404.8804803946,164050.72404957764,166513.980705113,168794.59936986546,170893.22660750864,172811.14658627217,174550.22237172132,176147.82152846205,177658.08419193685,179140.5427787615,180653.5660016425,182250.9020432374,183980.1574945784,185882.438663852,187953.61895883086,190165.90070604772,192480.88374493597,194857.249167398,197255.0661741196,199638.0137592877,201974.34302505926,204237.10346766046,206403.9608958776,208456.80868212372,210381.2935373677,212166.32604133355,213803.61433115246,215287.23983915625,216613.28232388909,217779.49476214455,218785.02508855864,219630.18007615072,220316.22607623402,220845.2213937935,221219.87546347163
D2,1906.0,1906.0,1906.7803835259895,1907.7563629069648,1908.6922550967963,1909.509797149275,1910.1976997950744,1910.7700223353295,1911.247802857241,1911.6515551376465,1911.9986874348533,1912.3030329176543,1912.575194376905,1912.8231274859909,1913.0527248223568,1913.2683165143733,1913.4730697696255,1913.6692955404142,1913.858678571349,1914.0424475542316,1914.2214998775519,1914.3964925844223,1914.5679084698236,1914.7361040192254,1914.9013441431714,1915.0638273362733,1915.2237039022054,1915.3810891608468,1915.53607302454,1915.6887269462723,1915.8391089645372,1915.9872673687107,1916.1332433637178,1916.277073008055,1916.4187886236352,1916.5584198213203,1916.6959942465278,1916.8315381207533,1916.9650766341624,1917.0966342294178,1917.2262348060294,1917.3539018666045,1917.4796586206244,1917.6035280571855,1917.725532995081,1917.8456961163686,1917.9640399879372,1918.080587074386,1918.1953597446536,1918.308380274191,1918.4196708439927,1918.5292535374592,1918.6371503357996,1918.7454813555298,1918.8584809235867,1918.9818736370926,1919.1222396274982,1919.2865907011442,1919.482194114189,1919.7166098503121,1919.9978910858742,1920.3349049301737,1920.7377459570403,1921.2182313391722,1921.7904807938617,1922.4715964424001,1923.2824673919995,1924.2438950703404,1925.376361318256,1926.700792607785,1928.2393803243333,1930.0161870206173,1932.0575057762512,1934.392006659283,1937.0507107973515,1940.0668224872936,1943.4754389769557,1947.3131507129453,1951.6175424407581,1956.4266066543685,1961.778084258918,1967.708751685729,1974.2536779809593,1981.4454786847812,1989.3135949927312,1997.883626402538,2007.1767427534567,2017.209197483578,2027.991958491291,2039.5304667388275,2051.8245262599257,2064.8683230656525,2078.650565014981,2093.154730327981,2108.3594092262756,2124.2387212156746,2140.762789703534,2157.898255819296,2175.6088142889103,2193.855755795112,2212.598502233746,2231.795123469507,2251.4028264493295,2271.378409727059,2291.678678500162,2312.26081709857,2333.0827174632977,2354.10326349469,2375.282572239411,2396.5821937352052,2417.9652719642786,2439.3966698053737,2460.843061148656,2482.2729934737954,2503.6569242161822,2524.967234183074,2546.1782211518757,2567.266076605235,2588.208848347817,2608.986391520362,2629.580310288411,2649.973892244009,2670.152037325044,2690.1011828331766,2709.850360707108,2729.4711139835113,2749.064842441205,2768.749079263056,2788.6465824933143,2808.8779370592724,2829.5571909377486,2850.7438535941333,2872.4424251432356,2894.616445457454,2917.2039949489413,2940.130295033917,2963.316618989189,2986.68599812176,3010.1665208588593,3033.692970975836,3057.207392654879,3080.6590062041682,3104.003762817991,3127.203725529742,3150.2263922367088,3173.0440285798513,3195.6330471451292,3217.9734497720797,3240.048337888037,3261.8434890225385,3283.3469941354065
R2,0.0,981.4448128091014,2023.6209036184416,3074.0035371778295,4112.154993915724,5131.869625465949,6132.820644059185,7116.767290955533,8085.918921254245,9042.296005419767,9987.534688292939,10922.875646794218,11849.219237404164,12767.195803954115,13677.23098345379,14579.599669610308,15474.468072133204,16361.925418910065,17242.007360733816,18114.71301590934,18980.01726511537,19837.879556248154,20688.250171497875,21531.074661689032,22366.296963078585,23193.861569912642,24013.715031744323,24825.80696866791,25630.09074284835,26426.523885345956,27215.068349008357,27995.6906380053,28768.36185014711,29533.057657817357,30289.758245987294,31038.44822052114,31779.116496224884,32511.7561714066,33236.364393796415,33952.9422213003,34661.49448007766,35362.02962172692,36054.55958085648,36739.099633953876,37415.66826020336,38084.287004712445,38744.98034447043,39397.77555726228,40042.70259368834,40679.793952387095,41309.08455851892,41930.61164553959,42546.98393515422,43162.92324813568,43784.77317652031,44420.13142603808,45077.649963949436,45766.999767957794,46498.98140517819,47285.762592346764,48141.23074770945,49081.45796146898,50125.28574702999,51295.0466413527,52617.449110384296,54124.66146790318,55849.71711402629,57827.53895768125,60095.826313512785,62695.757039033844,65672.52062472161,69075.70668542787,72959.56542375463,77383.14634595855,82410.31358408058,88109.63177595488,94554.1154708629,101820.83695262024,109990.3915605458,119146.22533028263,129373.83631131906,140759.8674746195,153391.1149780234,167353.4801041046,182730.89600233777,199604.26125204115,218050.41123573232,238141.15558980152,259942.40593767492,283513.4131440662,308906.1279065987,336164.6930360613,365325.0706110556,396414.8025805092,429452.89949065144,464449.84891002375,501407.7328259485,540320.4417452366,581173.9723720072,623946.7954572212,668610.2806107472,715129.1654314378,763462.0571452001,813561.9559579764,865376.7904556083,918849.9565548948,973920.8526818507,1030525.4049880205,1088596.5774877325,1148064.8629909933,1208858.751607978,1270905.1744069243,1334129.9205171347,1398458.0265852709,1463814.1380209401,1530122.8419129315,1597308.9718674081,1665297.8853213396,1734015.7141259764,1803389.589383519,1873347.8416622544,1943820.1778177968,2014737.835716584,2086084.0876709165,2157884.9789810004,2230199.446900413,2303110.760061279,2376719.767075437,2451139.85574951,2526493.3295451896,2602852.682467644,2680249.4782825485,2758683.916756305,2838133.116700345,2918557.6669010594,2999906.5753322886,3082120.9181555007,3165136.4974734248,3248885.768760304,3333299.2403610894,3418306.4950773455,3503836.942133269,3589820.3764698147,3676187.3995463117,3762869.7396271033,3849800.4981497326,3936914.3408407117,4024147.646745197,4111438.6245320546,4198727.402804907,4285956.099328586
G2,335072.0,335072.0,335102.4662166893,335153.96355052077,335219.8700328801,335295.5343822987,335377.687912062,335464.0330315061,335552.9548164161,335643.3185801364,335734.3276621771,335825.4234441696,335916.21501152776,336006.4296463854,336095.8779684102,336184.42938130104,336271.9947732345,336358.51432506257,336443.9489160935,336528.2740643651,336611.4756527766,336693.5469137369,336774.48630078183,336854.2959853401,336932.9807941255,337010.5474571068,337087.0040743931,337162.3597374372,337236.62425903266,337309.8079800276,337381.92163015984,337452.9762270975,337522.9830024785,337591.9533470603,337659.89876942866,337726.83086435864,337792.7612880802,337857.70173851505,337921.66393912485,337984.6596254124,338046.7005334011,338107.7983896161,338167.9649022285,338227.2117531238,338285.5505907206,338342.99302341737,338399.5506135742,338455.23487196397,338510.05725264025,338564.02914818353,338617.161885293,338678.40695844643,338754.5435202659,338850.7777972352,338971.38903506414,339120.311603649,339301.63131576753,339520.0078945702,339781.04965857934,340091.6713111603,340460.4662223414,340898.12360313884,341417.9200693262,342036.31501554156,342773.6801423309,343634.58614637656,344628.7438650611,345769.3219113262,347071.99986969196,348554.3981455007,350235.68568468187,352136.2551555568,354277.40465792886,356680.99392937095,359369.0611064183,362363.39841781376,365685.0941765277,369354.0550978258,373388.5275604426,377804.6389018594,382615.9801320869,387833.24964655197,393463.9739168199,399512.3162365037,405978.97902089317,412861.19954488,420152.83391841495,427844.5199566699,435923.90663724596,444375.9361078709,453183.163630873,462326.1012439237,471783.57204863406,481533.06366804836,491551.07131826656,501813.42293190485,512295.5807088598,522972.9152532231,533820.9500231692,544815.5751437641,555933.2307054327,567151.0605045401,578447.0377991156,589800.0650798315,601190.0501237769,612597.9607357441,624005.8606160848,635396.9287501543,646755.4646130502,658066.8813424383,669317.6888661658,680495.4687915412,691588.8426784594,702587.4351356201,713481.8330027038,724263.5417148378,734924.9397910949,745459.2322472968,755860.4036054866,766123.1710580469,776242.9382431207,786215.7499990561,796213.5163450052,806364.7528628699,816766.5333081862,827493.315777218,838603.4267693656,850143.8003378863,862153.4236675779,874470.2760328037,886978.1574025619,899592.5669367467,912251.1344848351,924907.096492263,937524.8194995599,950076.708362877,962541.0558872991,974900.5358458019,987141.138027263,999251.4086121713,1011221.9026270446,1023044.7845678708,1034713.533183761,1046222.7199719469,1057567.8402162786,1068745.181782234,1079751.7212879912,1090585.0403277464,1101243.2565530702,1111724.9659082736,1122029.19336301
