series,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01
betas,15.15754647523873,15.157546475238753,15.10544207621217,15.067100062986425,15.034823565523366,15.004864166456901,14.975371003467108,14.94541435126897,14.91451399441823,14.882409803452145,14.848949772636994,14.81403533677787,14.777594702726303,14.739569908268589,14.699910618218134,14.658571233369818,14.615509633119068,14.570686727294309,14.52406641152213,14.475615725590048,14.42530511469284,14.373108742517852,14.319004829010742,14.26297599720825,14.205009619032316,14.145098152513668,14.083239464079853,14.01943713006315,13.953700711834353,13.886045999142626,13.816495216436563,13.74507718721047,13.671827451787422,13.596788334430638,13.520008956268367,13.441545191222781,13.361459562938675,13.27982108160008,13.19670502048258,13.112192633094233,13.026370812782508,12.939331697701956,12.851172225019223,12.761993639149864,12.671900959649992,12.768803848885202,12.840408011650798,12.891403387332069,12.924733414624308,12.942194575938279,12.944802221963187,12.93301136378005,12.906850130120592,12.866002165423488,12.809860591692647,12.737567997363739,12.648052331314318,12.540066157087775,12.412235459812774,12.263123359858083,12.091313080213876,11.89551282549773,11.67468243738904,11.428177562687742,11.155901739992542,10.85845097481245,10.537230389826496,10.194520278453863,9.833471216413075,9.458015804226406,9.072697437454575,8.682431537661042,8.254610746140223,7.779385102958992,7.33284978244678,6.91634226832395,6.531395259741679,6.178598089531072,5.857511547582611,5.566880362340855,5.304896878864858,5.06943483712218,4.858231175327023,4.669016040030465,4.499599096123978,4.347922065208017,4.21208670243782,4.0903657942679095,3.9812029952109156,3.883205752513139,3.7951343011542984,3.715888748711189,3.644495567663781,3.5800943173763855,3.521925078069246,3.4693168519714073,3.4216770393632507,3.378482004712058,3.339268692783254,3.3036272239324336,3.2711943830725865,3.241647912161813,3.2147015175104743,3.1901005081518847,3.1676179882654623,3.1470515341146474,3.128220293506564,3.1109624530112874,3.0951330248877316,3.0806019117546084,3.067252212492767,3.0549787376850754,3.043686707130772,3.0332906056634075,3.0237131767100465,3.014884535808919,3.00674138870525,2.999226340718453,2.992287285861567,2.9858768657342343,2.9799519895376125,2.974473407703019,2.9694053326115175,2.9647151007314423,2.960372871234043,2.956351356780651,2.9526255827220793,2.9491726714245172,2.9459716488463896,2.9430032708463063,2.9402498670110573,2.9376952000610133,2.9353243391238926,2.933123545371421,2.9310801686909955,2.929182554219618,2.927419957703062,2.9257824687620695,2.924260941251605,2.9228469299906528,2.9215326332204747,2.920310840220039,2.919174883569642,2.918118595608822,2.917136268683195,2.9162226188178413,2.91537275249288,2.9145821362306052,2.913846568733419,2.9131621553384037,2.9125252845779683
S2,411564.6413618295,411333.5367607658,411162.45317287324,411017.7577007596,410882.8927050575,410749.59942923347,410613.6728849245,410472.89223103,410326.0077496568,410172.2440257167,410011.0561158064,409842.009941509,409664.72376984835,409478.83978266874,409284.01050375024,409079.89259561786,408866.1443431223,408642.4250115482,408408.3951868152,408163.717657478,407908.05862021097,407641.0890990824,407362.48652165465,407071.93642008066,406769.1342368502,406453.7872195543,406125.61639039195,405784.35857584263,405429.7684808302,405061.6207902605,404679.71227927174,404283.86391204386,403873.9229076687,403449.7647504638,403011.29512127844,402558.4517258423,402091.2059960865,401609.56464065926,401113.57102158555,400603.3063351923,400078.890577045,399540.483272698,398988.28395852895,398422.5323997678,436827.0475851442,475150.9016490011,513390.9946742222,551539.0763789653,589582.4987314488,627504.5381542135,665284.3386693756,702896.5444879862,740310.6790816546,777490.3099406034,814392.0240838974,850964.2328058516,887145.8263451285,922864.7105606163,958036.2785478261,992561.9004530244,1026327.5537460926,1059202.7613761493,1091040.0512661596,1121675.18862267,1150928.450024654,1178607.190465926,1204509.8878806033,1228431.7269897352,1250171.610490785,1269540.2814109505,1286369.0412690036,1285545.7648759033,1258371.5075043766,1229628.1534626458,1199472.1862724621,1168181.2763775305,1136079.5146334611,1103501.944359232,1070774.1409146683,1038199.1153684132,1006048.8841159747,974559.5549492732,943929.2008961744,914317.909836963,885849.452527803,858614.0699359896,832671.9525293948,808057.0636525336,784781.0384647627,762836.9629865808,742202.9009573895,722845.087949077,704720.7525316135,687780.5542300518,671970.6490227446,657234.4068531297,643513.8136649695,630750.5942630154,618887.0930673791,607866.9485566524,597635.5946475309,588140.6190087912,579332.0047645231,571162.2784857468,563586.5839815915,556562.6982876996,550051.0034640022,544014.4253735342,538418.3485116111,533230.5141689398,528420.9077135719,523961.6395320949,519826.82314679085,515992.45319088665,512436.28524925216,509137.7190308769,506077.68590931135,503238.54152832157,500603.9639055338,498158.85726277606,549036.8010297704,599785.0282816134,650422.2499396655,700958.9194358974,751398.7263767065,801739.9386042331,851976.483426929,848951.2035238956,846048.1287898571,843241.9289700061,840518.4962748131,837869.958846909,835291.8759228801,832781.6624007496,830337.7072496897,827958.883678463,825644.2803502108,823393.057058876,821204.3701925072,819077.3370372098,817011.0214237092,815004.4308452,813056.5195013538,811166.1941765356,809332.3212497351,807553.7339188231,805829.2391634205,804157.6242173174,802537.6624573944,800968.1186894213,799447.7538492777
E2,0.0,231.10460106364727,355.9638401068314,429.46126316762286,478.42763480687967,516.0282857817281,548.7415172083272,579.765726606108,610.688461331991,642.3054329141603,675.0227270849091,709.0543414193015,744.5191253615668,781.4882418836186,820.008278371325,860.1123652972998,901.8253842224195,945.1662595923749,990.1488100479007,1036.7818876614344,1085.0691658400378,1135.008755860928,1186.592743279807,1239.8066920680917,1294.6291432802234,1351.0311249769002,1408.975685428481,1468.4174595190307,1529.3022773844514,1591.566823955146,1655.1383578823347,1719.934498124492,1785.8630861587235,1852.8221313082256,1920.69984601288,1989.3747770027908,2058.7160372624567,2128.5836424039917,2198.8289536173384,2269.2952277576273,2339.81827339577,2410.227209835562,2480.3453242320174,2549.9910200784225,2618.9788485133777,2754.8292092866477,2947.2685210835375,3193.2284359953114,3494.6520711562316,3857.1694371234707,4289.416859241043,4802.803080722204,5411.575666320747,6133.0884378512565,6988.204666464431,8001.79038430574,9203.25910383536,10627.125578420257,12313.51386207546,14308.545551982172,16664.509918016884,19439.69212108685,22697.714451360705,26506.236513500124,30934.873615019038,36052.238554283875,41922.09761175496,48598.756078840765,56121.9394065879,64511.5870367376,73763.09173528997,83843.56220698419,94247.8632453439,104140.24638943009,113466.61929109096,122062.52195235823,129749.96840285847,136375.6200435007,141826.27622907574,146033.9424140279,148975.21864380542,150667.29390551324,151161.9538978768,150538.61155917135,148897.11318597838,146350.86412312576,143020.63746343236,139029.27701273718,134497.38417837545,129539.98743584745,124264.13014010327,118767.27355453577,113136.39224585504,107447.63362200346,101766.41802632278,96147.86679783357,90637.46018965504,85271.84286855467,80079.71040893077,75082.72478609823,70296.4198208312,65731.06858721012,61392.493936776154,57282.810617445095,53401.09315806608,49743.96796893566,46306.13120405253,43080.79606219865,40060.074570807396,37235.29967345898,34597.293776255836,32136.5899217018,29843.611548555775,27708.81643895673,25722.810008539804,23876.432605070386,22160.824978090983,20567.475588454843,19088.252957260418,17715.425817822037,16441.673436947043,15552.406944616821,14952.012537581068,14572.258081143087,14365.322705401362,14298.372188155783,14349.480172458843,14504.651154049752,14506.580468231814,14411.248976767112,14252.218073262338,14050.100442530646,13817.954832660002,13564.372386946021,13295.251821419146,13014.827781800777,12726.272467464798,12432.052460046341,12134.144394153893,11834.168650092399,11533.474963446013,11233.199440188522,10934.304241766462,10637.606498369849,10343.800307402482,10053.47411760899,9767.124897504942,9485.169960360616,9207.957007510455,8935.772765974316,8668.850483004611
I2,539.4415527979901,388.0738084589624,319.2736780383903,291.4404060720939,284.168038458777,287.4313440097986,296.3021966080637,308.3592089871447,322.41531831118306,337.8919717686408,354.5110047430474,372.14275653272364,390.73107518506936,410.25618389408373,430.71620110963505,452.1178555632446,474.47173561317754,497.78977514904193,522.0838425510946,547.3648732801939,573.6422700195105,600.9234343408311,629.21336325949,658.5142785690786,688.8252741592753,720.1419753217584,752.4562086330914,785.7556834854894,820.023687756948,855.238800980293,891.3746289322269,928.3995639342082,966.2765753885726,1004.9630351858214,1044.4105826177808,1084.5650333152387,1125.3663364946904,1166.7485844445075,1208.6400777057434,1250.963448809361,1293.6358467258333,1336.5691833744413,1379.6704426416456,1422.8420513877443,1465.9823108991604,1508.985886193479,1563.4909273735043,1636.0875747321277,1730.9844505448536,1851.5463402423575,2001.170602700025,2183.7995873666346,2404.248688592986,2668.453867835389,2983.696117575936,3358.832889198008,3804.550165288782,4333.638302098949,4961.286540779302,5705.38302040542,6586.7979622244375,7629.61690747174,8861.278706536657,10312.560501491345,12017.341421253783,14012.071451018159,16334.876125316652,19024.245558464227,22117.29078226393,25647.601301387913,29642.800616587516,34121.9617552104,39093.09961727472,44474.34560090749,50061.811805026846,55699.43710929399,61246.41956072764,66570.5880551043,71550.25651817526,76078.24522057432,80065.65296708516,83444.46471754147,86168.73257809135,88214.38582987075,89577.88514929268,90274.00640860872,90333.05373875945,89797.78049747393,88720.2552482648,87158.85887847336,85175.5465234206,82833.4593129285,80194.9292096385,77319.88675389315,74264.65653088776,71081.1079957933,67816.11884104738,64511.303083678584,61202.95519544777,57922.16370551487,54695.05175250986,51543.10722057185,48483.57072313942,45529.85533377065,42691.97728831341,39976.98170114249,37389.3515469555,34931.39172443453,32603.582952359273,30404.90259680976,28333.11135206321,26385.00606796522,24556.64000457875,22843.512469238474,21240.730214281262,19743.143200830345,18345.45741234909,17042.327370767154,15828.430900105952,14698.528523496612,13647.509689455614,12670.42781763927,11813.239532302186,11092.418215930713,10507.97740137162,10051.630513264166,9711.719877436642,9476.055029481531,9333.43811790249,9231.17434066009,9141.067065970568,9048.654133818985,8947.107516070871,8833.780661117638,8708.260095678459,8571.271719397566,8424.072400892217,8268.116666533506,8104.878821841574,7935.762401881191,7762.058223932916,7584.929062789798,7405.408517572767,7224.407081374229,7042.721523838285,6861.0454574351725,6679.979954754669,6500.0436446200865,6321.682026708197,6145.275914865193,5971.149009738331
A2,82.48494591013964,74.17757980806545,72.83752823963711,74.94465330775192,78.7892716744569,83.54564417529494,88.82043944594747,94.43179372281578,100.30100520630076,106.39941225800702,112.72234817130334,119.27638871791719,126.07312423964947,133.12613056147492,140.44950401881678,148.05715710386127,155.9624800015793,164.1781743694597,172.71616465375016,181.5875409205811,190.80251113839327,200.3703526397549,210.29935829925074,220.59677583402512,231.26874006354797,242.32019869260242,253.75483256838731,265.57497158583385,277.78150756015395,290.3738054924307,303.34961474046764,316.70498167974506,330.4341654992679,344.5295588227275,358.9816148738703,373.77878291295804,388.9074536553804,404.35191634081355,420.0943290492756,436.1147037571653,452.39090749085653,468.89868076755295,485.6116743137917,502.50150482317656,519.5378302596204,536.6884449346105,555.7155403856234,577.931297895599,604.4343481995702,636.2642210597307,674.5051019519884,720.3610849172596,775.2176416956544,840.698661604781,918.7248411400574,1011.5768886614198,1121.9654498714497,1253.1084409304915,1408.8152830012373,1593.5761308205522,1812.6524138689488,2072.162771928556,2379.155778796944,2741.6578663609043,3168.6819411013694,3670.1799126520286,4256.92152914022,4940.283443172772,5731.937110960403,6643.432333480419,7685.6846336301105,8868.38797251545,10199.387469428331,11672.338111406034,13259.363520505938,14933.959912842201,16667.930071452232,18431.19508676035,20192.63770427815,21921.27166348474,23587.427713940666,25163.803961449514,26626.304169710875,27954.632674053348,29132.64449587259,30148.469359388044,30994.440859312028,31666.868522014563,32165.69230567035,32494.05748051642,32657.843973470302,32665.17912464447,32525.9571521703,32251.38301651283,31853.553192269614,31345.08131726034,30738.77289929966,30047.35023745432,29283.226415469075,28458.325573707756,27583.94556800965,26670.658479948095,25728.244157313617,24765.651949237275,23790.98598174061,22811.50963360941,21833.665268486897,20863.105717313367,19904.73445587301,18962.751863717356,18040.705368386196,17141.541663306147,16267.659533840793,15420.962131628781,14602.907802749347,13814.558802108075,13056.62741743805,12329.519184733212,11633.373006302507,10968.098086524762,10333.407682249397,9728.849727867215,9161.588957220692,8635.532113083387,8152.382441328195,7712.403075028009,7314.959633267096,6958.899972525395,6642.816718909441,6358.61856701803,6100.514154457605,5864.185691493934,5646.2970539872185,5444.194528436466,5255.719569061767,5079.087504004778,4912.805737314082,4755.616148748734,4606.452760516142,4464.40938877527,4328.714099623553,4198.7085087326595,4073.830678268655,3953.6007890767646,3837.6090228732432,3725.505248433292,3616.9902076804474,3511.8079653120794,3409.7394325395762,3310.5968095016033,3214.218816537917
IH2,0.0,69.91880974231208,103.84632293054027,120.91203773611815,130.3741229235593,136.6779932227767,141.92873222297231,147.09975140592152,152.62268651511405,158.67424334956007,165.31476255211905,172.5544017063371,180.3841341665314,188.78976890382626,197.75787448920198,207.27792069091007,217.34271514425092,227.94812202365594,239.09252072959262,250.77620843837997,263.0008301216125,275.76886428124646,289.08316840144096,302.9465785444527,317.36155466103776,332.32986324181365,347.85229011972604,363.92837773442716,380.55618264034337,397.7320503508681,415.45040572738765,433.7035580495153,452.48152066141495,471.7718456999995,491.55947489323887,511.82660778612365,532.5525890196271,553.7138164627638,575.2836720857588,597.2324774680907,619.5274757626574,642.1328417902943,665.0097217214717,688.1163035191194,711.4079189741303,734.8371777704396,758.3541335781945,783.4289946353217,812.041878694579,846.2547373806203,888.082821673039,939.5098391697468,1002.5659782463416,1079.430182475473,1172.5405588874678,1284.7080268108366,1419.2333511075906,1580.0294431142825,1771.750776744377,1999.930673404951,2271.12532629003,2593.0608047405303,2974.7758671430074,3426.749218335994,3960.9950222628045,4591.1054213564,5332.214258091376,6200.853247707125,7214.671910067057,8391.997079746221,9751.217870824501,11309.997820101256,13084.336531300538,15087.52601707347,17319.134603084723,19752.405107385384,22346.61814594065,25052.3392797236,27814.578384052435,30575.449554156417,33276.72938959913,35862.30516292138,38280.387713380274,40485.35924699096,42439.16383732524,44112.197899001716,45483.70490107425,46541.716431107314,47282.607976004074,47710.35250926871,47835.55964299149,47674.38487860525,47247.38471541195,46578.38124462634,45693.38622988741,44619.620998998995,43384.6557710976,42015.680962161576,40538.91387637162,38979.137083722424,37359.359614445086,35700.58866608363,34021.69755712295,32339.374888145227,30668.140009992618,29020.410694679493,27406.610139140303,25835.30192272402,24313.343143130798,22846.04756405435,21437.35214404175,20089.98172901697,18805.607950592348,17584.99946506825,16428.16159231656,15334.464176453335,14302.757103757369,13331.47339332888,12418.720139608778,11562.357850377153,10760.068905800808,10009.415978815287,9307.891318326783,8659.530972799377,8069.561089031571,7541.985825850488,7078.797687318571,6680.011627688286,6344.059053015462,6068.287276862944,5843.834811336979,5660.260494296963,5507.693552553454,5377.689526124599,5263.438261202311,5159.670661627952,5062.445516432391,4968.907386073202,4877.057979877096,4785.558011756235,4693.563716480415,4600.596209974623,4506.439453610567,4411.061964059327,4314.557642083913,4217.1016728273025,4118.918121913218,4020.256495308924,3921.375096465204,3822.529487807348,3723.9647484219586
IN2,81.44893459671559,146.82378876377282,176.44217037814252,189.82735585550785,196.3684767779694,200.52066014280996,204.34612169676438,208.75601006594738,214.11605798118018,220.5405885639557,228.03400883479316,236.5578566998554,246.06168347646766,256.4965183687054,267.8200689966864,279.99810536029435,293.004168760299,306.81862087483455,321.4275009051949,336.82139521626095,352.9943990871577,369.9431927910105,387.6662292993351,406.1630213791302,425.433513416697,445.4775239624535,466.29424684989135,487.881800925962,510.23682055803266,533.3540810049557,557.2261544138801,581.8430936329173,607.1921422323219,633.2574701270375,660.0199350132481,687.4568704893902,715.5419022425516,744.2447940555764,773.5313256372142,803.3632044041747,833.6980133559147,864.4891970860059,895.6860877740062,927.2339727057056,959.0742044855116,991.1443546421443,1023.3784107989441,1057.480603486199,1095.8138593981291,1140.9102271622917,1195.3100920289594,1261.5654488081684,1342.3198974714908,1440.4223835958423,1559.0558647048563,1701.8744753448584,1873.1485651265057,2077.919173039982,2322.163664776484,2612.9731487705094,2958.7401771143977,3369.3521606735626,3856.381829408666,4433.260939681725,5115.417432690799,5920.349845385355,6867.6068421858345,7978.635605990274,9276.462209440337,10785.171794219772,12529.167855448943,14532.208622061777,16816.243386489943,19400.09986217498,22286.528946520873,25446.954117177847,28834.875195894158,32391.709554937825,36050.479758586116,39739.05340073433,43383.35072356266,46910.488760863,50251.698697714695,53344.845799383154,56136.4233448329,58582.94985827942,60651.755976383756,62321.19523323052,63580.34835119876,64428.31269249821,64873.178540950226,64930.79400098992,64623.41304943394,63978.30915195658,63026.422073992384,61801.08987630946,60336.90293853312,58668.703118166835,56830.73937180023,54855.98158020187,52775.58694373532,50618.5080058696,48411.227880308004,46177.60631218077,43938.819493422736,41713.376786331115,39517.19842453458,37363.73963069037,35264.14822816524,33227.44458168494,31260.714467301324,29369.307164389757,27557.032627641,25826.353002538253,24178.5649777674,22613.970519121758,21132.034407426618,19731.527719533937,18410.656961887198,17167.17900773944,15998.502319530946,14901.77517445525,13873.961770036467,12919.564300453994,12044.683719438002,11254.218990814381,10550.851090541528,9934.971736441523,9405.054732367946,8958.184343811476,8584.064004506068,8270.171853269676,8004.273633230998,7775.518591180255,7574.797791570571,7394.7375328809685,7229.52892742003,7074.699252438726,6926.878099645368,6783.58281804931,6643.032628151362,6503.9930874801385,6365.64893727041,6227.501871960688,6089.289400487977,5950.92113709108,5812.429260603461,5673.930353764337,5535.59629799118,5397.6323185077035,5260.260637136954
D2,10853.0,10853.0,10853.56670910423,10854.40840902536,10855.388430751254,10856.445144998666,10857.55295366121,10858.703320851371,10859.895600420474,10861.132644733427,10862.418738398987,10863.75865510162,10865.1572508555,10866.619308511625,10868.14949589922,10869.752371982486,10871.432410375508,10873.194026396495,10875.041601841775,10876.979505372316,10879.012108057776,10881.143794300711,10883.378968592542,10885.722058585303,10888.177514918003,10890.74980816816,10893.44342323113,10896.262851371639,10899.212580145771,10902.29708135751,10905.52079719033,10908.888124639834,10912.403398366456,10916.070872086331,10919.894698622613,10923.878908747463,10928.027388955992,10932.343858326556,10936.831844636452,10941.494659917314,10946.3353756499,10951.356797812685,10956.56144201228,10961.951508935477,10967.52886037225,10973.29499606578,10979.251031649115,10985.397677928042,10991.747562106766,10998.329360729607,11005.188462964605,11012.38659208333,11020.001549794051,11028.127592979825,11036.876639395869,11046.380368252954,11056.793241952535,11068.29647640496,11081.103002626804,11095.46347728747,11111.673405983705,11130.081433866339,11151.098827773438,11175.210115897024,11202.984758902288,11235.08959520029,11272.301630850694,11315.520535418793,11365.77997207717,11424.256657686377,11492.275852596813,11571.311865439395,11662.982172143711,11769.03392935228,11891.32202873072,12031.697863118272,12191.795951830876,12372.920773588294,12575.976128855576,12801.420109648008,13049.241628523136,13318.95768309562,13609.630463559459,13919.902396256817,14248.046164119443,14592.025997460165,14949.566182270457,15318.222767766843,15695.454796247177,16078.691932441556,16465.39604300491,16853.114988100726,17239.527572194598,17622.47921522152,18000.0084210094,18370.364525111203,18732.017498619203,19083.66077601482,19424.208176770873,19752.786018041723,20068.721485790775,20371.528259815634,20660.89028840312,20936.64449271605,21198.763059118708,21447.3358568756,21682.55340433952,21904.69070243125,22114.09216198286,22311.15777228535,22496.33059198794,22670.08558975461,22832.919819793977,22985.343885298924,23127.874619610207,23261.028899187448,23385.318492922244,23501.245847752365,23609.300709851,23709.957482927442,23803.673229581727,23890.88622753662,23972.014999381146,24047.457741766557,24117.64536450696,24183.05113661825,24244.18078180585,24301.556173509376,24355.69930637632,24407.119461215483,24456.304418161384,24503.670132815416,24549.547932598573,24594.18913989382,24637.776632664532,24680.43809090691,24722.258487300274,24763.29085004224,24803.565063292495,24843.09481457463,24881.882936169957,24919.925421435633,24957.214382255905,24993.740179468943,25029.492918732816,25064.463466794314,25098.64411031878,25132.028952078403,25164.61411715244,25196.39782423298,25227.380363408258
R2,0.0,24.38144653173254,76.63337346329675,142.26496921024898,214.60811468391265,290.76829356976145,369.6519493664804,451.0087524649738,534.9699157111962,621.8284758298256,711.9370895426912,805.6624534475213,903.3666320011042,1005.4008603421553,1112.1048684990908,1223.8084235182394,1340.8335578946187,1463.4968051800856,1592.111167589673,1726.9877267670058,1868.4368906586958,2016.7693018372613,2172.2964423476196,2335.330970073403,2506.1868177851616,2685.1790812161767,2872.6237179115024,3068.837074669135,3274.13525825824,3488.8333617324565,3713.2445569757947,3947.679063029571,4192.442999158682,4447.837131440201,4714.1555218220265,4991.684089037805,5280.699091416926,5581.465542440649,5894.235570816786,6219.24673782811,6556.720325708227,6906.859611769597,7269.848143910002,7645.848033916767,8034.998285635533,8437.413175539066,8853.180703491722,9282.542028094425,9726.539139332875,10187.238612119769,10667.777529245514,11172.359067276659,11706.259733703851,12275.876219683249,12888.823563712733,13554.089546502768,14282.248211767046,15085.735508601962,15979.190854546912,16979.869125830664,18108.12768108467,19387.992103908306,20847.802001795677,22520.934000186993,24446.59261138959,26670.650630601016,29246.50904762946,32235.932515392808,35709.801141689706,39748.70445881217,44443.29128878885,49894.282768877565,56212.05796073563,63515.73451410324,71930.51141967112,81579.22544738677,92570.35592492804,104991.16073424616,118903.13224940166,134338.98015605443,151300.97270460243,169760.60874643573,189659.5694705853,210911.83054440375,233406.7491818689,257012.89430523978,281582.3662364661,306955.35377022927,332964.6965665698,359440.25397146656,386212.92206576274,413118.18407821143,439999.1214107753,466708.85065282736,493112.3843899791,519087.93952265655,544527.7360838717,569338.3425780471,593440.6313749239,616769.410583154,639272.7980542404,660911.3996588031,681657.3485795069,701493.2558078514,720411.1149148477,738411.1969578199,755500.9644355818,771694.0267537669,787009.1538631635,801469.3596661427,815101.0624734851,827933.326218864,839997.1832552998,851325.0373034773,861950.1434225766,871906.1606534452,881226.7721657977,889945.3672542013,898094.7793065436,905707.0738554298,912813.380967107,919443.7664812488,925627.1369526284,931391.9545194174,936768.8756560574,941791.1137932271,946493.7808307834,950912.9042829494,955084.4763138802,959043.6915641996,962823.7546980327,966453.2519054061,969955.5030565596,973348.8462660924,976647.3020792543,979861.3365314588,982998.5896135061,986064.5136777819,989062.9061887069,991996.3403782018,994866.5055090272,997674.4709247393,1000420.887788442,1003106.1409396952,1005730.4614353868,1008294.0084815273,1010796.9277843445,1013239.3919117787,1015621.6270647792,1017943.9296902302,1020206.6755930149
G2,635096.0,635096.0,635136.0937000951,635197.8488853413,635272.3549358858,635355.3560272481,635444.880351885,635540.0800048534,635640.6619623782,635746.6086198981,635858.0404186515,635975.1482505708,636098.1601334374,636227.3247038956,636362.9029444573,636505.1639199514,636654.3824429215,636810.8376425443,636974.8119311464,637146.5901184125,637326.4585497488,637514.7042078507,637711.6137477446,637917.4724514013,638132.5630963251,638357.1647371672,638591.5514023164,638835.9907095083,639090.7424062092,639356.0568421053,639632.1733825258,639919.3187731039,640217.705467413,640527.5299306983,640848.9709341241,641182.1878551387,641527.3190005975,641884.4799701284,642253.7620778539,642635.2308509592,643028.9246236932,643434.8532451866,643852.9969189491,644283.3051910662,644725.6961029462,645180.0555229854,645657.9832475828,646169.2967378385,646723.2811356336,647329.5586888833,647998.728380513,648742.8874857221,649576.1125511166,650514.9518940321,651578.964498507,652791.3288599727,654179.5374132232,655776.1854622378,657619.8561804019,659756.0937526119,662238.4438725045,665129.5237549884,668502.0623468491,672439.8262505898,677038.3201469925,682405.126084614,688659.7295572378,695932.6786948442,704363.942902703,714100.3834450648,725292.3208249563,738089.2762490793,752635.0647040003,768985.8666619458,787052.8708987697,806737.8818579746,827914.1722714233,850424.1365756766,874083.5669164857,898688.6165717527,924023.6426331288,949868.9425986625,976007.7960363857,1002232.466672432,1028348.995364659,1054180.745029647,1079570.7529645977,1104383.009057621,1128502.8150300279,1151836.3954087957,1174309.930693989,1195868.1720422094,1216472.7788959495,1236100.4996754953,1254741.2934050027,1272396.4687036332,1289076.8970396887,1304801.3401251975,1319594.9170543985,1333487.72523762,1346513.6201615676,1358709.1522326863,1370112.6541047217,1380763.4686218794,1390701.305510151,1399965.7139380893,1408595.6577994705,1416629.1808384506,1424103.1493757528,1431053.0612694866,1437512.9107540378,1443515.0998683292,1449090.3882549275,1454267.8741451914,1459075.0003174108,1463537.5797093343,1467679.836175897,1471524.4566050966,1475092.6512414701,1478404.2196216981,1481477.6200063184,1484330.0406020503,1487028.1848056894,1489622.1682389083,1492150.2691184431,1494642.4693501508,1497123.0545212007,1499612.506275545,1502128.8782156873,1504645.584867228,1507145.7527211385,1509618.33074204,1512055.8439324137,1514453.0828209445,1516806.3283900819,1519112.8849742576,1521370.7915649144,1523578.6374896192,1525735.4399963864,1527840.559254119,1529893.636547032,1531894.5473212458,1533843.3641227738,1535740.326420366,1537585.8154444369,1539380.3328424452,1541124.4823502006,1542818.95392121,1544464.5099075094,1546061.9729828807,1547612.2155645858
